Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.7105 hourly,€0.2842 hourly,€1.1815 hourly,€0.7551 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.4211 hourly,€0.5683 hourly,€2.363 hourly,€1.5103 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.8422 hourly,€1.1367 hourly,€4.726 hourly,€3.0205 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.6843 hourly,€2.2733 hourly,€9.4521 hourly,€6.0411 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€8.4524 hourly,€3.3803 hourly,€12.2201 hourly,€7.1481 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.0565 hourly,€0.4225 hourly,€1.5275 hourly,€0.8935 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.1131 hourly,€0.8451 hourly,€3.055 hourly,€1.787 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.2262 hourly,€1.6902 hourly,€6.11 hourly,€3.574 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€8.4524 hourly,€3.3803 hourly,€12.2201 hourly,€7.1481 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€9.3141 hourly,€1.6362 hourly,€17.4775 hourly,€9.7997 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€9.3141 hourly,€1.6362 hourly,€17.4775 hourly,€9.7997 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.1643 hourly,€0.2045 hourly,€2.1847 hourly,€1.225 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.3285 hourly,€0.4091 hourly,€4.3694 hourly,€2.4499 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.657 hourly,€0.8181 hourly,€8.7387 hourly,€4.8998 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€9.3141 hourly,€1.6362 hourly,€17.4775 hourly,€9.7997 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€9.3141 hourly,€1.6362 hourly,€17.4775 hourly,€9.7997 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€12.1393 hourly,€2.1215 hourly,€20.9307 hourly,€10.9129 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€12.1393 hourly,€2.1215 hourly,€20.9307 hourly,€10.9129 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.698 hourly,€0.1116 hourly,€1.3259 hourly,€0.7396 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.3087 hourly,€0.2093 hourly,€2.4861 hourly,€1.3867 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1745 hourly,€0.0279 hourly,€0.3315 hourly,€0.1849 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.6173 hourly,€0.4185 hourly,€4.9722 hourly,€2.7734 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.349 hourly,€0.0558 hourly,€0.663 hourly,€0.3698 hourly
