Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.6946 hourly,€0.1608 hourly,€1.1655 hourly,€0.6318 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.3891 hourly,€0.3217 hourly,€2.3311 hourly,€1.2636 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.7782 hourly,€0.6434 hourly,€4.6621 hourly,€2.5273 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.5565 hourly,€1.2868 hourly,€9.3242 hourly,€5.0545 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€8.2624 hourly,€1.9134 hourly,€12.0302 hourly,€5.6811 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.0328 hourly,€0.2392 hourly,€1.5038 hourly,€0.7101 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.0656 hourly,€0.4783 hourly,€3.0075 hourly,€1.4203 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.1312 hourly,€0.9567 hourly,€6.0151 hourly,€2.8405 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€8.2624 hourly,€1.9134 hourly,€12.0302 hourly,€5.6811 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€8.8873 hourly,€1.599 hourly,€17.0508 hourly,€9.7624 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€8.8873 hourly,€1.599 hourly,€17.0508 hourly,€9.7624 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.1109 hourly,€0.1999 hourly,€2.1313 hourly,€1.2203 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.2218 hourly,€0.3997 hourly,€4.2627 hourly,€2.4406 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.4437 hourly,€0.7995 hourly,€8.5254 hourly,€4.8812 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€8.8873 hourly,€1.599 hourly,€17.0508 hourly,€9.7624 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€8.8873 hourly,€1.599 hourly,€17.0508 hourly,€9.7624 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€11.5234 hourly,€2.0733 hourly,€20.3148 hourly,€10.8647 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€11.5234 hourly,€2.0733 hourly,€20.3148 hourly,€10.8647 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.6824 hourly,€0.1404 hourly,€1.3103 hourly,€0.7684 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.2795 hourly,€0.2633 hourly,€2.4569 hourly,€1.4408 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1706 hourly,€0.0351 hourly,€0.3276 hourly,€0.1921 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.5589 hourly,€0.5267 hourly,€4.9138 hourly,€2.8815 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3412 hourly,€0.0702 hourly,€0.6552 hourly,€0.3842 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€5.0183 hourly,€1.0496 hourly,€11.9258 hourly,€7.9572 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€5.5219 hourly,€1.2488 hourly,€13.0574 hourly,€8.7843 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.6273 hourly,€0.1312 hourly,€1.4907 hourly,€0.9946 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.1141 hourly,€0.0239 hourly,€0.271 hourly,€0.1808 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.2546 hourly,€0.2624 hourly,€2.9815 hourly,€1.9893 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.2281 hourly,€0.0477 hourly,€0.5421 hourly,€0.3617 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€2.5092 hourly,€0.5248 hourly,€5.9629 hourly,€3.9786 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€5.409 hourly,€1.9056 hourly,€12.3165 hourly,€8.8131 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€5.9007 hourly,€2.0788 hourly,€13.4362 hourly,€9.6143 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.6761 hourly,€0.2382 hourly,€1.5396 hourly,€1.1016 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.1229 hourly,€0.0433 hourly,€0.2799 hourly,€0.2003 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€1.3522 hourly,€0.4764 hourly,€3.0791 hourly,€2.2033 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.2459 hourly,€0.0866 hourly,€0.5598 hourly,€0.4006 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€2.7045 hourly,€0.9528 hourly,€6.1583 hourly,€4.4065 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€5.1485 hourly,€1.335 hourly,€12.0561 hourly,€8.2425 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€5.1485 hourly,€1.335 hourly,€12.0561 hourly,€8.2425 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€5.6166 hourly,€1.4563 hourly,€13.1521 hourly,€8.9918 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.6436 hourly,€0.1669 hourly,€1.507 hourly,€1.0303 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.6436 hourly,€0.1669 hourly,€1.507 hourly,€1.0303 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.117 hourly,€0.0303 hourly,€0.274 hourly,€0.1873 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.117 hourly,€0.0303 hourly,€0.274 hourly,€0.1873 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€1.2871 hourly,€0.3337 hourly,€3.014 hourly,€2.0606 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€1.2871 hourly,€0.3337 hourly,€3.014 hourly,€2.0606 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.234 hourly,€0.0607 hourly,€0.548 hourly,€0.3747 hourly
