Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€0.8132 hourly,€0.5605 hourly,€2.5401 hourly,€2.2874 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.1479 hourly,€0.1019 hourly,€0.4618 hourly,€0.4159 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.1479 hourly,€0.1019 hourly,€0.4618 hourly,€0.4159 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€1.6264 hourly,€1.121 hourly,€5.0802 hourly,€4.5747 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€1.6264 hourly,€1.121 hourly,€5.0802 hourly,€4.5747 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€6.0498 hourly,€2.4199 hourly,€11.7014 hourly,€8.0715 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.6722 hourly,€0.2689 hourly,€1.3002 hourly,€0.8968 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€8.0664 hourly,€3.2265 hourly,€15.6018 hourly,€10.7619 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.084 hourly,€0.0336 hourly,€0.1625 hourly,€0.1121 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€1.0083 hourly,€0.4033 hourly,€1.9502 hourly,€1.3452 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€12.0996 hourly,€4.8397 hourly,€23.4028 hourly,€16.1429 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.3444 hourly,€0.5377 hourly,€2.6003 hourly,€1.7937 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.168 hourly,€0.0672 hourly,€0.325 hourly,€0.2242 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€2.0166 hourly,€0.8066 hourly,€3.9005 hourly,€2.6905 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.3361 hourly,€0.1344 hourly,€0.6501 hourly,€0.4484 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€4.0332 hourly,€1.6132 hourly,€7.8009 hourly,€5.381 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€9.2711 hourly,€3.7082 hourly,€14.9227 hourly,€9.3598 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€9.2711 hourly,€3.7082 hourly,€14.9227 hourly,€9.3598 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€1.0301 hourly,€0.412 hourly,€1.6581 hourly,€1.04 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€1.0301 hourly,€0.412 hourly,€1.6581 hourly,€1.04 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€12.3614 hourly,€4.9443 hourly,€19.8969 hourly,€12.4797 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€12.3614 hourly,€4.9443 hourly,€19.8969 hourly,€12.4797 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.1268 hourly,€0.0507 hourly,€0.2053 hourly,€0.1292 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.5452 hourly,€0.618 hourly,€2.4871 hourly,€1.56 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.5452 hourly,€0.618 hourly,€2.4871 hourly,€1.56 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€18.5421 hourly,€7.4164 hourly,€29.8453 hourly,€18.7196 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€18.5421 hourly,€7.4164 hourly,€29.8453 hourly,€18.7196 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€18.5421 hourly,€7.4164 hourly,€29.8453 hourly,€18.7196 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€18.5421 hourly,€7.4164 hourly,€29.8453 hourly,€18.7196 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€2.0602 hourly,€0.824 hourly,€3.3161 hourly,€2.08 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€2.0602 hourly,€0.824 hourly,€3.3161 hourly,€2.08 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.2575 hourly,€0.103 hourly,€0.4145 hourly,€0.26 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.2575 hourly,€0.103 hourly,€0.4145 hourly,€0.26 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€3.0904 hourly,€1.2361 hourly,€4.9742 hourly,€3.1199 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€3.0904 hourly,€1.2361 hourly,€4.9742 hourly,€3.1199 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.5151 hourly,€0.206 hourly,€0.829 hourly,€0.52 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.5151 hourly,€0.206 hourly,€0.829 hourly,€0.52 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€6.1807 hourly,€2.4721 hourly,€9.9484 hourly,€6.2399 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€6.1807 hourly,€2.4721 hourly,€9.9484 hourly,€6.2399 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€7.0302 hourly,€2.812 hourly,€12.6818 hourly,€8.4636 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€7.0302 hourly,€2.812 hourly,€12.6818 hourly,€8.4636 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.7811 hourly,€0.3124 hourly,€1.4091 hourly,€0.9404 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.7811 hourly,€0.3124 hourly,€1.4091 hourly,€0.9404 hourly
