Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,,,,
C4 Standard 288,c4-standard-288,1080 GiB,288,,,,
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,,,,
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,,,,
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,,,,
C4 Standard 32,c4-standard-32,120 GiB,32,,,,
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,,,,
C4 Standard 4,c4-standard-4,15 GiB,4,,,,
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,,,,
C4 Standard 48,c4-standard-48,180 GiB,48,,,,
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,,,,
C4 Standard 8,c4-standard-8,30 GiB,8,,,,
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,,,,
C4 Standard 96,c4-standard-96,360 GiB,96,,,,
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,,,,
E2 High CPU 16,e2-highcpu-16,16 GiB,16,,,,
E2 High CPU 2,e2-highcpu-2,2 GiB,2,,,,
E2 High CPU 32,e2-highcpu-32,32 GiB,32,,,,
E2 High CPU 4,e2-highcpu-4,4 GiB,4,,,,
E2 High CPU 8,e2-highcpu-8,8 GiB,8,,,,
E2 High Memory 16,e2-highmem-16,128 GiB,16,,,,
E2 High Memory 2,e2-highmem-2,16 GiB,2,,,,
E2 High Memory 4,e2-highmem-4,32 GiB,4,,,,
E2 High Memory 8,e2-highmem-8,64 GiB,8,,,,
E2 Medium,e2-medium,4 GiB,2,,,,
E2 Micro,e2-micro,1 GiB,2,,,,
E2 Small,e2-small,2 GiB,2,,,,
E2 Standard 16,e2-standard-16,64 GiB,16,,,,
E2 Standard 2,e2-standard-2,8 GiB,2,,,,
E2 Standard 32,e2-standard-32,128 GiB,32,,,,
E2 Standard 4,e2-standard-4,16 GiB,4,,,,
E2 Standard 8,e2-standard-8,32 GiB,8,,,,
G2 Standard 12,g2-standard-12,48 GiB,12,,,,
G2 Standard 16,g2-standard-16,64 GiB,16,,,,
G2 Standard 24,g2-standard-24,96 GiB,24,,,,
G2 Standard 32,g2-standard-32,128 GiB,32,,,,
G2 Standard 4,g2-standard-4,16 GiB,4,,,,
G2 Standard 48,g2-standard-48,192 GiB,48,,,,
G2 Standard 8,g2-standard-8,32 GiB,8,,,,
G2 Standard 96,g2-standard-96,384 GiB,96,,,,
H3 Standard 88,h3-standard-88,352 GiB,88,,,,
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,,,,
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,,,,
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,,,,
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,,,,
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,,,,
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€0.9986 hourly,€0.4866 hourly,€1.6266 hourly,€1.1146 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€1.9972 hourly,€0.9732 hourly,€3.2531 hourly,€2.2291 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€3.9945 hourly,€1.9464 hourly,€6.5063 hourly,€4.4582 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€6.0233 hourly,€3.0194 hourly,€10.419 hourly,€7.4151 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€12.0466 hourly,€6.0389 hourly,€20.838 hourly,€14.8302 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€1.5058 hourly,€0.7549 hourly,€2.6048 hourly,€1.8538 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€3.0117 hourly,€1.5097 hourly,€5.2095 hourly,€3.7076 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€11.8252 hourly,€5.3402 hourly,€16.2209 hourly,€9.7359 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€23.6504 hourly,€10.6804 hourly,€32.4418 hourly,€19.4718 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€5.9126 hourly,€2.6701 hourly,€8.1105 hourly,€4.8679 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,,,,
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,,,,
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,,,,
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,,,,
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,,,,
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,,,,
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,,,,
N1 High Memory 16,n1-highmem-16,104 GiB,16,,,,
N1 High Memory 2,n1-highmem-2,13 GiB,2,,,,
N1 High Memory 32,n1-highmem-32,208 GiB,32,,,,
N1 High Memory 4,n1-highmem-4,26 GiB,4,,,,
N1 High Memory 64,n1-highmem-64,416 GiB,64,,,,
N1 High Memory 8,n1-highmem-8,52 GiB,8,,,,
N1 High Memory 96,n1-highmem-96,624 GiB,96,,,,
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,,,,
N1 Standard 1,n1-standard-1,3.75 GiB,1,,,,
N1 Standard 16,n1-standard-16,60 GiB,16,,,,
N1 Standard 2,n1-standard-2,7.5 GiB,2,,,,
N1 Standard 32,n1-standard-32,120 GiB,32,,,,
N1 Standard 4,n1-standard-4,15 GiB,4,,,,
N1 Standard 64,n1-standard-64,240 GiB,64,,,,
N1 Standard 8,n1-standard-8,30 GiB,8,,,,
N1 Standard 96,n1-standard-96,360 GiB,96,,,,
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,,,,
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,,,,
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,,,,
N2 High CPU 16,n2-highcpu-16,16 GiB,16,,,,
N2 High CPU 2,n2-highcpu-2,2 GiB,2,,,,
N2 High CPU 32,n2-highcpu-32,32 GiB,32,,,,
N2 High CPU 4,n2-highcpu-4,4 GiB,4,,,,
N2 High CPU 48,n2-highcpu-48,48 GiB,48,,,,
N2 High CPU 64,n2-highcpu-64,64 GiB,64,,,,
N2 High CPU 8,n2-highcpu-8,8 GiB,8,,,,
N2 High CPU 80,n2-highcpu-80,80 GiB,80,,,,
N2 High CPU 96,n2-highcpu-96,96 GiB,96,,,,
N2 High Memory 128,n2-highmem-128,864 GiB,128,,,,
N2 High Memory 16,n2-highmem-16,128 GiB,16,,,,
N2 High Memory 2,n2-highmem-2,16 GiB,2,,,,
N2 High Memory 32,n2-highmem-32,256 GiB,32,,,,
N2 High Memory 4,n2-highmem-4,32 GiB,4,,,,
N2 High Memory 48,n2-highmem-48,384 GiB,48,,,,
N2 High Memory 64,n2-highmem-64,512 GiB,64,,,,
N2 High Memory 8,n2-highmem-8,64 GiB,8,,,,
N2 High Memory 80,n2-highmem-80,640 GiB,80,,,,
N2 High Memory 96,n2-highmem-96,768 GiB,96,,,,
N2 Standard 128,n2-standard-128,512 GiB,128,,,,
N2 Standard 16,n2-standard-16,64 GiB,16,,,,
N2 Standard 2,n2-standard-2,8 GiB,2,,,,
N2 Standard 32,n2-standard-32,128 GiB,32,,,,
N2 Standard 4,n2-standard-4,16 GiB,4,,,,
N2 Standard 48,n2-standard-48,192 GiB,48,,,,
N2 Standard 64,n2-standard-64,256 GiB,64,,,,
N2 Standard 8,n2-standard-8,32 GiB,8,,,,
N2 Standard 80,n2-standard-80,320 GiB,80,,,,
N2 Standard 96,n2-standard-96,384 GiB,96,,,,
N2D High CPU 128,n2d-highcpu-128,128 GiB,128,€0.8515 hourly,,€5.8752 hourly,
N2D High CPU 16,n2d-highcpu-16,16 GiB,16,€0.1064 hourly,,€0.7344 hourly,
N2D High CPU 2,n2d-highcpu-2,2 GiB,2,€0.0133 hourly,,€0.0918 hourly,
N2D High CPU 224,n2d-highcpu-224,224 GiB,224,€1.4901 hourly,,€10.2815 hourly,
N2D High CPU 32,n2d-highcpu-32,32 GiB,32,€0.2129 hourly,,€1.4688 hourly,
N2D High CPU 4,n2d-highcpu-4,4 GiB,4,€0.0266 hourly,,€0.1836 hourly,
N2D High CPU 48,n2d-highcpu-48,48 GiB,48,€0.3193 hourly,,€2.2032 hourly,
N2D High CPU 64,n2d-highcpu-64,64 GiB,64,€0.4258 hourly,,€2.9376 hourly,
N2D High CPU 8,n2d-highcpu-8,8 GiB,8,€0.0532 hourly,,€0.3672 hourly,
N2D High CPU 80,n2d-highcpu-80,80 GiB,80,€0.5322 hourly,,€3.672 hourly,
N2D High CPU 96,n2d-highcpu-96,96 GiB,96,€0.6386 hourly,,€4.4064 hourly,
N2D High Memory 16,n2d-highmem-16,128 GiB,16,€0.1945 hourly,,€0.8225 hourly,
N2D High Memory 2,n2d-highmem-2,16 GiB,2,€0.0243 hourly,,€0.1028 hourly,
N2D High Memory 32,n2d-highmem-32,256 GiB,32,€0.389 hourly,,€1.6449 hourly,
N2D High Memory 4,n2d-highmem-4,32 GiB,4,€0.0486 hourly,,€0.2056 hourly,
N2D High Memory 48,n2d-highmem-48,384 GiB,48,€0.5835 hourly,,€2.4674 hourly,
N2D High Memory 64,n2d-highmem-64,512 GiB,64,€0.778 hourly,,€3.2898 hourly,
N2D High Memory 8,n2d-highmem-8,64 GiB,8,€0.0972 hourly,,€0.4112 hourly,
N2D High Memory 80,n2d-highmem-80,640 GiB,80,€0.9725 hourly,,€4.1123 hourly,
N2D High Memory 96,n2d-highmem-96,768 GiB,96,€1.167 hourly,,€4.9347 hourly,
N2D Standard 128,n2d-standard-128,512 GiB,128,€1.1534 hourly,,€6.1771 hourly,
N2D Standard 16,n2d-standard-16,64 GiB,16,€0.1442 hourly,,€0.7721 hourly,
N2D Standard 2,n2d-standard-2,8 GiB,2,€0.018 hourly,,€0.0965 hourly,
N2D Standard 224,n2d-standard-224,896 GiB,224,€2.0185 hourly,,€10.8099 hourly,
N2D Standard 32,n2d-standard-32,128 GiB,32,€0.2884 hourly,,€1.5443 hourly,
N2D Standard 4,n2d-standard-4,16 GiB,4,€0.036 hourly,,€0.193 hourly,
N2D Standard 48,n2d-standard-48,192 GiB,48,€0.4325 hourly,,€2.3164 hourly,
N2D Standard 64,n2d-standard-64,256 GiB,64,€0.5767 hourly,,€3.0885 hourly,
N2D Standard 8,n2d-standard-8,32 GiB,8,€0.0721 hourly,,€0.3861 hourly,
N2D Standard 80,n2d-standard-80,320 GiB,80,€0.7209 hourly,,€3.8607 hourly,
N2D Standard 96,n2d-standard-96,384 GiB,96,€0.8651 hourly,,€4.6328 hourly,
N4 High CPU 16,n4-highcpu-16,32 GiB,16,€0.0488 hourly,€0.1951 hourly,€0.6767 hourly,€0.8231 hourly
N4 High CPU 2,n4-highcpu-2,4 GiB,2,€0.0061 hourly,€0.0244 hourly,€0.0846 hourly,€0.1029 hourly
N4 High CPU 32,n4-highcpu-32,64 GiB,32,€0.0976 hourly,€0.3902 hourly,€1.3535 hourly,€1.6461 hourly
N4 High CPU 4,n4-highcpu-4,8 GiB,4,€0.0122 hourly,€0.0488 hourly,€0.1692 hourly,€0.2058 hourly
N4 High CPU 48,n4-highcpu-48,96 GiB,48,€0.1463 hourly,€0.5853 hourly,€2.0302 hourly,€2.4692 hourly
N4 High CPU 64,n4-highcpu-64,128 GiB,64,€0.1951 hourly,€0.7804 hourly,€2.7069 hourly,€3.2922 hourly
N4 High CPU 8,n4-highcpu-8,16 GiB,8,€0.0244 hourly,€0.0976 hourly,€0.3384 hourly,€0.4115 hourly
N4 High CPU 80,n4-highcpu-80,160 GiB,80,€0.2439 hourly,€0.9755 hourly,€3.3837 hourly,€4.1153 hourly
N4 High Memory 16,n4-highmem-16,128 GiB,16,€0.0759 hourly,€0.3035 hourly,€0.7038 hourly,€0.9315 hourly
N4 High Memory 2,n4-highmem-2,16 GiB,2,€0.0095 hourly,€0.0379 hourly,€0.088 hourly,€0.1164 hourly
N4 High Memory 32,n4-highmem-32,256 GiB,32,€0.1518 hourly,€0.6071 hourly,€1.4077 hourly,€1.863 hourly
N4 High Memory 4,n4-highmem-4,32 GiB,4,€0.019 hourly,€0.0759 hourly,€0.176 hourly,€0.2329 hourly
N4 High Memory 48,n4-highmem-48,384 GiB,48,€0.2277 hourly,€0.9106 hourly,€2.1115 hourly,€2.7945 hourly
N4 High Memory 64,n4-highmem-64,512 GiB,64,€0.3035 hourly,€1.2142 hourly,€2.8154 hourly,€3.726 hourly
N4 High Memory 8,n4-highmem-8,64 GiB,8,€0.0379 hourly,€0.1518 hourly,€0.3519 hourly,€0.4658 hourly
N4 High Memory 80,n4-highmem-80,640 GiB,80,€0.3794 hourly,€1.5177 hourly,€3.5192 hourly,€4.6575 hourly
N4 Standard 16,n4-standard-16,64 GiB,16,€0.0578 hourly,€0.2313 hourly,€0.6858 hourly,€0.8592 hourly
N4 Standard 2,n4-standard-2,8 GiB,2,€0.0072 hourly,€0.0289 hourly,€0.0857 hourly,€0.1074 hourly
N4 Standard 32,n4-standard-32,128 GiB,32,€0.1156 hourly,€0.4625 hourly,€1.3715 hourly,€1.7184 hourly
N4 Standard 4,n4-standard-4,16 GiB,4,€0.0145 hourly,€0.0578 hourly,€0.1714 hourly,€0.2148 hourly
N4 Standard 48,n4-standard-48,192 GiB,48,€0.1734 hourly,€0.6938 hourly,€2.0573 hourly,€2.5776 hourly
N4 Standard 64,n4-standard-64,256 GiB,64,€0.2313 hourly,€0.925 hourly,€2.7431 hourly,€3.4368 hourly
N4 Standard 8,n4-standard-8,32 GiB,8,€0.0289 hourly,€0.1156 hourly,€0.3429 hourly,€0.4296 hourly
N4 Standard 80,n4-standard-80,320 GiB,80,€0.2891 hourly,€1.1563 hourly,€3.4288 hourly,€4.296 hourly
T2A Standard 1,t2a-standard-1,4 GiB,1,,,,
T2A Standard 16,t2a-standard-16,64 GiB,16,,,,
T2A Standard 2,t2a-standard-2,8 GiB,2,,,,
T2A Standard 32,t2a-standard-32,128 GiB,32,,,,
T2A Standard 4,t2a-standard-4,16 GiB,4,,,,
T2A Standard 48,t2a-standard-48,192 GiB,48,,,,
T2A Standard 8,t2a-standard-8,32 GiB,8,,,,
T2D Standard 1,t2d-standard-1,4 GiB,1,,,,
T2D Standard 16,t2d-standard-16,64 GiB,16,,,,
T2D Standard 2,t2d-standard-2,8 GiB,2,,,,
T2D Standard 32,t2d-standard-32,128 GiB,32,,,,
T2D Standard 4,t2d-standard-4,16 GiB,4,,,,
T2D Standard 48,t2d-standard-48,192 GiB,48,,,,
T2D Standard 60,t2d-standard-60,240 GiB,60,,,,
T2D Standard 8,t2d-standard-8,32 GiB,8,,,,
Z3 High Memory 14 standardlssd,z3-highmem-14-standardlssd,112 GiB,14,,,,
Z3 High Memory 16 highlssd,z3-highmem-16-highlssd,128 GiB,16,,,,
Z3 High Memory 176,z3-highmem-176,1408 GiB,176,,,,
Z3 High Memory 176 standardlssd,z3-highmem-176-standardlssd,1408 GiB,176,,,,
Z3 High Memory 192 highlssd metal,z3-highmem-192-highlssd-metal,1536 GiB,192,,,,
Z3 High Memory 22 highlssd,z3-highmem-22-highlssd,176 GiB,22,,,,
Z3 High Memory 22 standardlssd,z3-highmem-22-standardlssd,176 GiB,22,,,,
Z3 High Memory 32 highlssd,z3-highmem-32-highlssd,256 GiB,32,,,,
Z3 High Memory 44 highlssd,z3-highmem-44-highlssd,352 GiB,44,,,,
Z3 High Memory 44 standardlssd,z3-highmem-44-standardlssd,352 GiB,44,,,,
Z3 High Memory 8 highlssd,z3-highmem-8-highlssd,64 GiB,8,,,,
Z3 High Memory 88,z3-highmem-88,704 GiB,88,,,,
Z3 High Memory 88 highlssd,z3-highmem-88-highlssd,704 GiB,88,,,,
Z3 High Memory 88 standardlssd,z3-highmem-88-standardlssd,704 GiB,88,,,,
