Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.8089 hourly,€0.292 hourly,€1.2798 hourly,€0.763 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.6177 hourly,€0.584 hourly,€2.5597 hourly,€1.526 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.2354 hourly,€1.1681 hourly,€5.1193 hourly,€3.052 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€6.4709 hourly,€2.3362 hourly,€10.2386 hourly,€6.1039 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€9.6149 hourly,€3.4716 hourly,€13.3826 hourly,€7.2393 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.2019 hourly,€0.4339 hourly,€1.6728 hourly,€0.9049 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.4037 hourly,€0.8679 hourly,€3.3457 hourly,€1.8098 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.8074 hourly,€1.7358 hourly,€6.6913 hourly,€3.6197 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€9.6149 hourly,€3.4716 hourly,€13.3826 hourly,€7.2393 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€10.3652 hourly,€1.8646 hourly,€18.5286 hourly,€10.0281 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€10.3652 hourly,€1.8646 hourly,€18.5286 hourly,€10.0281 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.2957 hourly,€0.2331 hourly,€2.3161 hourly,€1.2535 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.5913 hourly,€0.4662 hourly,€4.6322 hourly,€2.507 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.1826 hourly,€0.9323 hourly,€9.2643 hourly,€5.014 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€10.3652 hourly,€1.8646 hourly,€18.5286 hourly,€10.0281 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€10.3652 hourly,€1.8646 hourly,€18.5286 hourly,€10.0281 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€13.4396 hourly,€2.4177 hourly,€22.231 hourly,€11.2091 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€13.4396 hourly,€2.4177 hourly,€22.231 hourly,€11.2091 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7959 hourly,€0.0839 hourly,€1.4238 hourly,€0.7118 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.4922 hourly,€0.1573 hourly,€2.6697 hourly,€1.3347 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.199 hourly,€0.021 hourly,€0.356 hourly,€0.178 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.9845 hourly,€0.3145 hourly,€5.3393 hourly,€2.6694 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3979 hourly,€0.0419 hourly,€0.7119 hourly,€0.3559 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€5.8528 hourly,€2.3759 hourly,€12.7603 hourly,€9.2834 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€6.4401 hourly,€2.7509 hourly,€13.9756 hourly,€10.2864 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.7316 hourly,€0.297 hourly,€1.595 hourly,€1.1604 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.133 hourly,€0.054 hourly,€0.29 hourly,€0.211 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.4632 hourly,€0.594 hourly,€3.1901 hourly,€2.3209 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.266 hourly,€0.108 hourly,€0.58 hourly,€0.422 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€2.9264 hourly,€1.1879 hourly,€6.3802 hourly,€4.6417 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€6.3084 hourly,€3.6877 hourly,€13.216 hourly,€10.5952 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€6.8819 hourly,€4.023 hourly,€14.4174 hourly,€11.5584 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.7886 hourly,€0.461 hourly,€1.652 hourly,€1.3244 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.1434 hourly,€0.0838 hourly,€0.3004 hourly,€0.2408 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€1.5771 hourly,€0.9219 hourly,€3.304 hourly,€2.6488 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.2867 hourly,€0.1676 hourly,€0.6007 hourly,€0.4816 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€3.1542 hourly,€1.8439 hourly,€6.608 hourly,€5.2976 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€6.0047 hourly,€2.8132 hourly,€12.9122 hourly,€9.7207 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€6.0047 hourly,€2.8132 hourly,€12.9122 hourly,€9.7207 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€6.5506 hourly,€3.0689 hourly,€14.086 hourly,€10.6044 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.7506 hourly,€0.3516 hourly,€1.614 hourly,€1.2151 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.7506 hourly,€0.3516 hourly,€1.614 hourly,€1.2151 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.1365 hourly,€0.0639 hourly,€0.2935 hourly,€0.2209 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.1365 hourly,€0.0639 hourly,€0.2935 hourly,€0.2209 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€1.5012 hourly,€0.7033 hourly,€3.2281 hourly,€2.4302 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€1.5012 hourly,€0.7033 hourly,€3.2281 hourly,€2.4302 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.2729 hourly,€0.1279 hourly,€0.5869 hourly,€0.4418 hourly
