Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.7105 hourly,€0.2816 hourly,€1.1815 hourly,€0.7526 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.4211 hourly,€0.5633 hourly,€2.363 hourly,€1.5052 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€2.8422 hourly,€1.1265 hourly,€4.726 hourly,€3.0104 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€5.6843 hourly,€2.253 hourly,€9.4521 hourly,€6.0208 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€8.4524 hourly,€3.3397 hourly,€12.2201 hourly,€7.1074 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.0565 hourly,€0.4175 hourly,€1.5275 hourly,€0.8884 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.1131 hourly,€0.8349 hourly,€3.055 hourly,€1.7769 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.2262 hourly,€1.6699 hourly,€6.11 hourly,€3.5537 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€8.4524 hourly,€3.3397 hourly,€12.2201 hourly,€7.1074 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€7.7393 hourly,€1.4886 hourly,€15.9028 hourly,€9.652 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€7.7393 hourly,€1.4886 hourly,€15.9028 hourly,€9.652 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€0.9674 hourly,€0.1861 hourly,€1.9878 hourly,€1.2065 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€1.9348 hourly,€0.3721 hourly,€3.9757 hourly,€2.413 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€3.8697 hourly,€0.7443 hourly,€7.9514 hourly,€4.826 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€7.7393 hourly,€1.4886 hourly,€15.9028 hourly,€9.652 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€7.7393 hourly,€1.4886 hourly,€15.9028 hourly,€9.652 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€10.207 hourly,€1.9401 hourly,€18.9984 hourly,€10.7315 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€10.207 hourly,€1.9401 hourly,€18.9984 hourly,€10.7315 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.698 hourly,€0.2056 hourly,€1.3259 hourly,€0.8336 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.3087 hourly,€0.3855 hourly,€2.4861 hourly,€1.5629 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1745 hourly,€0.0514 hourly,€0.3315 hourly,€0.2084 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.6173 hourly,€0.7711 hourly,€4.9722 hourly,€3.1259 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.349 hourly,€0.1028 hourly,€0.663 hourly,€0.4168 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€6.3859 hourly,€2.0386 hourly,€13.2934 hourly,€8.9461 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€7.3965 hourly,€2.3652 hourly,€14.9319 hourly,€9.9006 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.7982 hourly,€0.2548 hourly,€1.6617 hourly,€1.1183 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.1451 hourly,€0.0463 hourly,€0.3021 hourly,€0.2033 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.5965 hourly,€0.5097 hourly,€3.3233 hourly,€2.2365 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.2903 hourly,€0.0927 hourly,€0.6042 hourly,€0.4066 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€3.1929 hourly,€1.0193 hourly,€6.6467 hourly,€4.4731 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€9.9339 hourly,€3.2036 hourly,€16.8414 hourly,€10.1111 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€10.837 hourly,€3.4948 hourly,€18.3725 hourly,€11.0303 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€1.2417 hourly,€0.4004 hourly,€2.1052 hourly,€1.2639 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.2258 hourly,€0.0728 hourly,€0.3828 hourly,€0.2298 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€2.4835 hourly,€0.8009 hourly,€4.2104 hourly,€2.5278 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.4515 hourly,€0.1456 hourly,€0.7655 hourly,€0.4596 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€4.967 hourly,€1.6018 hourly,€8.4207 hourly,€5.0556 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€7.5685 hourly,€2.4269 hourly,€14.4761 hourly,€9.3345 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€7.5685 hourly,€2.4269 hourly,€14.4761 hourly,€9.3345 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€8.2566 hourly,€2.6476 hourly,€15.7921 hourly,€10.183 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.9461 hourly,€0.3034 hourly,€1.8095 hourly,€1.1668 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.9461 hourly,€0.3034 hourly,€1.8095 hourly,€1.1668 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.172 hourly,€0.0552 hourly,€0.329 hourly,€0.2121 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.172 hourly,€0.0552 hourly,€0.329 hourly,€0.2121 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€1.8921 hourly,€0.6067 hourly,€3.619 hourly,€2.3336 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€1.8921 hourly,€0.6067 hourly,€3.619 hourly,€2.3336 hourly
