Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.8828 hourly,€0.1608 hourly,€1.3537 hourly,€0.6318 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.7655 hourly,€0.3217 hourly,€2.7075 hourly,€1.2636 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.5311 hourly,€0.6434 hourly,€5.4149 hourly,€2.5273 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€7.0621 hourly,€1.2868 hourly,€10.8299 hourly,€5.0545 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€10.5014 hourly,€1.9134 hourly,€14.2692 hourly,€5.6811 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.3127 hourly,€0.2392 hourly,€1.7836 hourly,€0.7101 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.6254 hourly,€0.4783 hourly,€3.5673 hourly,€1.4203 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€5.2507 hourly,€0.9567 hourly,€7.1346 hourly,€2.8405 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€10.5014 hourly,€1.9134 hourly,€14.2692 hourly,€5.6811 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€11.291 hourly,€2.0322 hourly,€19.4544 hourly,€10.1956 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€11.291 hourly,€2.0322 hourly,€19.4544 hourly,€10.1956 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.4114 hourly,€0.254 hourly,€2.4318 hourly,€1.2744 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.8227 hourly,€0.508 hourly,€4.8636 hourly,€2.5489 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.6455 hourly,€1.0161 hourly,€9.7272 hourly,€5.0978 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€11.291 hourly,€2.0322 hourly,€19.4544 hourly,€10.1956 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€11.291 hourly,€2.0322 hourly,€19.4544 hourly,€10.1956 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€14.64 hourly,€2.6349 hourly,€23.4314 hourly,€11.4263 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€14.64 hourly,€2.6349 hourly,€23.4314 hourly,€11.4263 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.8669 hourly,€0.1784 hourly,€1.4949 hourly,€0.8063 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.6255 hourly,€0.3344 hourly,€2.8029 hourly,€1.5119 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.2167 hourly,€0.0446 hourly,€0.3737 hourly,€0.2016 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€3.2511 hourly,€0.6689 hourly,€5.6059 hourly,€3.0237 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.4335 hourly,€0.0892 hourly,€0.7475 hourly,€0.4032 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€8.942 hourly,€2.5068 hourly,€15.8495 hourly,€9.4143 hourly
