Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.1946 hourly,€0.4441 hourly,€2.4505 hourly,€1.7001 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1493 hourly,€0.0555 hourly,€0.3063 hourly,€0.2125 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€1.7919 hourly,€0.6662 hourly,€3.6758 hourly,€2.5501 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.2987 hourly,€0.111 hourly,€0.6126 hourly,€0.425 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€3.5838 hourly,€1.3324 hourly,€7.3516 hourly,€5.1002 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€7.9797 hourly,€3.1669 hourly,€13.6313 hourly,€8.8185 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€7.9797 hourly,€3.1669 hourly,€13.6313 hourly,€8.8185 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€0.8866 hourly,€0.3519 hourly,€1.5146 hourly,€0.9798 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€0.8866 hourly,€0.3519 hourly,€1.5146 hourly,€0.9798 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€10.6396 hourly,€4.2226 hourly,€18.1751 hourly,€11.7581 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€10.6396 hourly,€4.2226 hourly,€18.1751 hourly,€11.7581 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.1093 hourly,€0.0433 hourly,€0.1878 hourly,€0.1218 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.33 hourly,€0.5278 hourly,€2.2719 hourly,€1.4698 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.33 hourly,€0.5278 hourly,€2.2719 hourly,€1.4698 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€15.9594 hourly,€6.3339 hourly,€27.2626 hourly,€17.6371 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€15.9594 hourly,€6.3339 hourly,€27.2626 hourly,€17.6371 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€15.9594 hourly,€6.3339 hourly,€27.2626 hourly,€17.6371 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€15.9594 hourly,€6.3339 hourly,€27.2626 hourly,€17.6371 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€1.7733 hourly,€0.7038 hourly,€3.0292 hourly,€1.9597 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€1.7733 hourly,€0.7038 hourly,€3.0292 hourly,€1.9597 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.2217 hourly,€0.088 hourly,€0.3786 hourly,€0.245 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.2217 hourly,€0.088 hourly,€0.3786 hourly,€0.245 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€2.6599 hourly,€1.0556 hourly,€4.5438 hourly,€2.9395 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€2.6599 hourly,€1.0556 hourly,€4.5438 hourly,€2.9395 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.4433 hourly,€0.1759 hourly,€0.7573 hourly,€0.4899 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.4433 hourly,€0.1759 hourly,€0.7573 hourly,€0.4899 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€5.3198 hourly,€2.1113 hourly,€9.0875 hourly,€5.879 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€5.3198 hourly,€2.1113 hourly,€9.0875 hourly,€5.879 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€6.1682 hourly,€2.3542 hourly,€11.8198 hourly,€8.0058 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€6.1682 hourly,€2.3542 hourly,€11.8198 hourly,€8.0058 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.6854 hourly,€0.2616 hourly,€1.3133 hourly,€0.8895 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.6854 hourly,€0.2616 hourly,€1.3133 hourly,€0.8895 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€8.2243 hourly,€3.1389 hourly,€15.7598 hourly,€10.6744 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€8.2243 hourly,€3.1389 hourly,€15.7598 hourly,€10.6744 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.0841 hourly,€0.032 hourly,€0.1626 hourly,€0.1105 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€1.028 hourly,€0.3924 hourly,€1.97 hourly,€1.3343 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€1.028 hourly,€0.3924 hourly,€1.97 hourly,€1.3343 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€12.3365 hourly,€4.7084 hourly,€23.6397 hourly,€16.0116 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€12.3365 hourly,€4.7084 hourly,€23.6397 hourly,€16.0116 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€12.3365 hourly,€4.7084 hourly,€23.6397 hourly,€16.0116 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€12.3365 hourly,€4.7084 hourly,€23.6397 hourly,€16.0116 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€1.3707 hourly,€0.5232 hourly,€2.6266 hourly,€1.7791 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€1.3707 hourly,€0.5232 hourly,€2.6266 hourly,€1.7791 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.1713 hourly,€0.0654 hourly,€0.3283 hourly,€0.2224 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.1713 hourly,€0.0654 hourly,€0.3283 hourly,€0.2224 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€2.0561 hourly,€0.7847 hourly,€3.9399 hourly,€2.6686 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€2.0561 hourly,€0.7847 hourly,€3.9399 hourly,€2.6686 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,€0.3427 hourly,€0.1308 hourly,€0.6567 hourly,€0.4448 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.3427 hourly,€0.1308 hourly,€0.6567 hourly,€0.4448 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€4.1122 hourly,€1.5695 hourly,€7.8799 hourly,€5.3372 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€4.1122 hourly,€1.5695 hourly,€7.8799 hourly,€5.3372 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.3545 hourly,€0.0904 hourly,€0.9825 hourly,€0.7184 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.0443 hourly,€0.0113 hourly,€0.1228 hourly,€0.0898 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€0.7091 hourly,€0.1808 hourly,€1.965 hourly,€1.4367 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.0886 hourly,€0.0226 hourly,€0.2456 hourly,€0.1796 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.1773 hourly,€0.0452 hourly,€0.4913 hourly,€0.3592 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.6479 hourly,€0.1652 hourly,€1.2758 hourly,€0.7932 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.081 hourly,€0.0207 hourly,€0.1595 hourly,€0.0991 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.162 hourly,€0.0413 hourly,€0.319 hourly,€0.1983 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.3239 hourly,€0.0826 hourly,€0.6379 hourly,€0.3966 hourly
E2 Medium,e2-medium,4 GiB,2,€0.0496 hourly,€0.0126 hourly,€0.1281 hourly,€0.0911 hourly
E2 Micro,e2-micro,1 GiB,2,€0.0417 hourly,€0.0106 hourly,€0.1202 hourly,€0.0891 hourly
E2 Small,e2-small,2 GiB,2,€0.0443 hourly,€0.0113 hourly,€0.1228 hourly,€0.0898 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.4803 hourly,€0.1225 hourly,€1.1082 hourly,€0.7504 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.06 hourly,€0.0153 hourly,€0.1385 hourly,€0.0938 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€0.9605 hourly,€0.245 hourly,€2.2164 hourly,€1.5009 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.1201 hourly,€0.0306 hourly,€0.2771 hourly,€0.1876 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.2401 hourly,€0.0612 hourly,€0.5541 hourly,€0.3752 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,,,,
G2 Standard 16,g2-standard-16,64 GiB,16,,,,
G2 Standard 24,g2-standard-24,96 GiB,24,,,,
G2 Standard 32,g2-standard-32,128 GiB,32,,,,
G2 Standard 4,g2-standard-4,16 GiB,4,,,,
G2 Standard 48,g2-standard-48,192 GiB,48,,,,
G2 Standard 8,g2-standard-8,32 GiB,8,,,,
G2 Standard 96,g2-standard-96,384 GiB,96,,,,
H3 Standard 88,h3-standard-88,352 GiB,88,,,,
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,,,,
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,,,,
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,,,,
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,,,,
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,,,,
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€0.5063 hourly,€0.4965 hourly,€1.1342 hourly,€1.1244 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€1.0125 hourly,€0.9929 hourly,€2.2684 hourly,€2.2488 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€2.025 hourly,€1.9858 hourly,€4.5369 hourly,€4.4977 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€3.4045 hourly,€3.0806 hourly,€7.8002 hourly,€7.4763 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€6.809 hourly,€6.1612 hourly,€15.6004 hourly,€14.9526 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€0.8511 hourly,€0.7702 hourly,€1.95 hourly,€1.8691 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€1.7023 hourly,€1.5403 hourly,€3.9001 hourly,€3.7381 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€4.2404 hourly,€5.4483 hourly,€8.6361 hourly,€9.844 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€8.4808 hourly,€10.8967 hourly,€17.2722 hourly,€19.6881 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€2.1202 hourly,€2.7242 hourly,€4.318 hourly,€4.922 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,,€0.1015 hourly,,€0.7295 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,,€0.0127 hourly,,€0.0912 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,,€0.203 hourly,,€1.4589 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,,€0.0254 hourly,,€0.1824 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,,€0.4061 hourly,,€2.9179 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,,€0.0508 hourly,,€0.3647 hourly
