Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.7783 hourly,€0.3113 hourly,€1.2493 hourly,€0.7823 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.5566 hourly,€0.6226 hourly,€2.4985 hourly,€1.5645 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.1132 hourly,€1.2452 hourly,€4.997 hourly,€3.129 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€6.2263 hourly,€2.4903 hourly,€9.994 hourly,€6.2581 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€9.2583 hourly,€3.7029 hourly,€13.0261 hourly,€7.4706 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.1573 hourly,€0.4629 hourly,€1.6283 hourly,€0.9338 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.3146 hourly,€0.9257 hourly,€3.2565 hourly,€1.8677 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.6292 hourly,€1.8514 hourly,€6.513 hourly,€3.7353 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€9.2583 hourly,€3.7029 hourly,€13.0261 hourly,€7.4706 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€10.4505 hourly,€1.7919 hourly,€18.6139 hourly,€9.9553 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€10.4505 hourly,€1.7919 hourly,€18.6139 hourly,€9.9553 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.3063 hourly,€0.224 hourly,€2.3267 hourly,€1.2444 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.6126 hourly,€0.448 hourly,€4.6535 hourly,€2.4888 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.2252 hourly,€0.8959 hourly,€9.307 hourly,€4.9777 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€10.4505 hourly,€1.7919 hourly,€18.6139 hourly,€9.9553 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€10.4505 hourly,€1.7919 hourly,€18.6139 hourly,€9.9553 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€13.6884 hourly,€2.3234 hourly,€22.4797 hourly,€11.1148 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€13.6884 hourly,€2.3234 hourly,€22.4797 hourly,€11.1148 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7646 hourly,€0.2147 hourly,€1.3925 hourly,€0.8426 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.4336 hourly,€0.4025 hourly,€2.611 hourly,€1.5799 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1911 hourly,€0.0537 hourly,€0.3481 hourly,€0.2107 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.8671 hourly,€0.8049 hourly,€5.222 hourly,€3.1598 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3823 hourly,€0.1073 hourly,€0.6963 hourly,€0.4213 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€2.1088 hourly,€2.7744 hourly,€9.0163 hourly,€9.6819 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€2.8339 hourly,€3.2388 hourly,€10.3694 hourly,€10.7743 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.2636 hourly,€0.3468 hourly,€1.127 hourly,€1.2102 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.0479 hourly,€0.0631 hourly,€0.2049 hourly,€0.22 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€0.5272 hourly,€0.6936 hourly,€2.2541 hourly,€2.4205 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.0959 hourly,€0.1261 hourly,€0.4098 hourly,€0.4401 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€1.0544 hourly,€1.3872 hourly,€4.5081 hourly,€4.841 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€6.5094 hourly,€4.525 hourly,€13.4169 hourly,€11.4325 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€7.1011 hourly,€4.9364 hourly,€14.6366 hourly,€12.4719 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.8137 hourly,€0.5656 hourly,€1.6771 hourly,€1.4291 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.1479 hourly,€0.1028 hourly,€0.3049 hourly,€0.2598 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€1.6273 hourly,€1.1313 hourly,€3.3542 hourly,€2.8581 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.2959 hourly,€0.2057 hourly,€0.6099 hourly,€0.5197 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€3.2547 hourly,€2.2625 hourly,€6.7084 hourly,€5.7163 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€3.5756 hourly,€3.358 hourly,€10.4832 hourly,€10.2655 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€3.5756 hourly,€3.358 hourly,€10.4832 hourly,€10.2655 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€3.9007 hourly,€3.6632 hourly,€11.4362 hourly,€11.1987 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.447 hourly,€0.4197 hourly,€1.3104 hourly,€1.2832 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.447 hourly,€0.4197 hourly,€1.3104 hourly,€1.2832 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.0813 hourly,€0.0763 hourly,€0.2383 hourly,€0.2333 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.0813 hourly,€0.0763 hourly,€0.2383 hourly,€0.2333 hourly
