Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C3 Standard 44,c3-standard-44,176 GiB,44,€0.2189 hourly,€0.7443 hourly,€1.9457 hourly,€2.4712 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€0.2189 hourly,€0.7443 hourly,€1.9457 hourly,€2.4712 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.0398 hourly,€0.1353 hourly,€0.3538 hourly,€0.4493 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.0398 hourly,€0.1353 hourly,€0.3538 hourly,€0.4493 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€0.4377 hourly,€1.4886 hourly,€3.8915 hourly,€4.9423 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€0.4377 hourly,€1.4886 hourly,€3.8915 hourly,€4.9423 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€4.9933 hourly,€2.3206 hourly,€10.6449 hourly,€7.9722 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.5548 hourly,€0.2578 hourly,€1.1828 hourly,€0.8858 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€6.6577 hourly,€3.0941 hourly,€14.1932 hourly,€10.6296 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.0694 hourly,€0.0322 hourly,€0.1478 hourly,€0.1107 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€0.8322 hourly,€0.3868 hourly,€1.7742 hourly,€1.3287 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€9.9866 hourly,€4.6412 hourly,€21.2898 hourly,€15.9444 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.1096 hourly,€0.5157 hourly,€2.3655 hourly,€1.7716 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.1387 hourly,€0.0645 hourly,€0.2957 hourly,€0.2215 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€1.6644 hourly,€0.7735 hourly,€3.5483 hourly,€2.6574 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.2774 hourly,€0.1289 hourly,€0.5914 hourly,€0.4429 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€3.3289 hourly,€1.5471 hourly,€7.0966 hourly,€5.3148 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€5.3506 hourly,€3.3937 hourly,€11.0022 hourly,€9.0453 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€5.3506 hourly,€3.3937 hourly,€11.0022 hourly,€9.0453 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€0.5945 hourly,€0.3771 hourly,€1.2225 hourly,€1.005 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€0.5945 hourly,€0.3771 hourly,€1.2225 hourly,€1.005 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€7.1341 hourly,€4.5249 hourly,€14.6696 hourly,€12.0604 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€7.1341 hourly,€4.5249 hourly,€14.6696 hourly,€12.0604 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.0741 hourly,€0.0465 hourly,€0.1526 hourly,€0.125 hourly
