Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.8952 hourly,€0.2285 hourly,€1.3662 hourly,€0.6994 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.7904 hourly,€0.457 hourly,€2.7323 hourly,€1.3989 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.5807 hourly,€0.9139 hourly,€5.4646 hourly,€2.7978 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€7.1615 hourly,€1.8278 hourly,€10.9292 hourly,€5.5956 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€10.6489 hourly,€2.7178 hourly,€14.4167 hourly,€6.4856 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.3311 hourly,€0.3397 hourly,€1.8021 hourly,€0.8107 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.6622 hourly,€0.6795 hourly,€3.6042 hourly,€1.6214 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€5.3245 hourly,€1.3589 hourly,€7.2083 hourly,€3.2428 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€10.6489 hourly,€2.7178 hourly,€14.4167 hourly,€6.4856 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€10.4927 hourly,€1.89 hourly,€18.6562 hourly,€10.0534 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€10.4927 hourly,€1.89 hourly,€18.6562 hourly,€10.0534 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.3116 hourly,€0.2363 hourly,€2.332 hourly,€1.2567 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.6232 hourly,€0.4725 hourly,€4.664 hourly,€2.5134 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€5.2464 hourly,€0.945 hourly,€9.3281 hourly,€5.0267 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€10.4927 hourly,€1.89 hourly,€18.6562 hourly,€10.0534 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€10.4927 hourly,€1.89 hourly,€18.6562 hourly,€10.0534 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€13.605 hourly,€2.4507 hourly,€22.3964 hourly,€11.2421 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€13.605 hourly,€2.4507 hourly,€22.3964 hourly,€11.2421 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.8797 hourly,€0.1809 hourly,€1.5076 hourly,€0.8089 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.6494 hourly,€0.3392 hourly,€2.8268 hourly,€1.5167 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.2199 hourly,€0.0452 hourly,€0.3769 hourly,€0.2022 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€3.2988 hourly,€0.6785 hourly,€5.6537 hourly,€3.0333 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.4398 hourly,€0.0905 hourly,€0.7538 hourly,€0.4044 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€0.7309 hourly,€2.7079 hourly,€7.6384 hourly,€9.6154 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€0.8532 hourly,€3.0993 hourly,€8.3887 hourly,€10.6348 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.0914 hourly,€0.3385 hourly,€0.9548 hourly,€1.2019 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.0166 hourly,€0.0615 hourly,€0.1736 hourly,€0.2185 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€0.1827 hourly,€0.677 hourly,€1.9096 hourly,€2.4038 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.0332 hourly,€0.1231 hourly,€0.3472 hourly,€0.4371 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€0.3654 hourly,€1.3539 hourly,€3.8192 hourly,€4.8077 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€1.1921 hourly,€3.9062 hourly,€8.0996 hourly,€10.8137 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€1.3005 hourly,€4.2613 hourly,€8.836 hourly,€11.7967 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€0.149 hourly,€0.4883 hourly,€1.0125 hourly,€1.3517 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.0271 hourly,€0.0888 hourly,€0.1841 hourly,€0.2458 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€0.298 hourly,€0.9765 hourly,€2.0249 hourly,€2.7034 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.0542 hourly,€0.1776 hourly,€0.3682 hourly,€0.4915 hourly
C3 High Memory 88,c3-highmem-88,704 GiB,88,€0.5961 hourly,€1.9531 hourly,€4.0498 hourly,€5.4068 hourly
C3 Standard 176,c3-standard-176,704 GiB,176,€0.8846 hourly,€3.1073 hourly,€7.7921 hourly,€10.0148 hourly
C3 Standard 176 lssd,c3-standard-176-lssd,704 GiB,176,€0.8846 hourly,€3.1073 hourly,€7.7921 hourly,€10.0148 hourly
C3 Standard 192 metal,c3-standard-192-metal,768 GiB,192,€0.965 hourly,€3.3898 hourly,€8.5005 hourly,€10.9253 hourly
C3 Standard 22,c3-standard-22,88 GiB,22,€0.1106 hourly,€0.3884 hourly,€0.974 hourly,€1.2519 hourly
C3 Standard 22 lssd,c3-standard-22-lssd,88 GiB,22,€0.1106 hourly,€0.3884 hourly,€0.974 hourly,€1.2519 hourly
C3 Standard 4,c3-standard-4,16 GiB,4,€0.0201 hourly,€0.0706 hourly,€0.1771 hourly,€0.2276 hourly
C3 Standard 4 lssd,c3-standard-4-lssd,16 GiB,4,€0.0201 hourly,€0.0706 hourly,€0.1771 hourly,€0.2276 hourly
C3 Standard 44,c3-standard-44,176 GiB,44,€0.2212 hourly,€0.7768 hourly,€1.948 hourly,€2.5037 hourly
C3 Standard 44 lssd,c3-standard-44-lssd,176 GiB,44,€0.2212 hourly,€0.7768 hourly,€1.948 hourly,€2.5037 hourly
C3 Standard 8,c3-standard-8,32 GiB,8,€0.0402 hourly,€0.1412 hourly,€0.3542 hourly,€0.4552 hourly
C3 Standard 8 lssd,c3-standard-8-lssd,32 GiB,8,€0.0402 hourly,€0.1412 hourly,€0.3542 hourly,€0.4552 hourly
C3 Standard 88,c3-standard-88,352 GiB,88,€0.4423 hourly,€1.5536 hourly,€3.8961 hourly,€5.0074 hourly
C3 Standard 88 lssd,c3-standard-88-lssd,352 GiB,88,€0.4423 hourly,€1.5536 hourly,€3.8961 hourly,€5.0074 hourly
C4 High CPU 144,c4-highcpu-144,288 GiB,144,€5.041 hourly,€2.0547 hourly,€10.6926 hourly,€7.7063 hourly
C4 High CPU 16,c4-highcpu-16,32 GiB,16,€0.5601 hourly,€0.2283 hourly,€1.1881 hourly,€0.8563 hourly
C4 High CPU 192,c4-highcpu-192,384 GiB,192,€6.7213 hourly,€2.7396 hourly,€14.2568 hourly,€10.2751 hourly
C4 High CPU 2,c4-highcpu-2,4 GiB,2,€0.07 hourly,€0.0285 hourly,€0.1485 hourly,€0.107 hourly
C4 High CPU 24,c4-highcpu-24,48 GiB,24,€0.8402 hourly,€0.3425 hourly,€1.7821 hourly,€1.2844 hourly
C4 High CPU 288,c4-highcpu-288,576 GiB,288,€10.082 hourly,€4.1095 hourly,€21.3852 hourly,€15.4127 hourly
C4 High CPU 32,c4-highcpu-32,64 GiB,32,€1.1202 hourly,€0.4566 hourly,€2.3761 hourly,€1.7125 hourly
C4 High CPU 4,c4-highcpu-4,8 GiB,4,€0.14 hourly,€0.0571 hourly,€0.297 hourly,€0.2141 hourly
C4 High CPU 48,c4-highcpu-48,96 GiB,48,€1.6803 hourly,€0.6849 hourly,€3.5642 hourly,€2.5688 hourly
C4 High CPU 8,c4-highcpu-8,16 GiB,8,€0.2801 hourly,€0.1142 hourly,€0.594 hourly,€0.4281 hourly
C4 High CPU 96,c4-highcpu-96,192 GiB,96,€3.3607 hourly,€1.3698 hourly,€7.1284 hourly,€5.1376 hourly
C4 High Memory 144,c4-highmem-144,1116 GiB,144,€5.3624 hourly,€3.1476 hourly,€11.014 hourly,€8.7992 hourly
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€5.3624 hourly,€3.1476 hourly,€11.014 hourly,€8.7992 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€0.5958 hourly,€0.3497 hourly,€1.2238 hourly,€0.9777 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€0.5958 hourly,€0.3497 hourly,€1.2238 hourly,€0.9777 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€7.1499 hourly,€4.1968 hourly,€14.6854 hourly,€11.7323 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€7.1499 hourly,€4.1968 hourly,€14.6854 hourly,€11.7323 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.0743 hourly,€0.0431 hourly,€0.1528 hourly,€0.1216 hourly
