Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
A2 Highgpu 1g,a2-highgpu-1g,85 GiB,12,€0.8128 hourly,€0.1747 hourly,€1.2838 hourly,€0.6457 hourly
A2 Highgpu 2g,a2-highgpu-2g,170 GiB,24,€1.6257 hourly,€0.3494 hourly,€2.5676 hourly,€1.2913 hourly
A2 Highgpu 4g,a2-highgpu-4g,340 GiB,48,€3.2513 hourly,€0.6988 hourly,€5.1352 hourly,€2.5827 hourly
A2 Highgpu 8g,a2-highgpu-8g,680 GiB,96,€6.5027 hourly,€1.3976 hourly,€10.2704 hourly,€5.1654 hourly
A2 Megagpu 16g,a2-megagpu-16g,1360 GiB,96,€9.6693 hourly,€2.1351 hourly,€13.437 hourly,€5.9028 hourly
A2 Ultragpu 1g,a2-ultragpu-1g,170 GiB,12,€1.2087 hourly,€0.2669 hourly,€1.6796 hourly,€0.7379 hourly
A2 Ultragpu 2g,a2-ultragpu-2g,340 GiB,24,€2.4173 hourly,€0.5338 hourly,€3.3593 hourly,€1.4757 hourly
A2 Ultragpu 4g,a2-ultragpu-4g,680 GiB,48,€4.8346 hourly,€1.0675 hourly,€6.7185 hourly,€2.9514 hourly
A2 Ultragpu 8g,a2-ultragpu-8g,1360 GiB,96,€9.6693 hourly,€2.1351 hourly,€13.437 hourly,€5.9028 hourly
A3 Edgegpu 8g,a3-edgegpu-8g,1872 GiB,208,€9.7581 hourly,€1.769 hourly,€17.9216 hourly,€9.9324 hourly
A3 Edgegpu 8g nolssd,a3-edgegpu-8g-nolssd,1872 GiB,208,€9.7581 hourly,€1.769 hourly,€17.9216 hourly,€9.9324 hourly
A3 Highgpu 1g,a3-highgpu-1g,234 GiB,26,€1.2198 hourly,€0.2211 hourly,€2.2402 hourly,€1.2416 hourly
A3 Highgpu 2g,a3-highgpu-2g,468 GiB,52,€2.4395 hourly,€0.4422 hourly,€4.4804 hourly,€2.4831 hourly
A3 Highgpu 4g,a3-highgpu-4g,936 GiB,104,€4.8791 hourly,€0.8845 hourly,€8.9608 hourly,€4.9662 hourly
A3 Highgpu 8g,a3-highgpu-8g,1872 GiB,208,€9.7581 hourly,€1.769 hourly,€17.9216 hourly,€9.9324 hourly
A3 Megagpu 8g,a3-megagpu-8g,1872 GiB,208,€9.7581 hourly,€1.769 hourly,€17.9216 hourly,€9.9324 hourly
A3 Ultragpu 8g,a3-ultragpu-8g,2952 GiB,224,€12.7181 hourly,€2.282 hourly,€21.5095 hourly,€11.0734 hourly
A3 Ultragpu 8g nolssd,a3-ultragpu-8g-nolssd,2952 GiB,224,€12.7181 hourly,€2.282 hourly,€21.5095 hourly,€11.0734 hourly
C2 Standard 16,c2-standard-16,64 GiB,16,€0.7984 hourly,€0.2118 hourly,€1.4264 hourly,€0.8397 hourly
C2 Standard 30,c2-standard-30,120 GiB,30,€1.4971 hourly,€0.397 hourly,€2.6745 hourly,€1.5745 hourly
C2 Standard 4,c2-standard-4,16 GiB,4,€0.1996 hourly,€0.0529 hourly,€0.3566 hourly,€0.2099 hourly
C2 Standard 60,c2-standard-60,240 GiB,60,€2.9941 hourly,€0.7941 hourly,€5.349 hourly,€3.1489 hourly
C2 Standard 8,c2-standard-8,32 GiB,8,€0.3992 hourly,€0.1059 hourly,€0.7132 hourly,€0.4199 hourly
C3 High CPU 176,c3-highcpu-176,352 GiB,176,€6.6414 hourly,€2.0323 hourly,€13.5489 hourly,€8.9398 hourly
C3 High CPU 192 metal,c3-highcpu-192-metal,512 GiB,192,€7.7553 hourly,€2.3773 hourly,€15.2908 hourly,€9.9128 hourly
C3 High CPU 22,c3-highcpu-22,44 GiB,22,€0.8302 hourly,€0.254 hourly,€1.6936 hourly,€1.1175 hourly
C3 High CPU 4,c3-highcpu-4,8 GiB,4,€0.1509 hourly,€0.0462 hourly,€0.3079 hourly,€0.2032 hourly
C3 High CPU 44,c3-highcpu-44,88 GiB,44,€1.6603 hourly,€0.5081 hourly,€3.3872 hourly,€2.235 hourly
C3 High CPU 8,c3-highcpu-8,16 GiB,8,€0.3019 hourly,€0.0924 hourly,€0.6159 hourly,€0.4064 hourly
C3 High CPU 88,c3-highcpu-88,176 GiB,88,€3.3207 hourly,€1.0162 hourly,€6.7744 hourly,€4.4699 hourly
C3 High Memory 176,c3-highmem-176,1408 GiB,176,€10.8504 hourly,€3.3541 hourly,€17.7579 hourly,€10.2616 hourly
C3 High Memory 192 metal,c3-highmem-192-metal,1536 GiB,192,€11.8368 hourly,€3.659 hourly,€19.3723 hourly,€11.1944 hourly
C3 High Memory 22,c3-highmem-22,176 GiB,22,€1.3563 hourly,€0.4193 hourly,€2.2197 hourly,€1.2827 hourly
C3 High Memory 4,c3-highmem-4,32 GiB,4,€0.2466 hourly,€0.0762 hourly,€0.4036 hourly,€0.2332 hourly
C3 High Memory 44,c3-highmem-44,352 GiB,44,€2.7126 hourly,€0.8385 hourly,€4.4395 hourly,€2.5654 hourly
C3 High Memory 8,c3-highmem-8,64 GiB,8,€0.4932 hourly,€0.1525 hourly,€0.8072 hourly,€0.4664 hourly
