model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.tdp,configuration.cpu.model_range,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server
AWS,c5n.18xlarge,rack,2018,2,240,Xeon Platinum 8124M,18,Intel,Skylake,2018,14,,12,16,,,,0,EBS,0,,2,,1
AWS,c5n.metal,rack,2019,2,240,Xeon Platinum 8124M,18,Intel,Skylake,2019,14,,12,16,,,,0,EBS,0,,2,,1
AWS,c6g.medium,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,64
AWS,c6g.large,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,32
AWS,c6g.xlarge,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,16
AWS,c6g.2xlarge,rack,2019,1,240,Xeon Platinum 8275CL,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,8
AWS,c6g.4xlarge,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,4
AWS,c6g.8xlarge,rack,2019,1,240,Xeon Platinum 8275CL,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,2
AWS,c6g.12xlarge,rack,2019,1,240,Xeon Platinum 8275CL,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,"1,333333333"
AWS,c6g.16xlarge,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,1
AWS,c6g.metal,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,0,EBS,0,,2,,1
AWS,c6gd.medium,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,64
AWS,c6gd.large,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,32
AWS,c6gd.xlarge,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,16
AWS,c6gd.2xlarge,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,8
AWS,c6gd.4xlarge,rack,2019,1,240,Xeon Platinum 8124M,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,4
