Instance,Host,NbInstancesMax,NVMe units,NVMe capacity,SSD embedded capacity
M64ls,Msm-type1,2,,,
M64-16ms,Msm-type1,2,,,
M64-32ms,Msm-type1,2,,,
M128ms,Msm-type1,1,,,
M128s,Msm-type1,1,,,
M128m,Msm-type1,1,,,
M128,Msm-type1,1,,,
M128-32ms,Msm-type1,1,,,
M128-64ms,Msm-type1,1,,,
M32dms v2,Mdmsv2MedMem-Type1,4,,,
M64ds v2,Mdmsv2MedMem-Type1,2,,,
M64dms v2,Mdmsv2MedMem-Type1,2,,,
M128ds v2,Mdmsv2MedMem-Type1,1,,,
M128dms v2,Mdmsv2MedMem-Type1,1,,,
M32dms v2,Mdsv2MedMem-Type1,2,,,
M64ds v2,Mdsv2MedMem-Type1,2,,,
M64dms v2,Mdsv2MedMem-Type1,1,,,
M128ds v2,Mdsv2MedMem-Type1,1,,,
M32ms v2,Mmsv2MedMem-Type1,4,,,
M64s v2,Mmsv2MedMem-Type1,3,,,
M64ms v2,Mmsv2MedMem-Type1,2,,,
M128ms v2,Mmsv2MedMem-Type1,1,,,
M128s v2,Mmsv2MedMem-Type1,1,,,
M32ms v2,Msv2MedMem-Type1,2,,,
M64s v2,Msv2MedMem-Type1,2,,,
M64ms v2,Msv2MedMem-Type1,1,,,
M128s v2,Msv2MedMem-Type1,1,,,
M208ms v2,msmv2-type1,2,,,
M208s v2,msmv2-type1,2,,,
M416-208ms v2,msmv2-type1,1,,,
M416-208s v2,msmv2-type1,1,,,
M416ms v2,msmv2-type1,1,,,
M416s-8 v2,msmv2-type1,1,,,
M416s v2,msmv2-type1,1,,,
M208ms v2,msv2-type1,2,,,
M208s v2,msv2-type1,1,,,
M416-208s v2,msv2-type1,1,,,
M416s v2,msv2-type1,1,,,
L8as v3,lasv3-type1,10,1,1920,
L16as v3,lasv3-type1,5,2,1920,
L32as v3,lasv3-type1,2,4,1920,
L48as v3,lasv3-type1,1,6,1920,
L64as v3,lasv3-type1,1,8,1920,
L80as v3,lasv3-type1,1,10,1920,
L8s v3,lsv3-type1,10,1,1920,
L16s v3,lsv3-type1,5,2,1920,
L32s v3,lsv3-type1,2,4,1920,
L48s v3,lsv3-type1,1,6,1920,
L64s v3,lsv3-type1,1,8,1920,
L80s v3,lsv3-type1,1,10,1920,
L8s v2,lsv2-type1,10,1,1920,
L16s v2,lsv2-type1,5,2,1920,
L32s v2,lsv2-type1,2,4,1920,
