standard_e64-32s_v5,esv5-type1
standard_e64as_v4,easv4-type1
standard_e64ds_v4,edsv4-type1
standard_e64ds_v5,edsv5-type1
standard_e64s_v3,esv3-type3
standard_e64s_v4,esv4-type1
standard_e64s_v5,esv5-type1
standard_e8-2as_v4,easv4-type1
standard_e8-2ds_v4,edsv4-type1
standard_e8-2ds_v5,edsv5-type1
standard_e8-2s_v3,esv3-type3
standard_e8-2s_v4,esv4-type1
standard_e8-2s_v5,esv5-type1
standard_e8-4as_v4,easv4-type1
standard_e8-4ds_v4,edsv4-type1
standard_e8-4ds_v5,edsv5-type1
standard_e8-4s_v3,esv3-type3
standard_e8-4s_v4,esv4-type1
standard_e8-4s_v5,esv5-type1
standard_e80ids_v4,edsv4-type1
standard_e80is_v4,esv4-type1
standard_e8as_v4,easv4-type1
standard_e8ds_v4,edsv4-type1
standard_e8ds_v5,edsv5-type1
standard_e8s_v3,esv3-type3
standard_e8s_v4,esv4-type1
standard_e8s_v5,esv5-type1
standard_e96-24as_v4,easv4-type1
standard_e96-24ds_v5,edsv5-type1
standard_e96-24s_v5,esv5-type1
standard_e96-48as_v4,easv4-type1
standard_e96-48ds_v5,edsv5-type1
standard_e96-48s_v5,esv5-type1
standard_e96as_v4,easv4-type1
standard_e96ds_v5,edsv5-type1
standard_e96ias_v4,easv4-type1
standard_e96s_v5,esv5-type1
standard_f16s_v2,fsv2-type2
standard_f16s_v2,fsv2-type3
standard_f2s_v2,fsv2-type2
standard_f2s_v2,fsv2-type3
standard_f32s_v2,fsv2-type2
standard_f32s_v2,fsv2-type3
standard_f48s_v2,fsv2-type2
standard_f48s_v2,fsv2-type3
standard_f4s_v2,fsv2-type2
standard_f4s_v2,fsv2-type3
standard_f64s_v2,fsv2-type2
standard_f64s_v2,fsv2-type3
standard_f72s_v2,fsv2-type2
standard_f72s_v2,fsv2-type3
standard_f8s_v2,fsv2-type2
standard_f8s_v2,fsv2-type3
standard_fx12mds,fxmds-type1
standard_fx24mds,fxmds-type1
standard_fx36mds,fxmds-type1
standard_fx48mds,fxmds-type1
standard_fx4mds,fxmds-type1
standard_l16s_v2,lsv2-type1
standard_l32s_v2,lsv2-type1
standard_l48s_v2,lsv2-type1
standard_l64s_v2,lsv2-type1
standard_l80s_v2,lsv2-type1
standard_l8s_v2,lsv2-type1
standard_m128,ms-type1;msv2medmem;msmv2
standard_m128,ms-type1eries
standard_m128-32ms,ms-type1;msv2medmem;msmv2
standard_m128-32ms-type1,ms-type1;msv2medmem;msmv2
standard_m128-64ms,ms-type1;msv2medmem;msmv2
standard_m128-64ms-type1,ms-type1;msv2medmem;msmv2
standard_m128dms-type1_v2,ms-type1;msv2medmem;msmv2
standard_m128dms_v2,ms-type1;msv2medmem;msmv2
standard_m128ds_v2,ms-type1;msv2medmem;msmv2
standard_m128ds_v2,ms-type1eries
standard_m128m,ms-type1;msv2medmem;msmv2
standard_m128m,ms-type1eries
standard_m128ms,ms-type1;msv2medmem;msmv2
standard_m128ms-type1,ms-type1;msv2medmem;msmv2
standard_m128ms-type1_v2,ms-type1;msv2medmem;msmv2
standard_m128ms_v2,ms-type1;msv2medmem;msmv2
standard_m128s,ms-type1;msv2medmem;msmv2
standard_m128s,ms-type1eries
standard_m128s_v2,ms-type1;msv2medmem;msmv2
standard_m128s_v2,ms-type1eries
standard_m16-4ms,ms-type1;msv2medmem;msmv2
standard_m16-4ms-type1,ms-type1;msv2medmem;msmv2
standard_m16-8ms,ms-type1;msv2medmem;msmv2
standard_m16-8ms-type1,ms-type1;msv2medmem;msmv2
standard_m16ms,ms-type1;msv2medmem;msmv2
standard_m16ms-type1,ms-type1;msv2medmem;msmv2
standard_m192idms-type1_v2,ms-type1;msv2medmem;msmv2
standard_m192idms_v2,ms-type1;msv2medmem;msmv2
standard_m192ids_v2,ms-type1;msv2medmem;msmv2
standard_m192ids_v2,ms-type1eries
standard_m192ims-type1_v2,ms-type1;msv2medmem;msmv2
standard_m192ims_v2,ms-type1;msv2medmem;msmv2
standard_m192is_v2,ms-type1;msv2medmem;msmv2
standard_m192is_v2,ms-type1eries
standard_m192ms-type1_v2,ms-type1;msv2medmem;msmv2
standard_m192ms_v2,ms-type1;msv2medmem;msmv2
standard_m208ms_v2,ms-type1;msv2medmem;msmv2
standard_m208s_v2,ms-type1;msv2medmem;msmv2
standard_m32-16ms,ms-type1;msv2medmem;msmv2
standard_m32-16ms-type1,ms-type1;msv2medmem;msmv2
standard_m32-8ms,ms-type1;msv2medmem;msmv2
standard_m32-8ms-type1,ms-type1;msv2medmem;msmv2
standard_m32dms-type1_v2,ms-type1;msv2medmem;msmv2
standard_m32dms_v2,ms-type1;msv2medmem;msmv2
standard_m32ls,ms-type1;msv2medmem;msmv2
standard_m32ls,ms-type1eries
standard_m32ms,ms-type1;msv2medmem;msmv2
standard_m32ms-type1,ms-type1;msv2medmem;msmv2
standard_m32ms-type1_v2,ms-type1;msv2medmem;msmv2
standard_m32ms_v2,ms-type1;msv2medmem;msmv2
standard_m32ts,ms-type1;msv2medmem;msmv2
standard_m32ts,ms-type1eries
standard_m416-208ms_v2,ms-type1;msv2medmem;msmv2
standard_m416-208s_v2,ms-type1;msv2medmem;msmv2
standard_m416ms_v2,ms-type1;msv2medmem;msmv2
standard_m416s_v2,ms-type1;msv2medmem;msmv2
standard_m64,ms-type1;msv2medmem;msmv2
standard_m64,ms-type1eries
standard_m64-16ms,ms-type1;msv2medmem;msmv2
standard_m64-16ms-type1,ms-type1;msv2medmem;msmv2
standard_m64-32ms,ms-type1;msv2medmem;msmv2
standard_m64-32ms-type1,ms-type1;msv2medmem;msmv2
standard_m64dms-type1_v2,ms-type1;msv2medmem;msmv2
standard_m64dms_v2,ms-type1;msv2medmem;msmv2
standard_m64ds_v2,ms-type1;msv2medmem;msmv2
standard_m64ds_v2,ms-type1eries
standard_m64ls,ms-type1;msv2medmem;msmv2
standard_m64ls,ms-type1eries
standard_m64m,ms-type1;msv2medmem;msmv2
standard_m64m,ms-type1eries
standard_m64ms,ms-type1;msv2medmem;msmv2
standard_m64ms-type1,ms-type1;msv2medmem;msmv2
standard_m64ms-type1_v2,ms-type1;msv2medmem;msmv2
standard_m64ms_v2,ms-type1;msv2medmem;msmv2
standard_m64s,ms-type1;msv2medmem;msmv2
standard_m64s,ms-type1eries
standard_m64s_v2,ms-type1;msv2medmem;msmv2
standard_m64s_v2,ms-type1eries
standard_m8-4ms,ms-type1;msv2medmem;msmv2
standard_m8-4ms-type1,ms-type1;msv2medmem;msmv2
