"Name","API Name","Instance Memory","vCPUs","Memory per vCPU","GPUs","Storage","Linux On Demand cost","Linux Savings Plan","Linux Reserved cost","Linux Spot cost","Windows On Demand cost","Windows Savings Plan","Windows Reserved cost","Windows Spot cost"
"B2s","B2s","4 GiB","2","2 GiB/vCPU","0","8 GiB","$0.0416 hourly","","","","$0.0496 hourly","","",""
"B2s v2","B2s v2","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.0832 hourly","","","$0.0749 hourly","$0.0924 hourly","","","$0.0832 hourly"
"B2ts v2","B2ts v2","1 GiB","2","0.5 GiB/vCPU","0","0 GiB","$0.0104 hourly","","","$0.0094 hourly","$0.0196 hourly","","","$0.0176 hourly"
"B32als v2","B32als v2","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.065 hourly","","","$0.9585 hourly","$1.213 hourly","","","$1.0917 hourly"
"B32as v2","B32as v2","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.203 hourly","","","$1.0827 hourly","$1.35 hourly","","","$1.215 hourly"
"B32ls v2","B32ls v2","64 GiB","32","2 GiB/vCPU","0","0 GiB","$1.179 hourly","","","$1.0611 hourly","$1.326 hourly","","","$1.1934 hourly"
"B32s v2","B32s v2","128 GiB","32","4 GiB/vCPU","0","0 GiB","$1.331 hourly","","","$1.1979 hourly","$1.478 hourly","","","$1.3302 hourly"
"B4als v2","B4als v2","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.133 hourly","","","$0.1197 hourly","$0.152 hourly","","","$0.1368 hourly"
"B4as v2","B4as v2","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.15 hourly","","","$0.135 hourly","$0.169 hourly","","","$0.1521 hourly"
"B4ls v2","B4ls v2","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.147 hourly","","","$0.1323 hourly","$0.166 hourly","","","$0.1494 hourly"
"B4ms","B4ms","16 GiB","4","4 GiB/vCPU","0","32 GiB","$0.166 hourly","","","","$0.182 hourly","","",""
"Standard B4pls v2","B4pls v2","8 GiB","4","2 GiB/vCPU","0","0 GiB","$0.119 hourly","","","$0.1071 hourly","","","",""
"Standard B4ps v2","B4ps v2","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.134 hourly","","","$0.1206 hourly","","","",""
"B4s v2","B4s v2","16 GiB","4","4 GiB/vCPU","0","0 GiB","$0.166 hourly","","","$0.1494 hourly","$0.185 hourly","","","$0.1665 hourly"
"B8als v2","B8als v2","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.266 hourly","","","$0.2394 hourly","$0.303 hourly","","","$0.2727 hourly"
"B8as v2","B8as v2","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.301 hourly","","","$0.2709 hourly","$0.338 hourly","","","$0.3042 hourly"
"B8ls v2","B8ls v2","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.295 hourly","","","$0.2655 hourly","$0.332 hourly","","","$0.2988 hourly"
"B8ms","B8ms","32 GiB","8","4 GiB/vCPU","0","64 GiB","$0.333 hourly","","","","$0.365 hourly","","",""
"Standard B8pls v2","B8pls v2","16 GiB","8","2 GiB/vCPU","0","0 GiB","$0.238 hourly","","","$0.2142 hourly","","","",""
"Standard B8ps v2","B8ps v2","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.269 hourly","","","$0.2421 hourly","","","",""
"B8s v2","B8s v2","32 GiB","8","4 GiB/vCPU","0","0 GiB","$0.333 hourly","","","$0.2997 hourly","$0.37 hourly","","","$0.333 hourly"
"D1","D1","3.5 GiB","1","3.5 GiB/vCPU","0","50 GiB","$0.077 hourly","","","$0.0151 hourly","$0.14 hourly","","","$0.0274 hourly"
"D11","D11","14 GiB","2","7 GiB/vCPU","0","100 GiB","$0.193 hourly","","","$0.0378 hourly","$0.264 hourly","","","$0.0517 hourly"
"D11s","D11s","14 GiB","2","7 GiB/vCPU","0","28 GiB","$0.193 hourly","","","$0.0378 hourly","$0.264 hourly","","","$0.0517 hourly"
"D11 v2","D11 v2","14 GiB","2","7 GiB/vCPU","0","100 GiB","$0.185 hourly","","","$0.0363 hourly","$0.238 hourly","","","$0.0466 hourly"
"D12","D12","28 GiB","4","7 GiB/vCPU","0","200 GiB","$0.386 hourly","","","$0.0757 hourly","$0.528 hourly","","","$0.1035 hourly"
"D128ads v7","D128ads v7","512 GiB","128","4 GiB/vCPU","0","7040 GiB","$7.296 hourly","","","$1.368 hourly","$13.184 hourly","","","$2.4786 hourly"
"D128alds v7","D128alds v7","512 GiB","128","4 GiB/vCPU","0","7040 GiB","$6.093 hourly","","","$1.1424 hourly","$11.981 hourly","","","$2.2524 hourly"
"D128als v7","D128als v7","256 GiB","128","2 GiB/vCPU","0","0 GiB","$5.146 hourly","","","$0.9649 hourly","$11.034 hourly","","","$2.0744 hourly"
"D128as v7","D128as v7","512 GiB","128","4 GiB/vCPU","0","0 GiB","$5.811 hourly","","","$1.0896 hourly","$11.699 hourly","","","$2.1994 hourly"
"D128ds v6","D128ds v6","512 GiB","128","4 GiB/vCPU","0","7040 GiB","$7.973 hourly","","","$1.7549 hourly","$13.861 hourly","","","$3.0508 hourly"
"D128ds v7","D128ds v7","512 GiB","128","4 GiB/vCPU","0","7040 GiB","$10.442 hourly","","","$1.9297 hourly","$16.33 hourly","","","$3.0178 hourly"
"D128lds v6","D128lds v6","256 GiB","128","2 GiB/vCPU","0","7040 GiB","$7.06 hourly","","","$1.5539 hourly","$12.948 hourly","","","$2.8499 hourly"
"D128lds v7","D128lds v7","256 GiB","128","2 GiB/vCPU","0","7040 GiB","$8.87 hourly","","","$1.6392 hourly","$14.758 hourly","","","$2.7273 hourly"
"D128ls v6","D128ls v6","256 GiB","128","2 GiB/vCPU","0","0 GiB","$5.713 hourly","","","$1.2426 hourly","$11.601 hourly","","","$2.5232 hourly"
"D128ls v7","D128ls v7","256 GiB","128","2 GiB/vCPU","0","0 GiB","$7.497 hourly","","","$1.3854 hourly","$13.385 hourly","","","$2.4735 hourly"
"D128nds v6","D128nds v6","512 GiB","128","4 GiB/vCPU","0","7040 GiB","$10.184 hourly","","","$2.2415 hourly","$16.072 hourly","","","$3.5374 hourly"
"D128nlds v6","D128nlds v6","256 GiB","128","2 GiB/vCPU","0","7040 GiB","$8.963 hourly","","","$1.9728 hourly","$14.851 hourly","","","$3.2687 hourly"
"D128nls v6","D128nls v6","256 GiB","128","2 GiB/vCPU","0","0 GiB","$7.258 hourly","","","$1.5786 hourly","$13.146 hourly","","","$2.8593 hourly"
"D128ns v6","D128ns v6","512 GiB","128","4 GiB/vCPU","0","0 GiB","$8.911 hourly","","","$1.9381 hourly","$14.799 hourly","","","$3.2188 hourly"
