instance,host,nbinstancesmax,nvme_units,nvme_capacity,ssd_embeded_capacity
e48s_v3,esv3-type3,1,,,
e64s_v3,esv3-type3,1,,,
e2s_v3,esv3-type4,32,,,
e4s_v3,esv3-type4,21,,,
e8s_v3,esv3-type4,10,,,
e16s_v3,esv3-type4,5,,,
e20s_v3,esv3-type4,4,,,
e32s_v3,esv3-type4,2,,,
e48s_v3,esv3-type4,1,,,
e64s_v3,esv3-type4,1,,,
m32ls,ms-type1,4,,,
m32ts,ms-type1,4,,,
m64,ms-type1,2,,,
m64s,ms-type1,2,,,
m64ls,ms-type1,2,,,
m128,ms-type1,1,,,
m128s,ms-type1,1,,,
m8ms,msm-type1,16,,,
m8-2ms,msm-type1,16,,,
m8-4ms,msm-type1,16,,,
m16ms,msm-type1,8,,,
m16-4ms,msm-type1,8,,,
m16-8ms,msm-type1,8,,,
m32ts,msm-type1,4,,,
m32ls,msm-type1,4,,,
m32ms,msm-type1,4,,,
m32-8ms,msm-type1,4,,,
m32-16ms,msm-type1,4,,,
m64ms,msm-type1,2,,,
m64,msm-type1,2,,,
m64s,msm-type1,2,,,
m64m,msm-type1,2,,,
m64ls,msm-type1,2,,,
m64-16ms,msm-type1,2,,,
m64-32ms,msm-type1,2,,,
m128ms,msm-type1,1,,,
m128s,msm-type1,1,,,
m128m,msm-type1,1,,,
m128,msm-type1,1,,,
m128-32ms,msm-type1,1,,,
m128-64ms,msm-type1,1,,,
m32dms_v2,mdmsv2medmem-type1,4,,,
m64ds_v2,mdmsv2medmem-type1,2,,,
m64dms_v2,mdmsv2medmem-type1,2,,,
m128ds_v2,mdmsv2medmem-type1,1,,,
m128dms_v2,mdmsv2medmem-type1,1,,,
m32dms_v2,mdsv2medmem-type1,2,,,
m64ds_v2,mdsv2medmem-type1,2,,,
m64dms_v2,mdsv2medmem-type1,1,,,
m128ds_v2,mdsv2medmem-type1,1,,,
m32ms_v2,mmsv2medmem-type1,4,,,
m64s_v2,mmsv2medmem-type1,3,,,
m64ms_v2,mmsv2medmem-type1,2,,,
m128ms_v2,mmsv2medmem-type1,1,,,
m128s_v2,mmsv2medmem-type1,1,,,
m32ms_v2,msv2medmem-type1,2,,,
m64s_v2,msv2medmem-type1,2,,,
m64ms_v2,msv2medmem-type1,1,,,
m128s_v2,msv2medmem-type1,1,,,
m208ms_v2,msmv2-type1,2,,,
m208s_v2,msmv2-type1,2,,,
m416-208ms_v2,msmv2-type1,1,,,
m416-208s_v2,msmv2-type1,1,,,
m416ms_v2,msmv2-type1,1,,,
m416s-8_v2,msmv2-type1,1,,,
m416s_v2,msmv2-type1,1,,,
m208ms_v2,msv2-type1,2,,,
m208s_v2,msv2-type1,1,,,
m416-208s_v2,msv2-type1,1,,,
m416s_v2,msv2-type1,1,,,
f2s_v2,fsv2-type2,32,,,
f4s_v2,fsv2-type2,18,,,
f8s_v2,fsv2-type2,9,,,
f16s_v2,fsv2-type2,4,,,
f32s_v2,fsv2-type2,2,,,
f48s_v2,fsv2-type2,1,,,
f64s_v2,fsv2-type2,1,,,
f72s_v2,fsv2-type2,1,,,
f2s_v2,fsv2-type3,32,,,
f4s_v2,fsv2-type3,21,,,
f8s_v2,fsv2-type3,10,,,
f16s_v2,fsv2-type3,5,,,
f32s_v2,fsv2-type3,2,,,
f48s_v2,fsv2-type3,1,,,
f64s_v2,fsv2-type3,1,,,
f72s_v2,fsv2-type3,1,,,
f2s_v2,fsv2-type4,32,,,
