instance_name,instance_family,instance_cpu,vcpus,numa_nodes,memory_gb,avg_score,stddev,stddev_percentage,runs
standard_e64-16s_v3,esv3,intel xeon platinum 8171m cpu @ 2.60ghz,16,2,432,211781,7841,3.70%,161
standard_e64-16s_v3,esv3,intel xeon platinum 8272cl cpu @ 2.60ghz,16,2,432,232571,3046,1.31%,28
standard_e64-16s_v3,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,16,2,504,224499,3955,1.76%,168
standard_e64-16s_v4,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,16,2,504,266980,3951,1.48%,182
standard_e64-16s_v4,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,16,2,503.9,244325,13378,5.48%,35
standard_e64-16s_v5,eadsv5,amd epyc 7763 64-core processor,32,1,503.7,598891,7892,1.32%,35
standard_e64-32ads_v5,easv4,amd epyc 7452 32-core processor,32,8,512,561951,9691,1.72%,140
standard_e64-32as_v4,easv5,amd epyc 7763 64-core processor,32,1,503.7,600716,7948,1.32%,35
standard_e64-32as_v5,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,32,2,504,514504,4082,0.79%,98
standard_e64-32ds_v4,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,32,2,504,521183,6655,1.28%,182
standard_e64-32ds_v4,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,32,2,503.9,536329,9334,1.74%,42
standard_e64-32ds_v5,esv3,intel xeon cpu e5-2673 v4 @ 2.30ghz,32,2,432,411194,4489,1.09%,56
standard_e64-32s_v3,esv3,intel xeon platinum 8171m cpu @ 2.60ghz,32,2,432,395227,5245,1.33%,161
standard_e64-32s_v3,esv3,intel xeon platinum 8272cl cpu @ 2.60ghz,32,2,432,464744,6855,1.48%,21
standard_e64-32s_v3,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,32,2,504,441521,30939,7.01%,168
standard_e64-32s_v4,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,32,2,504,521342,7052,1.35%,182
standard_e64-32s_v4,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,32,2,503.9,499778,35333,7.07%,35
standard_e64-32s_v5,eadsv5,amd epyc 7763 64-core processor,64,1,503.7,1195479,15280,1.28%,35
standard_e64ads_v5,easv4,amd epyc 7452 32-core processor,64,8,512,1097588,26100,2.38%,280
standard_e64as_v4,easv4,amd epyc 7452 32-core processor,64,8,512,1108151,28783,2.60%,28
standard_e64as_v4,easv5,amd epyc 7763 64-core processor,64,1,503.7,1186352,19335,1.63%,35
standard_e64as_v5,eav4,amd epyc 7452 32-core processor,64,8,512,1097111,30290,2.76%,336
standard_e64a_v4,eav4,amd epyc 7452 32-core processor,64,8,512,1116891,28545,2.56%,14
standard_e64a_v4,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,504,1005554,78398,7.80%,140
standard_e64ds_v4,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,504,1027169,12890,1.25%,182
standard_e64ds_v4,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,64,2,503.9,1060197,13810,1.30%,42
standard_e64ds_v5,edv4,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,504,1025563,13902,1.36%,189
standard_e64d_v4,edv4,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,504,1030708,9500,0.92%,322
standard_e64d_v4,edv5,intel xeon platinum 8370c cpu @ 2.80ghz,64,2,503.9,1062425,13190,1.24%,49
standard_e64d_v5,esv3,intel xeon cpu e5-2673 v4 @ 2.30ghz,64,2,432,763127,5541,0.73%,42
standard_e64s_v3,esv3,intel xeon platinum 8171m cpu @ 2.60ghz,64,2,432,770574,7440,0.97%,161
standard_e64s_v3,esv3,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,432,913390,9287,1.02%,21
standard_e64s_v3,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,504,1024690,13752,1.34%,182
standard_e64s_v4,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,504,922196,7708,0.84%,182
standard_e64s_v4,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,64,2,503.9,969853,49428,5.10%,35
standard_e64s_v5,ev3,intel xeon cpu e5-2673 v4 @ 2.30ghz,64,2,432,761587,5928,0.78%,63
standard_e64_v3,ev3,intel xeon platinum 8171m cpu @ 2.60ghz,64,2,432,765301,11204,1.46%,161
standard_e64_v3,ev3,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,432,913332,12240,1.34%,14
standard_e64_v3,ev4,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,504,1025603,13715,1.34%,182
standard_e64_v4,ev4,intel xeon platinum 8272cl cpu @ 2.60ghz,64,2,504,919491,15261,,
standard_e64_v4,ev5,intel xeon platinum 8370c cpu @ 2.80ghz,64,2,503.9,925660,15870,1.71%,35
standard_e64_v5,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,80,2,504,n/a,-,-,-
standard_e80ids_v4,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,80,2,504,n/a,-,-,-
standard_e80is_v4,eadsv5,amd epyc 7763 64-core processor,2,1,62.8,38916,48,0.12%,35
standard_e8-2ads_v5,easv4,amd epyc 7452 32-core processor,2,1,64,38103,1078,2.83%,168
standard_e8-2as_v4,easv5,amd epyc 7763 64-core processor,2,1,62.8,38929,47,0.12%,35
standard_e8-2as_v5,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,64,35031,965,2.76%,252
standard_e8-2ds_v4,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,2,1,64,35831,529,1.48%,189
