"Name","API Name","Instance Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Dedicate Host On Demand","Dedicated Host Reserved","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost","Generation"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","0 units","4 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8175","3.1 GHz","Yes","Yes","Yes","Yes","2500 GB                 NVMe SSD","Yes","No","64-bit","Up to 25 Gigabit","1153.0 Mbps","144.2 MB/s","6000.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.4520 hourly","$0.3080 hourly","$0.1392 hourly","$0.1874 hourly","$0.5470 hourly","$0.4000 hourly","$0.1992 hourly","$0.2474 hourly","$0.5080 hourly","$0.3580 hourly","$0.1952 hourly","$0.2434 hourly","$0.6360 hourly","$0.4920 hourly","$0.3162 hourly","$0.3176 hourly","$11.9330 hourly","$8.1270 hourly","$0.7040 hourly","$0.5590 hourly","$1.1160 hourly","$0.9720 hourly","$2.1360 hourly","$1.9920 hourly","$0.5200 hourly","$0.3750 hourly","$0.9320 hourly","$0.7880 hourly","$1.9520 hourly","$1.8080 hourly","0","$0.1130 hourly","current"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","37 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","4.625 units","Intel Xeon Platinum 8175","3.1 GHz","Yes","Yes","Yes","Yes","300 GB                 NVMe SSD","Yes","No","64-bit","Up to 10 Gigabit","2300.0 Mbps","287.5 MB/s","12000.0 IOPS","4750.0 Mbps","593.75 MB/s","18750.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","HVM","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.4520 hourly","$0.2850 hourly","$0.2427 hourly","$0.3153 hourly","$0.6170 hourly","$0.4470 hourly","$0.3727 hourly","$0.4453 hourly","$0.5520 hourly","$0.3180 hourly","$0.3427 hourly","$0.4153 hourly","$0.8200 hourly","$0.6530 hourly","$0.5689 hourly","$0.6210 hourly","$5.9660 hourly","$3.7590 hourly","$0.9550 hourly","$0.7880 hourly","$1.7800 hourly","$1.6130 hourly","$3.8200 hourly","$3.6530 hourly","$0.5870 hourly","$0.4200 hourly","$1.4120 hourly","$1.2450 hourly","$3.4520 hourly","$3.2850 hourly","0","$0.1130 hourly","current"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","0 units","8 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1580.0 Mbps","197.5 MB/s","8333.0 IOPS","2880.0 Mbps","360.0 MB/s","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.4520 hourly","$0.2850 hourly","$0.2171 hourly","$0.2546 hourly","$0.5820 hourly","$0.4150 hourly","$0.3471 hourly","$0.3846 hourly","$0.5770 hourly","$0.3450 hourly","$0.3421 hourly","$0.3796 hourly","$0.8200 hourly","$0.6530 hourly","$0.5732 hourly","$0.6200 hourly","unavailable","unavailable","$0.9550 hourly","$0.7880 hourly","$1.7800 hourly","$1.6130 hourly","$3.8200 hourly","$3.6530 hourly","$0.5870 hourly","$0.4200 hourly","$1.4120 hourly","$1.2450 hourly","$3.4520 hourly","$3.2850 hourly","0","$0.1130 hourly","current"
"C6IN Double Extra Large","c6in.2xlarge","16.0 GiB","0 units","8 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 40 Gigabit","5000.0 Mbps","625.0 MB/s","21875.0 IOPS","20000.0 Mbps","2500.0 MB/s","87500.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.4536 hourly","$0.2858 hourly","$0.2184 hourly","$0.2533 hourly","$0.6186 hourly","$0.4478 hourly","$0.3484 hourly","$0.3833 hourly","$0.5786 hourly","$0.3457 hourly","$0.3434 hourly","$0.3783 hourly","$0.8216 hourly","$0.6538 hourly","$0.5676 hourly","$0.6201 hourly","$7.9830 hourly","$5.0300 hourly","$0.9568 hourly","$0.7890 hourly","$1.7816 hourly","$1.6138 hourly","$3.8216 hourly","$3.6538 hourly","$0.5888 hourly","$0.4210 hourly","$1.4136 hourly","$1.2458 hourly","$3.4536 hourly","$3.2858 hourly","0","$0.1134 hourly","current"
"R6A Double Extra Large","r6a.2xlarge","64.0 GiB","0 units","8 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","2500.0 Mbps","312.5 MB/s","12000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.4536 hourly","$0.3001 hourly","$0.2080 hourly","$0.2507 hourly","$0.5836 hourly","$0.4301 hourly","$0.3380 hourly","$0.3807 hourly","$0.5786 hourly","$0.3600 hourly","$0.3330 hourly","$0.3757 hourly","$0.8216 hourly","$0.6681 hourly","$0.5686 hourly","$0.6220 hourly","$11.9750 hourly","$7.9210 hourly","$0.9568 hourly","$0.8033 hourly","$1.7816 hourly","$1.6281 hourly","$3.8216 hourly","$3.6681 hourly","$0.5888 hourly","$0.4353 hourly","$1.4136 hourly","$1.2601 hourly","$3.4536 hourly","$3.3001 hourly","0","$0.1134 hourly","current"
"R6GD Double Extra Large","r6gd.2xlarge","64.0 GiB","0 units","8 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","474 GB                 NVMe SSD","Yes","No","64-bit","Up to 10 Gigabit","2375.0 Mbps","296.88 MB/s","12000.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.4608 hourly","$0.2903 hourly","$0.2567 hourly","$0.2761 hourly","$0.5908 hourly","$0.4203 hourly","$0.3867 hourly","$0.4061 hourly","$0.5858 hourly","$0.3503 hourly","$0.3817 hourly","$0.4011 hourly","unavailable","unavailable","unavailable","unavailable","$4.0550 hourly","$2.5550 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.1152 hourly","current"
"M7A Double Extra Large","m7a.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 9R14 Processor","3.7 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","2500.0 Mbps","312.5 MB/s","12000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$0.4637 hourly","$0.3067 hourly","$0.2044 hourly","$0.2500 hourly","$0.5937 hourly","$0.4367 hourly","$0.3344 hourly","$0.3800 hourly","$0.5887 hourly","$0.3666 hourly","$0.3294 hourly","$0.3750 hourly","$0.8317 hourly","$0.6747 hourly","$0.5668 hourly","$0.5836 hourly","$12.2410 hourly","$8.0980 hourly","$0.9669 hourly","$0.8099 hourly","$1.7917 hourly","$1.6347 hourly","$3.8317 hourly","$3.6747 hourly","$0.5989 hourly","$0.4419 hourly","$1.4237 hourly","$1.2667 hourly","$3.4637 hourly","$3.3067 hourly","0","unavailable","current"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","31 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","3.875 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","2000 GB                 HDD","Yes","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","12000.0 IOPS","1750.0 Mbps","218.75 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","Yes","HVM","Yes","use1-az2, use1-az4, use1-az5, use1-az6","$0.4680 hourly","$0.3180 hourly","$0.3171 hourly","$0.3211 hourly","$0.6330 hourly","$0.4800 hourly","$0.4471 hourly","$0.4511 hourly","$0.5680 hourly","$0.3510 hourly","$0.4171 hourly","$0.4211 hourly","$0.8360 hourly","$0.6860 hourly","$0.6176 hourly","$0.6840 hourly","$4.1180 hourly","$2.7990 hourly","$0.9710 hourly","$0.8210 hourly","$1.7960 hourly","$1.6460 hourly","$3.8360 hourly","$3.6860 hourly","$0.6030 hourly","$0.4530 hourly","$1.4280 hourly","$1.2780 hourly","$3.4680 hourly","$3.3180 hourly","0","$0.1170 hourly","current"
"M6ID Double Extra Large","m6id.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","474 GB                 NVMe SSD","Yes","No","64-bit","Up to 12.5 Gigabit","2500.0 Mbps","312.5 MB/s","12000.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.4746 hourly","$0.2990 hourly","$0.1975 hourly","$0.2545 hourly","$0.6046 hourly","$0.4290 hourly","$0.3275 hourly","$0.3845 hourly","$0.5996 hourly","$0.3590 hourly","$0.3225 hourly","$0.3795 hourly","$0.8426 hourly","$0.6670 hourly","$0.5686 hourly","$0.6192 hourly","$8.3530 hourly","$5.2620 hourly","$0.9778 hourly","$0.8022 hourly","$1.8026 hourly","$1.6270 hourly","$3.8426 hourly","$3.6670 hourly","$0.6098 hourly","$0.4342 hourly","$1.4346 hourly","$1.2590 hourly","$3.4746 hourly","$3.2990 hourly","0","$0.1187 hourly","current"
"M5N Double Extra Large","m5n.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","2300.0 Mbps","287.5 MB/s","12000.0 IOPS","4750.0 Mbps","593.75 MB/s","18750.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.4760 hourly","$0.3000 hourly","$0.2331 hourly","$0.2743 hourly","$0.6410 hourly","$0.4620 hourly","$0.3631 hourly","$0.4043 hourly","unavailable","unavailable","$0.3581 hourly","$0.3993 hourly","$0.8440 hourly","$0.6680 hourly","$0.5598 hourly","$0.5811 hourly","$6.2830 hourly","$3.9580 hourly","$0.9790 hourly","$0.8030 hourly","$1.8040 hourly","$1.6280 hourly","$3.8440 hourly","$3.6680 hourly","$0.6110 hourly","$0.4350 hourly","$1.4360 hourly","$1.2600 hourly","$3.4760 hourly","$3.3000 hourly","0","$0.1190 hourly","current"
