"Name","API Name","Instance Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Dedicate Host On Demand","Dedicated Host Reserved","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost","Generation"
"T4G Nano","t4g.nano","0.5 GiB","0 units","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","43.0 Mbps","5.38 MB/s","250.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0042 hourly","$0.0026 hourly","$0.0040 hourly","$0.0041 hourly","unavailable","unavailable","$0.0640 hourly","$0.0641 hourly","$0.0042 hourly","$0.0026 hourly","$0.0040 hourly","$0.0041 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3A Nano","t3a.nano","0.5 GiB","Base performance:                   10%","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","45.0 Mbps","5.62 MB/s","250.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0047 hourly","$0.0029 hourly","$0.0031 hourly","$0.0040 hourly","unavailable","unavailable","$0.0631 hourly","$0.0640 hourly","$0.0047 hourly","$0.0029 hourly","$0.0031 hourly","$0.0040 hourly","$0.0093 hourly","$0.0075 hourly","$0.0077 hourly","$0.0086 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3 Nano","t3.nano","0.5 GiB","Base performance:                   10%","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","43.0 Mbps","5.38 MB/s","250.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0052 hourly","$0.0033 hourly","$0.0033 hourly","$0.0040 hourly","unavailable","unavailable","$0.0633 hourly","$0.0640 hourly","$0.0052 hourly","$0.0033 hourly","$0.0033 hourly","$0.0040 hourly","$0.0098 hourly","$0.0079 hourly","$0.0075 hourly","$0.0079 hourly","$8.7860 hourly","$5.5080 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T2 Nano","t2.nano","0.5 GiB","Base performance:                   5%","1 vCPUs                                                         for a                   1h 12m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0058 hourly","$0.0036 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0058 hourly","$0.0036 hourly","unavailable","unavailable","$0.0081 hourly","$0.0059 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","current"
"T4G Micro","t4g.micro","1.0 GiB","0 units","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","87.0 Mbps","10.88 MB/s","500.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0084 hourly","$0.0053 hourly","$0.0060 hourly","$0.0082 hourly","$0.1034 hourly","$0.0973 hourly","$0.0660 hourly","$0.0682 hourly","$0.0084 hourly","$0.0053 hourly","$0.0060 hourly","$0.0082 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3A Micro","t3a.micro","1.0 GiB","Base performance:                   20%","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","90.0 Mbps","11.25 MB/s","500.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0094 hourly","$0.0059 hourly","$0.0059 hourly","$0.0080 hourly","$0.1044 hourly","$0.0979 hourly","$0.0659 hourly","$0.0680 hourly","$0.0094 hourly","$0.0059 hourly","$0.0059 hourly","$0.0080 hourly","$0.0186 hourly","$0.0151 hourly","$0.0151 hourly","$0.0158 hourly","unavailable","unavailable","$0.0862 hourly","$0.0827 hourly","unavailable","unavailable","unavailable","unavailable","$0.0770 hourly","$0.0735 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3 Micro","t3.micro","1.0 GiB","Base performance:                   20%","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","87.0 Mbps","10.88 MB/s","500.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0104 hourly","$0.0065 hourly","$0.0061 hourly","$0.0076 hourly","$0.1054 hourly","$0.0985 hourly","$0.0661 hourly","$0.0676 hourly","$0.0104 hourly","$0.0065 hourly","$0.0061 hourly","$0.0076 hourly","$0.0196 hourly","$0.0157 hourly","$0.0159 hourly","$0.0170 hourly","$8.7860 hourly","$5.5080 hourly","$0.0872 hourly","$0.0833 hourly","unavailable","unavailable","unavailable","unavailable","$0.0780 hourly","$0.0741 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                   10%","1 vCPUs                                                         for a                   2h 24m                   burst","1.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0116 hourly","$0.0072 hourly","$0.0039 hourly","$0.0075 hourly","$0.0716 hourly","$0.0672 hourly","$0.0639 hourly","$0.0675 hourly","$0.0116 hourly","$0.0072 hourly","$0.0039 hourly","$0.0075 hourly","$0.0162 hourly","$0.0118 hourly","$0.0088 hourly","$0.0124 hourly","unavailable","unavailable","$0.0680 hourly","$0.0470 hourly","unavailable","unavailable","unavailable","unavailable","$0.0792 hourly","$0.0748 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","current"
"T4G Small","t4g.small","2.0 GiB","0 units","2 vCPUs                                                         for a                   4h 48m                   burst","1.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","174.0 Mbps","21.75 MB/s","1000.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","12","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0168 hourly","$0.0105 hourly","$0.0156 hourly","$0.0163 hourly","$0.0768 hourly","$0.0705 hourly","$0.0756 hourly","$0.0763 hourly","$0.0481 hourly","$0.0235 hourly","$0.0469 hourly","$0.0476 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3A Small","t3a.small","2.0 GiB","Base performance:                   40%","2 vCPUs                                                         for a                   4h 48m                   burst","1.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","175.0 Mbps","21.88 MB/s","1000.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0188 hourly","$0.0118 hourly","$0.0127 hourly","$0.0158 hourly","$0.1138 hourly","$0.1038 hourly","$0.0727 hourly","$0.0758 hourly","$0.0498 hourly","$0.0248 hourly","$0.0437 hourly","$0.0468 hourly","$0.0372 hourly","$0.0302 hourly","$0.0341 hourly","$0.0343 hourly","unavailable","unavailable","$0.1048 hourly","$0.0978 hourly","unavailable","unavailable","unavailable","unavailable","$0.0864 hourly","$0.0794 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T1 Micro","t1.micro","0.613 GiB","Burstable","1 vCPUs","0.61 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Variable","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","32/64-bit","Very Low","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","No","4","2","No","No","No","No","PV","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0200 hourly","$0.0140 hourly","$0.0027 hourly","$0.0035 hourly","$0.0800 hourly","$0.0740 hourly","$0.0627 hourly","$0.0635 hourly","$0.0200 hourly","$0.0140 hourly","$0.0027 hourly","$0.0035 hourly","$0.0200 hourly","$0.0150 hourly","$0.0032 hourly","$0.0034 hourly","unavailable","unavailable","$0.0700 hourly","$0.0470 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","previous"
"T3 Small","t3.small","2.0 GiB","Base performance:                   40%","2 vCPUs                                                         for a                   4h 48m                   burst","1.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","174.0 Mbps","21.75 MB/s","1000.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","12","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0208 hourly","$0.0130 hourly","$0.0104 hourly","$0.0127 hourly","$0.0808 hourly","$0.0730 hourly","$0.0704 hourly","$0.0727 hourly","$0.0518 hourly","$0.0260 hourly","$0.0414 hourly","$0.0437 hourly","$0.0392 hourly","$0.0314 hourly","$0.0313 hourly","$0.0337 hourly","$8.7860 hourly","$5.5080 hourly","$0.1068 hourly","$0.0990 hourly","unavailable","unavailable","unavailable","unavailable","$0.0884 hourly","$0.0806 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T2 Small","t2.small","2.0 GiB","Base performance:                   20%","1 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","No","12","3","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0230 hourly","$0.0144 hourly","$0.0125 hourly","$0.0158 hourly","$0.0830 hourly","$0.0744 hourly","$0.0725 hourly","$0.0758 hourly","$0.0530 hourly","$0.0280 hourly","$0.0425 hourly","$0.0458 hourly","$0.0320 hourly","$0.0236 hourly","$0.0213 hourly","$0.0248 hourly","unavailable","unavailable","$0.1034 hourly","$0.0930 hourly","unavailable","unavailable","unavailable","unavailable","$0.0908 hourly","$0.0820 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","current"
"A1 Medium","a1.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","300.0 Mbps","37.5 MB/s","2500.0 IOPS","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","8","2","No","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az6","$0.0255 hourly","$0.0161 hourly","$0.0192 hourly","$0.0206 hourly","$0.0855 hourly","$0.0761 hourly","$0.0792 hourly","$0.0806 hourly","$0.0565 hourly","$0.0291 hourly","$0.0502 hourly","$0.0516 hourly","unavailable","unavailable","unavailable","unavailable","$0.4490 hourly","$0.2830 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","previous"
"T4G Medium","t4g.medium","4.0 GiB","0 units","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","347.0 Mbps","43.38 MB/s","2000.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","18","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0336 hourly","$0.0211 hourly","$0.0321 hourly","$0.0327 hourly","$0.0936 hourly","$0.0811 hourly","$0.0921 hourly","$0.0927 hourly","$0.0899 hourly","$0.0461 hourly","$0.0884 hourly","$0.0890 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"C6G Medium","c6g.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0340 hourly","$0.0214 hourly","$0.0252 hourly","$0.0328 hourly","$0.0940 hourly","$0.0814 hourly","$0.0852 hourly","$0.0928 hourly","$0.0650 hourly","$0.0344 hourly","$0.0562 hourly","$0.0638 hourly","unavailable","unavailable","unavailable","unavailable","$2.3940 hourly","$1.5080 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"C7G Medium","c7g.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0363 hourly","$0.0239 hourly","$0.0323 hourly","$0.0328 hourly","$0.0963 hourly","$0.0839 hourly","$0.0923 hourly","$0.0928 hourly","$0.0673 hourly","$0.0369 hourly","$0.0633 hourly","$0.0638 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3A Medium","t3a.medium","4.0 GiB","Base performance:                   40%","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","350.0 Mbps","43.75 MB/s","2000.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","18","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0376 hourly","$0.0236 hourly","$0.0250 hourly","$0.0312 hourly","$0.1326 hourly","$0.1156 hourly","$0.0850 hourly","$0.0912 hourly","$0.0939 hourly","$0.0486 hourly","$0.0813 hourly","$0.0875 hourly","$0.0560 hourly","$0.0420 hourly","$0.0447 hourly","$0.0501 hourly","unavailable","unavailable","$0.1236 hourly","$0.1096 hourly","unavailable","unavailable","unavailable","unavailable","$0.1052 hourly","$0.0912 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"C6GD Medium","c6gd.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","59 GB                 NVMe SSD","Yes","No","64-bit","Up to 10 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0384 hourly","$0.0242 hourly","$0.0325 hourly","$0.0330 hourly","$0.0984 hourly","$0.0842 hourly","$0.0925 hourly","$0.0930 hourly","$0.0694 hourly","$0.0372 hourly","$0.0635 hourly","$0.0640 hourly","unavailable","unavailable","unavailable","unavailable","$2.7030 hourly","$1.7030 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"M6G Medium","m6g.medium","4.0 GiB","0 units","1 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0385 hourly","$0.0241 hourly","$0.0253 hourly","$0.0324 hourly","$0.1335 hourly","$0.1161 hourly","$0.0853 hourly","$0.0924 hourly","$0.0695 hourly","$0.0371 hourly","$0.0563 hourly","$0.0634 hourly","unavailable","unavailable","unavailable","unavailable","$2.7100 hourly","$1.7000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"M7G Medium","m7g.medium","4.0 GiB","0 units","1 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0408 hourly","$0.0270 hourly","$0.0262 hourly","$0.0328 hourly","$0.1358 hourly","$0.1190 hourly","$0.0862 hourly","$0.0928 hourly","$0.0971 hourly","$0.0520 hourly","$0.0825 hourly","$0.0891 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"T3 Medium","t3.medium","4.0 GiB","Base performance:                   40%","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","347.0 Mbps","43.38 MB/s","2000.0 IOPS","2085.0 Mbps","260.62 MB/s","11800.0 IOPS","Yes","18","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0416 hourly","$0.0261 hourly","$0.0183 hourly","$0.0311 hourly","$0.1366 hourly","$0.1181 hourly","$0.0783 hourly","$0.0911 hourly","$0.0979 hourly","$0.0511 hourly","$0.0746 hourly","$0.0874 hourly","$0.0600 hourly","$0.0445 hourly","$0.0369 hourly","$0.0475 hourly","$8.7860 hourly","$5.5080 hourly","$0.1276 hourly","$0.1121 hourly","unavailable","unavailable","unavailable","unavailable","$0.1092 hourly","$0.0937 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"C6GN Medium","c6gn.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 16 Gigabit","760.0 Mbps","95.0 MB/s","2500.0 IOPS","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0432 hourly","$0.0273 hourly","$0.0260 hourly","$0.0325 hourly","$0.1382 hourly","$0.1193 hourly","$0.0860 hourly","$0.0925 hourly","$0.0742 hourly","$0.0403 hourly","$0.0570 hourly","$0.0635 hourly","unavailable","unavailable","unavailable","unavailable","$3.0410 hourly","$1.9200 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"M1 General Purpose Small","m1.small","1.7 GiB","1 units","1 vCPUs","1.70 GiB/vCPU","0","None","0 GiB","0","0","1 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","160 GB                 HDD","Yes","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","No","8","2","No","No","No","No","PV","Yes","use1-az1, use1-az2, use1-az4, use1-az6","$0.0440 hourly","$0.0280 hourly","$0.0075 hourly","$0.0100 hourly","$0.1040 hourly","$0.0880 hourly","$0.0675 hourly","$0.0700 hourly","$0.0740 hourly","$0.0520 hourly","$0.0375 hourly","$0.0400 hourly","$0.0750 hourly","$0.0570 hourly","$0.0373 hourly","$0.0413 hourly","unavailable","unavailable","$0.1390 hourly","$0.0940 hourly","$0.6290 hourly","$0.4730 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.0110 hourly","previous"
"M6GD Medium","m6gd.medium","4.0 GiB","0 units","1 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","59 GB                 NVMe SSD","Yes","No","64-bit","Up to 10 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","4750.0 Mbps","593.75 MB/s","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0452 hourly","$0.0285 hourly","$0.0265 hourly","$0.0328 hourly","$0.1402 hourly","$0.1205 hourly","$0.0865 hourly","$0.0928 hourly","$0.0762 hourly","$0.0415 hourly","$0.0575 hourly","$0.0638 hourly","unavailable","unavailable","unavailable","unavailable","$3.1820 hourly","$2.0050 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
"C7GD Medium","c7gd.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.5 GHz","unknown","unknown","unknown","unknown","59 GB                 NVMe SSD","Yes","No","64-bit","Up to 12.5 Gigabit","315.0 Mbps","39.38 MB/s","2500.0 IOPS","10000.0 Mbps","1250.0 MB/s","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$0.0454 hourly","$0.0286 hourly","$0.0242 hourly","$0.0316 hourly","$0.1404 hourly","$0.1206 hourly","$0.0842 hourly","$0.0916 hourly","$0.1017 hourly","$0.0536 hourly","$0.0805 hourly","$0.0879 hourly","unavailable","unavailable","unavailable","unavailable","$9.5800 hourly","$6.0370 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable","current"
