sub_model_name,name,manufacturer,family,model_range,tdp
pantium g3260t,pantium g3260t,intel,haswell,pantium g,
pantium g3250,pantium g3250,intel,haswell,pantium g,
pantium g3460,pantium g3460,intel,haswell,pantium g,
pantium g3250t,pantium g3250t,intel,haswell,pantium g,
pantium g3450t,pantium g3450t,intel,haswell,pantium g,
pantium g3258,pantium g3258,intel,haswell,pantium g,
pantium g3450,pantium g3450,intel,haswell,pantium g,
pantium g3440,pantium g3440,intel,haswell,pantium g,
pantium g3440t,pantium g3440t,intel,haswell,pantium g,
pantium g3240,pantium g3240,intel,haswell,pantium g,
pantium g3240t,pantium g3240t,intel,haswell,pantium g,
pantium g3430,pantium g3430,intel,haswell,pantium g,
pantium g3420t,pantium g3420t,intel,haswell,pantium g,
pantium g3420,pantium g3420,intel,haswell,pantium g,
pantium g3220t,pantium g3220t,intel,haswell,pantium g,
pantium g3220,pantium g3220,intel,haswell,pantium g,
pantium g1850,pantium g1850,intel,haswell,pantium g,
pantium g1840,pantium g1840,intel,haswell,pantium g,
pantium g1840t,pantium g1840t,intel,haswell,pantium g,
pantium g1820t,pantium g1820t,intel,haswell,pantium g,
pantium g1820,pantium g1820,intel,haswell,pantium g,
pantium g1830,pantium g1830,intel,haswell,pantium g,
i7-4940mx,core i7-4940mx,intel,haswell,core i7,
i7-4930mx,core i7-4930mx,intel,haswell,core i7,
i7-4720hq,core i7-4720hq,intel,haswell,core i7,
i7-4722hq,core i7-4722hq,intel,haswell,core i7,
i7-4578u,core i7-4578u,intel,haswell,core i7,
i7-4510u,core i7-4510u,intel,haswell,core i7,
i7-4712mq,core i7-4712mq,intel,haswell,core i7,
i7-4712hq,core i7-4712hq,intel,haswell,core i7,
i7-4710mq,core i7-4710mq,intel,haswell,core i7,
i7-4710hq,core i7-4710hq,intel,haswell,core i7,
i7-4610m,core i7-4610m,intel,haswell,core i7,
i7-4910mq,core i7-4910mq,intel,haswell,core i7,
i7-4810mq,core i7-4810mq,intel,haswell,core i7,
i7-4600m,core i7-4600m,intel,haswell,core i7,
i7-4610y,core i7-4610y,intel,haswell,core i7,
i7-4600u,core i7-4600u,intel,haswell,core i7,
i7-4550u,core i7-4550u,intel,haswell,core i7,
i7-4650u,core i7-4650u,intel,haswell,core i7,
i7-4500u,core i7-4500u,intel,haswell,core i7,
i7-4558u,core i7-4558u,intel,haswell,core i7,
i7-4900mq,core i7-4900mq,intel,haswell,core i7,
i7-4800mq,core i7-4800mq,intel,haswell,core i7,
i7-4702mq,core i7-4702mq,intel,haswell,core i7,
i7-4702hq,core i7-4702hq,intel,haswell,core i7,
i7-4700hq,core i7-4700hq,intel,haswell,core i7,
i7-4700mq,core i7-4700mq,intel,haswell,core i7,
i5-4210h,core i5-4210h,intel,haswell,core i5,
i5-4278u,core i5-4278u,intel,haswell,core i5,
i5-4308u,core i5-4308u,intel,haswell,core i5,
i5-4210u,core i5-4210u,intel,haswell,core i5,
i5-4220y,core i5-4220y,intel,haswell,core i5,
i5-4260u,core i5-4260u,intel,haswell,core i5,
i5-4210m,core i5-4210m,intel,haswell,core i5,
i5-4310m,core i5-4310m,intel,haswell,core i5,
i5-4340m,core i5-4340m,intel,haswell,core i5,
i5-4310u,core i5-4310u,intel,haswell,core i5,
i5-4360u,core i5-4360u,intel,haswell,core i5,
i5-4302y,core i5-4302y,intel,haswell,core i5,
i5-4300y,core i5-4300y,intel,haswell,core i5,
i5-4210y,core i5-4210y,intel,haswell,core i5,
i5-4202y,core i5-4202y,intel,haswell,core i5,
i5-4200m,core i5-4200m,intel,haswell,core i5,
i5-4300m,core i5-4300m,intel,haswell,core i5,
i5-4300u,core i5-4300u,intel,haswell,core i5,
i5-4200h,core i5-4200h,intel,haswell,core i5,
i5-4330m,core i5-4330m,intel,haswell,core i5,
i5-4350u,core i5-4350u,intel,haswell,core i5,
i5-4250u,core i5-4250u,intel,haswell,core i5,
i5-4200u,core i5-4200u,intel,haswell,core i5,
i5-4200y,core i5-4200y,intel,haswell,core i5,
i5-4258u,core i5-4258u,intel,haswell,core i5,
i5-4288u,core i5-4288u,intel,haswell,core i5,
i3-4025u,core i3-4025u,intel,haswell,core i3,
i3-4030u,core i3-4030u,intel,haswell,core i3,
i3-4110m,core i3-4110m,intel,haswell,core i3,
i3-4120u,core i3-4120u,intel,haswell,core i3,
i3-4030y,core i3-4030y,intel,haswell,core i3,
i3-4020y,core i3-4020y,intel,haswell,core i3,
i3-4012y,core i3-4012y,intel,haswell,core i3,
i3-4100m,core i3-4100m,intel,haswell,core i3,
i3-4000m,core i3-4000m,intel,haswell,core i3,
i3-4005u,core i3-4005u,intel,haswell,core i3,
i3-4010u,core i3-4010u,intel,haswell,core i3,
i3-4100u,core i3-4100u,intel,haswell,core i3,
i3-4010y,core i3-4010y,intel,haswell,core i3,
i3-4158u,core i3-4158u,intel,haswell,core i3,
3560m,3560m,intel,haswell,,
3558u,3558u,intel,haswell,,
3561y,3561y,intel,haswell,,
3556u,3556u,intel,haswell,,
3560y,3560y,intel,haswell,,
3550m,3550m,intel,haswell,,
2970m,2970m,intel,haswell,,
2981u,2981u,intel,haswell,,
2961y,2961y,intel,haswell,,
2957u,2957u,intel,haswell,,
2955u,2955u,intel,haswell,,
2980u,2980u,intel,haswell,,
2950m,2950m,intel,haswell,,
pantium g e-2124g,pantium g e-2124g,intel,coffeelake,pantium g,
pantium g e-2146g,pantium g e-2146g,intel,coffeelake,pantium g,
pantium g e-2176g,pantium g e-2176g,intel,coffeelake,pantium g,
e-2136,e-2136,intel,coffeelake,,
e-2134,e-2134,intel,coffeelake,,
pantium g e-2144g,pantium g e-2144g,intel,coffeelake,pantium g,
pantium g e-2174g,pantium g e-2174g,intel,coffeelake,pantium g,
pantium g e-2186g,pantium g e-2186g,intel,coffeelake,pantium g,
pantium g e-2126g,pantium g e-2126g,intel,coffeelake,pantium g,
e-2124,e-2124,intel,coffeelake,,
pantium g e-2226g,pantium g e-2226g,intel,coffeelake,pantium g,
e-2234,e-2234,intel,coffeelake,,
e-2236,e-2236,intel,coffeelake,,
pantium g e-2244g,pantium g e-2244g,intel,coffeelake,pantium g,
pantium g e-2274g,pantium g e-2274g,intel,coffeelake,pantium g,
pantium g e-2246g,pantium g e-2246g,intel,coffeelake,pantium g,
e-2224,e-2224,intel,coffeelake,,
pantium g e-2224g,pantium g e-2224g,intel,coffeelake,pantium g,
pantium g e-2288g,pantium g e-2288g,intel,coffeelake,pantium g,
pantium g e-2278g,pantium g e-2278g,intel,coffeelake,pantium g,
pantium g e-2286g,pantium g e-2286g,intel,coffeelake,pantium g,
pantium g e-2276g,pantium g e-2276g,intel,coffeelake,pantium g,
i7 i7-8700b,core i7 core i7-8700b,intel,coffeelake,core i7,
i9-9900ks,core i9-9900ks,intel,coffeelake,core i9,
i9-9900t,core i9-9900t,intel,coffeelake,core i9,
i9-9900,core i9-9900,intel,coffeelake,core i9,
i9-9900kf,core i9-9900kf,intel,coffeelake,core i9,
i9-9900k,core i9-9900k,intel,coffeelake,core i9,
i7-9700t,core i7-9700t,intel,coffeelake,core i7,
i7-9700f,core i7-9700f,intel,coffeelake,core i7,
i7-9700,core i7-9700,intel,coffeelake,core i7,
i7-9700kf,core i7-9700kf,intel,coffeelake,core i7,
i7-9700k,core i7-9700k,intel,coffeelake,core i7,
i7-8086k,core i7-8086k,intel,coffeelake,core i7,
i7-8700t,core i7-8700t,intel,coffeelake,core i7,
i7-8700,core i7-8700,intel,coffeelake,core i7,
i7-8700k,core i7-8700k,intel,coffeelake,core i7,
i7-8700,core i7-8700,intel,coffeelake,core i7,
i5-9500t,core i5-9500t,intel,coffeelake,core i5,
i5-9600t,core i5-9600t,intel,coffeelake,core i5,
i5-9500f,core i5-9500f,intel,coffeelake,core i5,
i5-9600,core i5-9600,intel,coffeelake,core i5,
i5-9500,core i5-9500,intel,coffeelake,core i5,
i5-9400t,core i5-9400t,intel,coffeelake,core i5,
i5-9400,core i5-9400,intel,coffeelake,core i5,
i5-9400f,core i5-9400f,intel,coffeelake,core i5,
i5-9600kf,core i5-9600kf,intel,coffeelake,core i5,
i5-9600k,core i5-9600k,intel,coffeelake,core i5,
i5-8500,core i5-8500,intel,coffeelake,core i5,
i5-8400,core i5-8400,intel,coffeelake,core i5,
i5-8500t,core i5-8500t,intel,coffeelake,core i5,
i5-8400t,core i5-8400t,intel,coffeelake,core i5,
i5-8500,core i5-8500,intel,coffeelake,core i5,
i5-8600t,core i5-8600t,intel,coffeelake,core i5,
i5-8600,core i5-8600,intel,coffeelake,core i5,
i5-8600k,core i5-8600k,intel,coffeelake,core i5,
i5-8400,core i5-8400,intel,coffeelake,core i5,
i3-9350k,core i3-9350k,intel,coffeelake,core i3,
i3-9100f,core i3-9100f,intel,coffeelake,core i3,
i3-9100,core i3-9100,intel,coffeelake,core i3,
i3-9100t,core i3-9100t,intel,coffeelake,core i3,
i3-9300t,core i3-9300t,intel,coffeelake,core i3,
i3-9300,core i3-9300,intel,coffeelake,core i3,
i3-9320,core i3-9320,intel,coffeelake,core i3,
i3-9350kf,core i3-9350kf,intel,coffeelake,core i3,
i3-8100t,core i3-8100t,intel,coffeelake,core i3,
i3-8300t,core i3-8300t,intel,coffeelake,core i3,
i3-8300,core i3-8300,intel,coffeelake,core i3,
i3-8100,core i3-8100,intel,coffeelake,core i3,
i3-8350k,core i3-8350k,intel,coffeelake,core i3,
pantium g5600t,pantium g5600t,intel,coffeelake,pantium g,
pantium g5420t,pantium g5420t,intel,coffeelake,pantium g,
pantium g5420,pantium g5420,intel,coffeelake,pantium g,
pantium g5620,pantium g5620,intel,coffeelake,pantium g,
pantium g5600,pantium g5600,intel,coffeelake,pantium g,
pantium g5400,pantium g5400,intel,coffeelake,pantium g,
pantium g5400t,pantium g5400t,intel,coffeelake,pantium g,
pantium g5500t,pantium g5500t,intel,coffeelake,pantium g,
pantium g5500,pantium g5500,intel,coffeelake,pantium g,
pantium g4930t,pantium g4930t,intel,coffeelake,pantium g,
pantium g4950,pantium g4950,intel,coffeelake,pantium g,
pantium g4930,pantium g4930,intel,coffeelake,pantium g,
pantium g4900t,pantium g4900t,intel,coffeelake,pantium g,
pantium g4920,pantium g4920,intel,coffeelake,pantium g,
pantium g4900,pantium g4900,intel,coffeelake,pantium g,
e-2286m,e-2286m,intel,coffeelake,,
e-2276m,e-2276m,intel,coffeelake,,
e-2186m,e-2186m,intel,coffeelake,,
e-2176m,e-2176m,intel,coffeelake,,
i9-9880h,core i9-9880h,intel,coffeelake,core i9,
i9-9980hk,core i9-9980hk,intel,coffeelake,core i9,
i9-8950hk,core i9-8950hk,intel,coffeelake,core i9,
i7-9850h,core i7-9850h,intel,coffeelake,core i7,
i7-9750hf,core i7-9750hf,intel,coffeelake,core i7,
i7-9750h,core i7-9750h,intel,coffeelake,core i7,
i7-8557u,core i7-8557u,intel,coffeelake,core i7,
i7-8569u,core i7-8569u,intel,coffeelake,core i7,
i7-8559u,core i7-8559u,intel,coffeelake,core i7,
i7-8750h,core i7-8750h,intel,coffeelake,core i7,
i7-8700b,core i7-8700b,intel,coffeelake,core i7,65
i7-8850h,core i7-8850h,intel,coffeelake,core i7,
i5-9400h,core i5-9400h,intel,coffeelake,core i5,
i5-9300h,core i5-9300h,intel,coffeelake,core i5,
i5-9300hf,core i5-9300hf,intel,coffeelake,core i5,
i5-8260u,core i5-8260u,intel,coffeelake,core i5,
i5-8257u,core i5-8257u,intel,coffeelake,core i5,
i5-8279u,core i5-8279u,intel,coffeelake,core i5,
i5-8269u,core i5-8269u,intel,coffeelake,core i5,
i5-8259u,core i5-8259u,intel,coffeelake,core i5,
i5-8500b,core i5-8500b,intel,coffeelake,core i5,
i5-8400b,core i5-8400b,intel,coffeelake,core i5,
i5-8400h,core i5-8400h,intel,coffeelake,core i5,
i5-8300h,core i5-8300h,intel,coffeelake,core i5,
i3-8140u,core i3-8140u,intel,coffeelake,core i3,
i3-8100b,core i3-8100b,intel,coffeelake,core i3,
i3-8100h,core i3-8100h,intel,coffeelake,core i3,
i3-8109u,core i3-8109u,intel,coffeelake,core i3,
qm370,qm370,intel,coffeelake,,
hm370,hm370,intel,coffeelake,,
cm246,cm246,intel,coffeelake,,
d-1533n,xeon d-1533n,intel,broadwell,xeon d,
d-1513n,xeon d-1513n,intel,broadwell,xeon d,
d-1543n,xeon d-1543n,intel,broadwell,xeon d,
d-1523n,xeon d-1523n,intel,broadwell,xeon d,
d-1553n,xeon d-1553n,intel,broadwell,xeon d,
d-1520,xeon d-1520,intel,broadwell,xeon d,
d-1540,xeon d-1540,intel,broadwell,xeon d,
d-1528,xeon d-1528,intel,broadwell,xeon d,
d-1541,xeon d-1541,intel,broadwell,xeon d,
d-1539,xeon d-1539,intel,broadwell,xeon d,
d-1518,xeon d-1518,intel,broadwell,xeon d,
d-1521,xeon d-1521,intel,broadwell,xeon d,
d-1531,xeon d-1531,intel,broadwell,xeon d,
d-1529,xeon d-1529,intel,broadwell,xeon d,
d-1548,xeon d-1548,intel,broadwell,xeon d,
d-1527,xeon d-1527,intel,broadwell,xeon d,
d-1537,xeon d-1537,intel,broadwell,xeon d,
d-1559,xeon d-1559,intel,broadwell,xeon d,
d-1577,xeon d-1577,intel,broadwell,xeon d,
d-1571,xeon d-1571,intel,broadwell,xeon d,
d-1557,xeon d-1557,intel,broadwell,xeon d,
d-1567,xeon d-1567,intel,broadwell,xeon d,
e7-8890 v4,xeon e7-8890 v4,intel,broadwell,xeon e7,
e7-8893 v4,xeon e7-8893 v4,intel,broadwell,xeon e7,
e7-8880 v4,xeon e7-8880 v4,intel,broadwell,xeon e7,
e7-4830 v4,xeon e7-4830 v4,intel,broadwell,xeon e7,
e7-8860 v4,xeon e7-8860 v4,intel,broadwell,xeon e7,
e7-4809 v4,xeon e7-4809 v4,intel,broadwell,xeon e7,
e7-8870 v4,xeon e7-8870 v4,intel,broadwell,xeon e7,
e7-4820 v4,xeon e7-4820 v4,intel,broadwell,xeon e7,
e7-8891 v4,xeon e7-8891 v4,intel,broadwell,xeon e7,
e7-8867 v4,xeon e7-8867 v4,intel,broadwell,xeon e7,
e7-4850 v4,xeon e7-4850 v4,intel,broadwell,xeon e7,
e7-8894 v4,xeon e7-8894 v4,intel,broadwell,xeon e7,
e5-2687w v4,xeon e5-2687w v4,intel,broadwell,xeon e5,
e5-2695 v4,xeon e5-2695 v4,intel,broadwell,xeon e5,
e5-2690 v4,xeon e5-2690 v4,intel,broadwell,xeon e5,
e5-2699 v4,xeon e5-2699 v4,intel,broadwell,xeon e5,
e5-2650l v4,xeon e5-2650l v4,intel,broadwell,xeon e5,
e5-2698 v4,xeon e5-2698 v4,intel,broadwell,xeon e5,
e5-2660 v4,xeon e5-2660 v4,intel,broadwell,xeon e5,
e5-2680 v4,xeon e5-2680 v4,intel,broadwell,xeon e5,
e5-2697 v4,xeon e5-2697 v4,intel,broadwell,xeon e5,
e5-2683 v4,xeon e5-2683 v4,intel,broadwell,xeon e5,
e5-2650 v4,xeon e5-2650 v4,intel,broadwell,xeon e5,
e5-2697a v4,xeon e5-2697a v4,intel,broadwell,xeon e5,
e5-1660 v4,xeon e5-1660 v4,intel,broadwell,xeon e5,
e5-2620 v4,xeon e5-2620 v4,intel,broadwell,xeon e5,
e5-1630 v4,xeon e5-1630 v4,intel,broadwell,xeon e5,
e5-2630l v4,xeon e5-2630l v4,intel,broadwell,xeon e5,
e5-2667 v4,xeon e5-2667 v4,intel,broadwell,xeon e5,
e5-2643 v4,xeon e5-2643 v4,intel,broadwell,xeon e5,
e5-2623 v4,xeon e5-2623 v4,intel,broadwell,xeon e5,
e5-2609 v4,xeon e5-2609 v4,intel,broadwell,xeon e5,
e5-2630 v4,xeon e5-2630 v4,intel,broadwell,xeon e5,
e5-1620 v4,xeon e5-1620 v4,intel,broadwell,xeon e5,
e5-1680 v4,xeon e5-1680 v4,intel,broadwell,xeon e5,
e5-2637 v4,xeon e5-2637 v4,intel,broadwell,xeon e5,
e5-2603 v4,xeon e5-2603 v4,intel,broadwell,xeon e5,
e5-2640 v4,xeon e5-2640 v4,intel,broadwell,xeon e5,
e5-1650 v4,xeon e5-1650 v4,intel,broadwell,xeon e5,
e5-4627 v4,xeon e5-4627 v4,intel,broadwell,xeon e5,
e5-4610 v4,xeon e5-4610 v4,intel,broadwell,xeon e5,
e5-4620 v4,xeon e5-4620 v4,intel,broadwell,xeon e5,
e5-4660 v4,xeon e5-4660 v4,intel,broadwell,xeon e5,
e5-4640 v4,xeon e5-4640 v4,intel,broadwell,xeon e5,
e5-4669 v4,xeon e5-4669 v4,intel,broadwell,xeon e5,
e5-4667 v4,xeon e5-4667 v4,intel,broadwell,xeon e5,
e5-4655 v4,xeon e5-4655 v4,intel,broadwell,xeon e5,
e5-4650 v4,xeon e5-4650 v4,intel,broadwell,xeon e5,
e5-2699a v4,xeon e5-2699a v4,intel,broadwell,xeon e5,
e3-1265l v4,xeon e3-1265l v4,intel,broadwell,xeon e3,
e3-1285l v4,xeon e3-1285l v4,intel,broadwell,xeon e3,
e3-1285 v4,xeon e3-1285 v4,intel,broadwell,xeon e3,
pantium d1517,pantium d1517,intel,broadwell,pantium d,
pantium d1508,pantium d1508,intel,broadwell,pantium d,
pantium d1519,pantium d1519,intel,broadwell,pantium d,
pantium d1509,pantium d1509,intel,broadwell,pantium d,
pantium d1507,pantium d1507,intel,broadwell,pantium d,
e5-2686 v4,xeon e5-2686 v4,intel,broadwell,xeon e5,145
i7-5775r,core i7-5775r,intel,broadwell,core i7,
i7-5775c,core i7-5775c,intel,broadwell,core i7,
i5-5575r,core i5-5575r,intel,broadwell,core i5,
i5-5675r,core i5-5675r,intel,broadwell,core i5,
i5-5675c,core i5-5675c,intel,broadwell,core i5,
i7-5700hq,core i7-5700hq,intel,broadwell,core i7,
i7-5750hq,core i7-5750hq,intel,broadwell,core i7,
i7-5850hq,core i7-5850hq,intel,broadwell,core i7,
i7-5950hq,core i7-5950hq,intel,broadwell,core i7,
i7-5650u,core i7-5650u,intel,broadwell,core i7,
i7-5600u,core i7-5600u,intel,broadwell,core i7,
i7-5500u,core i7-5500u,intel,broadwell,core i7,
i7-5550u,core i7-5550u,intel,broadwell,core i7,
i7-5557u,core i7-5557u,intel,broadwell,core i7,
i5-5350h,core i5-5350h,intel,broadwell,core i5,
i5-5300u,core i5-5300u,intel,broadwell,core i5,
i5-5250u,core i5-5250u,intel,broadwell,core i5,
i5-5257u,core i5-5257u,intel,broadwell,core i5,
i5-5287u,core i5-5287u,intel,broadwell,core i5,
i5-5350u,core i5-5350u,intel,broadwell,core i5,
i5-5200u,core i5-5200u,intel,broadwell,core i5,
i3-5015u,core i3-5015u,intel,broadwell,core i3,
i3-5020u,core i3-5020u,intel,broadwell,core i3,
i3-5005u,core i3-5005u,intel,broadwell,core i3,
i3-5010u,core i3-5010u,intel,broadwell,core i3,
i3-5157u,core i3-5157u,intel,broadwell,core i3,
3825u,3825u,intel,broadwell,,
3805u,3805u,intel,broadwell,,
3765u,3765u,intel,broadwell,,
3215u,3215u,intel,broadwell,,
3205u,3205u,intel,broadwell,,
3755u,3755u,intel,broadwell,,
m-5y10a,m-5y10a,intel,broadwell,,
m-5y71,m-5y71,intel,broadwell,,
m-5y31,m-5y31,intel,broadwell,,
m-5y10,m-5y10,intel,broadwell,,
m-5y70,m-5y70,intel,broadwell,,
m-5y10c,m-5y10c,intel,broadwell,,
m-5y71,m-5y71,intel,broadwell,,
m-5y10c,m-5y10c,intel,broadwell,,
m-5y51,m-5y51,intel,broadwell,,
gold 6244,xeon gold 6244,intel,cascadelake,xeon gold,
gold 6212u,xeon gold 6212u,intel,cascadelake,xeon gold,
gold 6240,xeon gold 6240,intel,cascadelake,xeon gold,
gold 5218,xeon gold 5218,intel,cascadelake,xeon gold,
platinum 8253,xeon platinum 8253,intel,cascadelake,xeon platinum,
gold 6230,xeon gold 6230,intel,cascadelake,xeon gold,
gold 5222,xeon gold 5222,intel,cascadelake,xeon gold,
gold 6238t,xeon gold 6238t,intel,cascadelake,xeon gold,
gold 6248,xeon gold 6248,intel,cascadelake,xeon gold,
platinum 8256,xeon platinum 8256,intel,cascadelake,xeon platinum,
gold 6252,xeon gold 6252,intel,cascadelake,xeon gold,
platinum 8260,xeon platinum 8260,intel,cascadelake,xeon platinum,
gold 6242,xeon gold 6242,intel,cascadelake,xeon gold,
platinum 8276,xeon platinum 8276,intel,cascadelake,xeon platinum,
gold 6240y,xeon gold 6240y,intel,cascadelake,xeon gold,
platinum 8276l,xeon platinum 8276l,intel,cascadelake,xeon platinum,
silver 4209t,xeon silver 4209t,intel,cascadelake,xeon silver,
platinum 8280l,xeon platinum 8280l,intel,cascadelake,xeon platinum,
gold 5217,xeon gold 5217,intel,cascadelake,xeon gold,
silver 4210,xeon silver 4210,intel,cascadelake,xeon silver,
platinum 8260l,xeon platinum 8260l,intel,cascadelake,xeon platinum,
gold 5218n,xeon gold 5218n,intel,cascadelake,xeon gold,
gold 6230n,xeon gold 6230n,intel,cascadelake,xeon gold,
silver 4214,xeon silver 4214,intel,cascadelake,xeon silver,
gold 6226,xeon gold 6226,intel,cascadelake,xeon gold,
gold 6254,xeon gold 6254,intel,cascadelake,xeon gold,
silver 4214y,xeon silver 4214y,intel,cascadelake,xeon silver,
gold 5220,xeon gold 5220,intel,cascadelake,xeon gold,
platinum 8280,xeon platinum 8280,intel,cascadelake,xeon platinum,
gold 6238l,xeon gold 6238l,intel,cascadelake,xeon gold,
platinum 8260y,xeon platinum 8260y,intel,cascadelake,xeon platinum,
gold 5218b,xeon gold 5218b,intel,cascadelake,xeon gold,
silver 4215,xeon silver 4215,intel,cascadelake,xeon silver,
gold 6240l,xeon gold 6240l,intel,cascadelake,xeon gold,
gold 6238,xeon gold 6238,intel,cascadelake,xeon gold,
platinum 8268,xeon platinum 8268,intel,cascadelake,xeon platinum,
silver 4208,xeon silver 4208,intel,cascadelake,xeon silver,
gold 5220s,xeon gold 5220s,intel,cascadelake,xeon gold,
platinum 8270,xeon platinum 8270,intel,cascadelake,xeon platinum,
gold 5215,xeon gold 5215,intel,cascadelake,xeon gold,
gold 6222v,xeon gold 6222v,intel,cascadelake,xeon gold,
gold 6252n,xeon gold 6252n,intel,cascadelake,xeon gold,
gold 6230t,xeon gold 6230t,intel,cascadelake,xeon gold,
gold 6246,xeon gold 6246,intel,cascadelake,xeon gold,
gold 5215l,xeon gold 5215l,intel,cascadelake,xeon gold,
bronze 3204,xeon bronze 3204,intel,cascadelake,xeon bronze,
gold 5218t,xeon gold 5218t,intel,cascadelake,xeon gold,
gold 5220t,xeon gold 5220t,intel,cascadelake,xeon gold,
silver 4216,xeon silver 4216,intel,cascadelake,xeon silver,
gold 6234,xeon gold 6234,intel,cascadelake,xeon gold,
gold 6209u,xeon gold 6209u,intel,cascadelake,xeon gold,
gold 6262v,xeon gold 6262v,intel,cascadelake,xeon gold,
platinum 9242,xeon platinum 9242,intel,cascadelake,xeon platinum,
platinum 9282,xeon platinum 9282,intel,cascadelake,xeon platinum,
platinum 9221,xeon platinum 9221,intel,cascadelake,xeon platinum,
platinum 9222,xeon platinum 9222,intel,cascadelake,xeon platinum,
silver 4210r,xeon silver 4210r,intel,cascadelake,xeon silver,
silver 4214r,xeon silver 4214r,intel,cascadelake,xeon silver,
bronze 3206r,xeon bronze 3206r,intel,cascadelake,xeon bronze,
gold 6246r,xeon gold 6246r,intel,cascadelake,xeon gold,
gold 6240r,xeon gold 6240r,intel,cascadelake,xeon gold,
gold 5220r,xeon gold 5220r,intel,cascadelake,xeon gold,
silver 4210t,xeon silver 4210t,intel,cascadelake,xeon silver,
gold 6238r,xeon gold 6238r,intel,cascadelake,xeon gold,
gold 6230r,xeon gold 6230r,intel,cascadelake,xeon gold,
gold 6226r,xeon gold 6226r,intel,cascadelake,xeon gold,
gold 6250,xeon gold 6250,intel,cascadelake,xeon gold,
gold 6208u,xeon gold 6208u,intel,cascadelake,xeon gold,
gold 6256,xeon gold 6256,intel,cascadelake,xeon gold,
silver 4215r,xeon silver 4215r,intel,cascadelake,xeon silver,
gold 5218r,xeon gold 5218r,intel,cascadelake,xeon gold,
gold 6258r,xeon gold 6258r,intel,cascadelake,xeon gold,
gold 6248r,xeon gold 6248r,intel,cascadelake,xeon gold,
gold 6242r,xeon gold 6242r,intel,cascadelake,xeon gold,
gold 6250l,xeon gold 6250l,intel,cascadelake,xeon gold,
platinum 8275cl,xeon platinum 8275cl,intel,cascadelake,xeon platinum,240
platinum 8259cl,xeon platinum 8259cl,intel,cascadelake,xeon platinum,210
platinum 8252c,xeon platinum 8252c,intel,cascadelake,xeon platinum,240
platinum 8370c,xeon platinum 8370c,intel,cascadelake,xeon platinum,
i9 i9-10920x,core i9 i9-10920x,intel,cascadelake,core i9,
i9 i9-10940x,core i9 i9-10940x,intel,cascadelake,core i9,
i9 i9-10980xe,core i9 i9-10980xe,intel,cascadelake,core i9,
i9 i9-10900x,core i9 i9-10900x,intel,cascadelake,core i9,
3235,3235,intel,cascadelake,,
w-2275,xeon w-2275,intel,cascadelake,xeon w,
w-2295,xeon w-2295,intel,cascadelake,xeon w,
w-2265,xeon w-2265,intel,cascadelake,xeon w,
w-2255,xeon w-2255,intel,cascadelake,xeon w,
w-2223,xeon w-2223,intel,cascadelake,xeon w,
w-2235,xeon w-2235,intel,cascadelake,xeon w,
w-2245,xeon w-2245,intel,cascadelake,xeon w,
w-2225,xeon w-2225,intel,cascadelake,xeon w,
w-3245,xeon w-3245,intel,cascadelake,xeon w,
w w-3275,xeon w w-3275,intel,cascadelake,xeon w,
w-3245m,xeon w-3245m,intel,cascadelake,xeon w,
w-3265m,xeon w-3265m,intel,cascadelake,xeon w,
w-3235,xeon w-3235,intel,cascadelake,xeon w,
w-3225,xeon w-3225,intel,cascadelake,xeon w,
w-3265,xeon w-3265,intel,cascadelake,xeon w,
w-3223,xeon w-3223,intel,cascadelake,xeon w,
w-3275m,xeon w-3275m,intel,cascadelake,xeon w,
Graviton,Graviton,Annapurna Labs,Graviton,Graviton,40
Graviton2,Graviton2,Annapurna Labs,Graviton2,Graviton2,150
E5-2670,Xeon E5-2670,intel,sandybridge,xeon e5,115
Platinum 8275CL ,Xeon Platinum 8275CL,intel,cascadelake,xeon platinum,240
Platinum 8259CL,Xeon Platinum 8259CL,intel,cascadelake,xeon platinum,210
E5-2650,Xeon E5-2650,intel,sandybridge,xeon e5,95
E5-2665,Xeon E5-2665,intel,sandybridge,xeon e5,115
Platinum 8252C,Xeon Platinum 8252C,intel,cascadelake,xeon platinum,240
Platinum 8375C,Xeon Platinum 8375C,intel,icelake,xeon platinum,300
epyc 7351,epyc 7351,amd,naple,epyc,
epyc 7501,epyc 7501,amd,naple,epyc,
epyc 7551p,epyc 7551p,amd,naple,epyc,
epyc 7601,epyc 7601,amd,naple,epyc,
epyc 7601,epyc 7601,amd,naple,epyc,
epyc 7571,epyc 7571,amd,naple,epyc,200
epyc 7551,epyc 7551,amd,naple,epyc,
epyc 7451,epyc 7451,amd,naple,epyc,
epyc 7401p,epyc 7401p,amd,naple,epyc,
epyc 7401,epyc 7401,amd,naple,epyc,
epyc 7371,epyc 7371,amd,naple,epyc,
epyc 7351p,epyc 7351p,amd,naple,epyc,
epyc 7301,epyc 7301,amd,naple,epyc,
epyc 7281,epyc 7281,amd,naple,epyc,
epyc 7261,epyc 7261,amd,naple,epyc,
epyc 7251,epyc 7251,amd,naple,epyc,
epyc 7702,epyc 7702,amd,rome,epyc,
epyc 7702p,epyc 7702p,amd,rome,epyc,
epyc 7742,epyc 7742,amd,rome,epyc,
epyc 7r32,epyc 7r32,amd,rome,epyc,280
epyc 7f72,epyc 7f72,amd,rome,epyc,
epyc 7f52,epyc 7f52,amd,rome,epyc,
