name,release_date,manufacturer,code_name,model_range,frequency,tdp,cores,total_die_size,total_die_size_source,source,process_size,die_size,io_die_size,io_process_size,transistors,foundry
AMD Ryzen 5 7535H,"Jan 4th, 2023",AMD,Rembrandt-R,Ryzen 5,3.3 GHz,35.0,6.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-7535h.c3188,6.0,208 mm²,,,,TSMC
AMD Ryzen 5 7535HS,"Jan 4th, 2023",AMD,Rembrandt-R,Ryzen 5,3.3 GHz,35.0,6.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-7535hs.c3042,6.0,208 mm²,,,,TSMC
AMD Ryzen 5 7535U,"Jan 4th, 2023",AMD,Rembrandt-R,Ryzen 5,2.9 GHz,28.0,6.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-7535u.c3039,6.0,208 mm²,,,,TSMC
AMD Ryzen 5 7600,"Jan 14th, 2023",AMD,Raphael,Ryzen 5,3.8 GHz,65.0,6.0,193.0,io_die_size (122 mm²) + die_size (71 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-7600.c2959,5.0,71 mm²,122 mm²,6 nm,"6,570 million",TSMC
AMD Ryzen 5 7600X,"Sep 27th, 2022",AMD,Raphael,Ryzen 5,4.7 GHz,105.0,6.0,193.0,io_die_size (122 mm²) + die_size (71 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-7600x.c2849,5.0,71 mm²,122 mm²,6 nm,"6,570 million",TSMC
AMD Ryzen 5 7640HS,Jan 2023,AMD,Phoenix,Ryzen 5,4.3 GHz,35.0,6.0,178.0,io_die_size () + die_size (178 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-7640hs.c3034,4.0,178 mm²,,,"25,000 million",TSMC
AMD Ryzen 5 7640U,Jan 2023,AMD,Phoenix,Ryzen 5,3.5 GHz,15.0,6.0,178.0,io_die_size () + die_size (178 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-7640u.c3205,4.0,178 mm²,,,"25,000 million",TSMC
AMD Ryzen 5 7645HX,"Jan 4th, 2023",AMD,Dragon Range,Ryzen 5,4 GHz,45.0,6.0,193.0,io_die_size (122 mm²) + die_size (71 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-7645hx.c3021,5.0,71 mm²,122 mm²,6 nm,"6,570 million",TSMC
AMD Ryzen 5 PRO 1500,"Jun 29th, 2017",AMD,Summit Ridge,Ryzen 5 PRO,3.5 GHz,65.0,4.0,192.0,io_die_size () + die_size (192 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-1500.c1917,14.0,192 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 5 PRO 1600,"Jun 29th, 2017",AMD,Summit Ridge,Ryzen 5 PRO,3.2 GHz,65.0,6.0,192.0,io_die_size () + die_size (192 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-1600.c1916,14.0,192 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 5 PRO 2400G,"May 10th, 2018",AMD,Raven Ridge,Ryzen 5 PRO,3.6 GHz,65.0,4.0,210.0,io_die_size () + die_size (210 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-2400g.c2075,14.0,210 mm²,,,"4,950 million",GlobalFoundries
AMD Ryzen 5 PRO 2400GE,"May 10th, 2018",AMD,Raven Ridge,Ryzen 5 PRO,3.2 GHz,35.0,4.0,210.0,io_die_size () + die_size (210 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-2400ge.c2935,14.0,210 mm²,,,"4,950 million",GlobalFoundries
AMD Ryzen 5 PRO 2500U,"Jan 8th, 2019",AMD,Raven Ridge,Ryzen 5 PRO,2000 MHz,15.0,4.0,246.0,io_die_size () + die_size (246 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-2500u.c2001,14.0,246 mm²,,,,GlobalFoundries
AMD Ryzen 5 PRO 2600,"Sep 19th, 2018",AMD,Pinnacle Ridge,Ryzen 5 PRO,3.4 GHz,65.0,6.0,192.0,io_die_size () + die_size (192 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-2600.c2106,12.0,192 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 5 PRO 3400GE,"Sep 30th, 2019",AMD,Picasso,Ryzen 5 PRO,3.3 GHz,35.0,4.0,210.0,io_die_size () + die_size (210 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-3400ge.c2940,12.0,210 mm²,,,"4,940 million",GlobalFoundries
AMD Ryzen 5 PRO 3500U,"Apr 8th, 2019",AMD,Picasso,Ryzen 5 PRO,2.1 GHz,15.0,4.0,210.0,io_die_size () + die_size (210 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-3500u.c2174,12.0,210 mm²,,,"4,940 million",GlobalFoundries
AMD Ryzen 5 PRO 4650G,"Jul 21st, 2020",AMD,Renoir,Ryzen 5 PRO,3.7 GHz,65.0,6.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-4650g.c2325,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 5 PRO 4650GE,"Jul 21st, 2020",AMD,Renoir,Ryzen 5 PRO,3.3 GHz,35.0,6.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-4650ge.c2328,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 5 PRO 4650U,"May 7th, 2020",AMD,Renoir,Ryzen 5 PRO,2.1 GHz,15.0,6.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-4650u.c2504,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 5 PRO 5650G,"Jun 1st, 2021",AMD,Cezanne,Ryzen 5 PRO,3.9 GHz,65.0,6.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-5650g.c2703,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 5 PRO 5650GE,"Jun 1st, 2021",AMD,Cezanne,Ryzen 5 PRO,3.4 GHz,35.0,6.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-5650ge.c2704,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 5 PRO 5650U,"Mar 16th, 2021",AMD,Cezanne-U,Ryzen 5 PRO,2.3 GHz,15.0,6.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-5650u.c2773,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 5 PRO 5675U,"Apr 19th, 2022",AMD,Cezanne-U,Ryzen 5 PRO,2.3 GHz,15.0,6.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-5675u.c2776,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 5 PRO 6650H,"Apr 19th, 2022",AMD,Rembrandt,Ryzen 5 PRO,3.3 GHz,45.0,6.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-6650h.c2769,6.0,208 mm²,,,,TSMC
AMD Ryzen 5 PRO 6650HS,"Apr 19th, 2022",AMD,Rembrandt,Ryzen 5 PRO,3.3 GHz,35.0,6.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-6650hs.c2770,6.0,208 mm²,,,,TSMC
AMD Ryzen 5 PRO 6650U,"Apr 19th, 2022",AMD,Rembrandt,Ryzen 5 PRO,2.9 GHz,15.0,6.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-5-pro-6650u.c2771,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 1700,"Mar 2nd, 2017",AMD,Summit Ridge,Ryzen 7,3 GHz,65.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-1700.c1893,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 1700X,"Mar 2nd, 2017",AMD,Summit Ridge,Ryzen 7,3.4 GHz,95.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-1700x.c1892,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 1800X,"Mar 2nd, 2017",AMD,Summit Ridge,Ryzen 7,3.6 GHz,95.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-1800x.c1879,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 2700,"Apr 19th, 2018",AMD,Pinnacle Ridge,Ryzen 7,3.2 GHz,65.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-2700.c2013,12.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 2700E,"Sep 19th, 2018",AMD,Pinnacle Ridge,Ryzen 7,2.8 GHz,65.0,8.0,192.0,io_die_size () + die_size (192 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-2700e.c2107,12.0,192 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 2700U,"Oct 26th, 2017",AMD,Raven Ridge,Ryzen 7,2.2 GHz,15.0,4.0,246.0,io_die_size () + die_size (246 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-2700u.c1970,14.0,246 mm²,,,,GlobalFoundries
AMD Ryzen 7 2700X,"Apr 19th, 2018",AMD,Pinnacle Ridge,Ryzen 7,3.7 GHz,105.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-2700x.c2011,12.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 2700X 50th Anniversary,"Apr 29th, 2019",AMD,Pinnacle Ridge,Ryzen 7,3.7 GHz,105.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-2700x-50th-anniversary.c2190,12.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 2800H,"May 30th, 2018",AMD,Raven Ridge,Ryzen 7,3.4 GHz,15.0,4.0,246.0,io_die_size () + die_size (246 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-2800h.c2076,14.0,246 mm²,,,,GlobalFoundries
AMD Ryzen 7 3700U,"Jan 6th, 2019",AMD,Picasso,Ryzen 7,2.3 GHz,15.0,4.0,210.0,io_die_size () + die_size (210 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-3700u.c2140,12.0,210 mm²,,,"4,940 million",GlobalFoundries
AMD Ryzen 7 3700X,"Jul 7th, 2019",AMD,Matisse,Ryzen 7,3.6 GHz,65.0,8.0,198.0,io_die_size (124 mm²) + die_size (74 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-3700x.c2130,7.0,74 mm²,124 mm²,12 nm,"3,800 million",TSMC
AMD Ryzen 7 3750H,"Jan 6th, 2019",AMD,Picasso,Ryzen 7,2.3 GHz,35.0,4.0,210.0,io_die_size () + die_size (210 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-3750h.c2141,12.0,210 mm²,,,"4,940 million",GlobalFoundries
AMD Ryzen 7 3780U,"Oct 22nd, 2019",AMD,Picasso,Ryzen 7,2.3 GHz,15.0,4.0,210.0,io_die_size () + die_size (210 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-3780u.c2311,12.0,210 mm²,,,"4,940 million",GlobalFoundries
AMD Ryzen 7 3800X,"Jul 7th, 2019",AMD,Matisse,Ryzen 7,3.9 GHz,105.0,8.0,198.0,io_die_size (124 mm²) + die_size (74 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-3800x.c2129,7.0,74 mm²,124 mm²,12 nm,"3,800 million",TSMC
AMD Ryzen 7 3800XT,"Jul 7th, 2020",AMD,Matisse 2,Ryzen 7,3.8 GHz,105.0,8.0,198.0,io_die_size (124 mm²) + die_size (74 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-3800xt.c2309,7.0,74 mm²,124 mm²,12 nm,"3,800 million",TSMC
AMD Ryzen 7 4700G,"Jul 21st, 2020",AMD,Renoir,Ryzen 7,3.6 GHz,65.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-4700g.c2318,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 4700GE,"Jul 21st, 2020",AMD,Renoir,Ryzen 7,3.1 GHz,35.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-4700ge.c2321,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 4700U,"Jan 6th, 2020",AMD,Renoir,Ryzen 7,1800 MHz,25.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-4700u.c2282,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 4750U,"May 7th, 2020",AMD,Renoir,Ryzen 7,1700 MHz,15.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-4750u.c2502,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 4800H,"Jan 6th, 2020",AMD,Renoir,Ryzen 7,2.9 GHz,54.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-4800h.c2280,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 4800HS,"Jan 6th, 2020",AMD,Renoir,Ryzen 7,2.9 GHz,35.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-4800hs.c2296,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 4800U,"Jan 6th, 2020",AMD,Renoir,Ryzen 7,1800 MHz,25.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-4800u.c2281,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 5700G,"Apr 13th, 2021",AMD,Cezanne,Ryzen 7,3.8 GHz,65.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5700g.c2472,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 5700U,"Jan 12th, 2021",AMD,Lucienne,Ryzen 7,1800 MHz,15.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5700u.c2744,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 5700X,"Apr 4th, 2022",AMD,Vermeer,Ryzen 7,3.4 GHz,65.0,8.0,205.0,io_die_size (124 mm²) + die_size (81 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5700x.c2755,7.0,81 mm²,124 mm²,12 nm,"4,150 million",TSMC
AMD Ryzen 7 5800,"Jan 12th, 2021",AMD,Vermeer,Ryzen 7,3.4 GHz,65.0,8.0,205.0,io_die_size (124 mm²) + die_size (81 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5800.c2678,7.0,81 mm²,124 mm²,12 nm,"4,150 million",TSMC
AMD Ryzen 7 5800H,"Jan 12th, 2021",AMD,Cezanne,Ryzen 7,3.2 GHz,45.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5800h.c2368,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 5800HS,"Jan 12th, 2021",AMD,Cezanne,Ryzen 7,2.8 GHz,35.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5800hs.c2369,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 5800U,"Jan 12th, 2021",AMD,Cezanne-U,Ryzen 7,1900 MHz,15.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5800u.c2746,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 5800X,"Nov 5th, 2020",AMD,Vermeer,Ryzen 7,3.8 GHz,105.0,8.0,205.0,io_die_size (124 mm²) + die_size (81 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5800x.c2362,7.0,81 mm²,124 mm²,12 nm,"4,150 million",TSMC
AMD Ryzen 7 5800X3D,"Apr 20th, 2022",AMD,Vermeer,Ryzen 7,3.4 GHz,105.0,8.0,199.0,io_die_size (125 mm²) + die_size (74 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5800x3d.c2532,7.0,74 mm²,125 mm²,12 nm,,TSMC
AMD Ryzen 7 5825C,"May 5th, 2022",AMD,Cezanne-U,Ryzen 7,2000 MHz,15.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5825c.c2782,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 5825U,"Jan 6th, 2022",AMD,Barcelo,Ryzen 7,2000 MHz,15.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-5825u.c2521,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 6800H,Jan 2022,AMD,Rembrandt,Ryzen 7,3.2 GHz,45.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-6800h.c2527,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 6800HS,Jan 2022,AMD,Rembrandt,Ryzen 7,3.2 GHz,35.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-6800hs.c2526,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 6800U,Jan 2022,AMD,Rembrandt,Ryzen 7,2.7 GHz,15.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-6800u.c2523,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 7700,"Jan 14th, 2023",AMD,Raphael,Ryzen 7,4.3 GHz,65.0,8.0,192.0,io_die_size (122 mm²) + die_size (70 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7700.c2960,5.0,70 mm²,122 mm²,6 nm,"6,570 million",TSMC
AMD Ryzen 7 7700X,"Sep 27th, 2022",AMD,Raphael,Ryzen 7,4.5 GHz,105.0,8.0,194.0,io_die_size (124.7 mm²) + die_size (70 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7700x.c2848,5.0,70 mm²,124.7 mm²,6 nm,"6,570 million",TSMC
AMD Ryzen 7 7730U,"Jan 4th, 2023",AMD,Barcelo-R,Ryzen 7,2000 MHz,15.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7730u.c3037,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 7735H,"Jan 4th, 2023",AMD,Rembrandt-R,Ryzen 7,3.2 GHz,35.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7735h.c3187,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 7735HS,"Jan 4th, 2023",AMD,Rembrandt-R,Ryzen 7,3.2 GHz,35.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7735hs.c3041,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 7735U,"Jan 4th, 2023",AMD,Rembrandt-R,Ryzen 7,2.7 GHz,28.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7735u.c3040,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 7736U,"Jan 4th, 2023",AMD,Rembrandt-R,Ryzen 7,2.7 GHz,15.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7736u.c3186,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 7745HX,"Jan 4th, 2023",AMD,Dragon Range,Ryzen 7,3.6 GHz,55.0,8.0,193.0,io_die_size (122 mm²) + die_size (71 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7745hx.c3025,5.0,71 mm²,122 mm²,6 nm,"6,570 million",TSMC
AMD Ryzen 7 7800X3D,"Jan 4th, 2023",AMD,Raphael,Ryzen 7,4.4 GHz,120.0,8.0,193.0,io_die_size (122 mm²) + die_size (71 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7800x3d.c3022,5.0,71 mm²,122 mm²,6 nm,"6,570 million",TSMC
AMD Ryzen 7 7840HS,Jan 2023,AMD,Phoenix,Ryzen 7,3.8 GHz,35.0,8.0,178.0,io_die_size () + die_size (178 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-7840hs.c3033,4.0,178 mm²,,,"25,000 million",TSMC
AMD Ryzen 7 PRO 1700,"Jun 29th, 2017",AMD,Summit Ridge,Ryzen 7 PRO,3 GHz,65.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-1700.c1915,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 PRO 1700X,"Jun 29th, 2017",AMD,Summit Ridge,Ryzen 7 PRO,3.4 GHz,95.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-1700x.c1914,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 PRO 2700,"Sep 19th, 2018",AMD,Pinnacle Ridge,Ryzen 7 PRO,3.2 GHz,65.0,8.0,192.0,io_die_size () + die_size (192 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-2700.c2105,12.0,192 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 PRO 2700U,"Oct 26th, 2017",AMD,Raven Ridge,Ryzen 7 PRO,2.2 GHz,15.0,4.0,246.0,io_die_size () + die_size (246 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-2700u.c2000,14.0,246 mm²,,,,GlobalFoundries
AMD Ryzen 7 PRO 2700X,"Sep 19th, 2018",AMD,Pinnacle Ridge,Ryzen 7 PRO,3.6 GHz,95.0,8.0,192.0,io_die_size () + die_size (192 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-2700x.c2104,12.0,192 mm²,,,"4,800 million",GlobalFoundries
AMD Ryzen 7 PRO 3700U,"Apr 8th, 2019",AMD,Picasso,Ryzen 7 PRO,2.3 GHz,15.0,4.0,210.0,io_die_size () + die_size (210 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-3700u.c2173,12.0,210 mm²,,,"4,940 million",GlobalFoundries
AMD Ryzen 7 PRO 4750G,"Jul 21st, 2020",AMD,Renoir,Ryzen 7 PRO,3.6 GHz,65.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-4750g.c2324,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 PRO 4750GE,"Jul 21st, 2020",AMD,Renoir,Ryzen 7 PRO,3.1 GHz,35.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-4750ge.c2327,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 7 PRO 5750G,"Jun 1st, 2021",AMD,Cezanne,Ryzen 7 PRO,3.8 GHz,65.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-5750g.c2701,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 PRO 5750GE,"Jun 1st, 2021",AMD,Cezanne,Ryzen 7 PRO,3.2 GHz,35.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-5750ge.c2702,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 PRO 5850U,"Mar 16th, 2021",AMD,Cezanne-U,Ryzen 7 PRO,1900 MHz,15.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-5850u.c2774,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 PRO 5875U,"Apr 19th, 2022",AMD,Cezanne-U,Ryzen 7 PRO,2000 MHz,15.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-5875u.c2777,7.0,180 mm²,,,"10,700 million",TSMC
AMD Ryzen 7 PRO 6850H,"Apr 19th, 2022",AMD,Rembrandt,Ryzen 7 PRO,3.2 GHz,45.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-6850h.c2766,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 PRO 6850HS,"Apr 19th, 2022",AMD,Rembrandt,Ryzen 7 PRO,3.2 GHz,35.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-6850hs.c2767,6.0,208 mm²,,,,TSMC
AMD Ryzen 7 PRO 6850U,"Apr 19th, 2022",AMD,Rembrandt,Ryzen 7 PRO,2.7 GHz,15.0,8.0,208.0,io_die_size () + die_size (208 mm²),https://www.techpowerup.com/cpu-specs/ryzen-7-pro-6850u.c2768,6.0,208 mm²,,,,TSMC
AMD Ryzen 9 3900X,"Jul 7th, 2019",AMD,Matisse,Ryzen 9,3.8 GHz,105.0,12.0,272.0,io_die_size (124 mm²) + die_size (2x 74 mm²),https://www.techpowerup.com/cpu-specs/ryzen-9-3900x.c2128,7.0,2x 74 mm²,124 mm²,12 nm,"7,600 million",TSMC
AMD Ryzen 9 3900XT,"Jul 7th, 2020",AMD,Matisse 2,Ryzen 9,3.9 GHz,105.0,12.0,272.0,io_die_size (124 mm²) + die_size (2x 74 mm²),https://www.techpowerup.com/cpu-specs/ryzen-9-3900xt.c2308,7.0,2x 74 mm²,124 mm²,12 nm,"7,600 million",TSMC
AMD Ryzen 9 3950X,"Nov 25th, 2019",AMD,Matisse,Ryzen 9,3.5 GHz,105.0,16.0,272.0,io_die_size (124 mm²) + die_size (2x 74 mm²),https://www.techpowerup.com/cpu-specs/ryzen-9-3950x.c2203,7.0,2x 74 mm²,124 mm²,12 nm,"7,600 million",TSMC
AMD Ryzen 9 4900H,"Mar 16th, 2020",AMD,Renoir,Ryzen 9,3.3 GHz,54.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-9-4900h.c2279,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 9 4900HS,"Mar 7th, 2020",AMD,Renoir,Ryzen 9,3 GHz,35.0,8.0,156.0,io_die_size () + die_size (156 mm²),https://www.techpowerup.com/cpu-specs/ryzen-9-4900hs.c2278,7.0,156 mm²,,,"9,800 million",TSMC
AMD Ryzen 9 5900,"Jan 12th, 2021",AMD,Vermeer,Ryzen 9,3 GHz,65.0,12.0,205.0,io_die_size (124 mm²) + die_size (81 mm²),https://www.techpowerup.com/cpu-specs/ryzen-9-5900.c2677,7.0,81 mm²,124 mm²,12 nm,"4,150 million",TSMC
AMD Ryzen 9 5900HX,"Jan 12th, 2021",AMD,Cezanne,Ryzen 9,3.3 GHz,45.0,8.0,180.0,io_die_size () + die_size (180 mm²),https://www.techpowerup.com/cpu-specs/ryzen-9-5900hx.c2371,7.0,180 mm²,,,"10,700 million",TSMC
