name,release_date,manufacturer,code_name,model_range,frequency,tdp,cores,total_die_size,total_die_size_source,source,process_size,die_size,io_die_size,io_process_size,transistors,foundry
AMD Athlon Silver 3050GE,"Jul 21st, 2020",AMD,Dali,Athlon Silver,3.4 GHz,35.0,2.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/athlon-silver-3050ge.c2332,12.0,,,,,GlobalFoundries
AMD Athlon Silver 7120U,"Sep 20th, 2022",AMD,Mendocino,Athlon Silver,2.4 GHz,15.0,2.0,100.0,io_die_size () + die_size (100 mm²),https://www.techpowerup.com/cpu-specs/athlon-silver-7120u.c3043,6.0,100 mm²,,,,TSMC
AMD Athlon Silver PRO 3125GE,"Jul 21st, 2020",AMD,Dali,Athlon Silver PRO,3.4 GHz,35.0,2.0,,io_die_size () + die_size (),https://www.techpowerup.com/cpu-specs/athlon-silver-pro-3125ge.c2334,12.0,,,,,GlobalFoundries
AMD Athlon X4 940,"Jul 27th, 2017",AMD,Bristol Ridge,Athlon X4,3.2 GHz,65.0,4.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/athlon-x4-940.c1963,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD Athlon X4 950,"Jul 27th, 2017",AMD,Bristol Ridge,Athlon X4,3.5 GHz,65.0,4.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/athlon-x4-950.c1962,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD Athlon X4 970,"Jul 27th, 2017",AMD,Bristol Ridge,Athlon X4,3.8 GHz,65.0,4.0,250.0,io_die_size () + die_size (250 mm²),https://www.techpowerup.com/cpu-specs/athlon-x4-970.c1961,28.0,250 mm²,,,"3,100 million",GlobalFoundries
AMD EPYC 7232P,"Aug 7th, 2019",AMD,Rome,EPYC,3.1 GHz,120.0,8.0,564.0,io_die_size (416 mm2) + die_size (2x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7232p.c2263,7.0,2x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7251,"Jun 29th, 2017",AMD,Naples,EPYC,2.1 GHz,120.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7251.c1928,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7252,"Aug 7th, 2019",AMD,Rome,EPYC,2.8 GHz,120.0,8.0,564.0,io_die_size (416 mm2) + die_size (2x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7252.c2258,7.0,2x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7261,"Jun 14th, 2018",AMD,Naples,EPYC,2.5 GHz,170.0,8.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7261.c2299,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7262,"Aug 7th, 2019",AMD,Rome,EPYC,3.1 GHz,155.0,8.0,564.0,io_die_size (416 mm2) + die_size (2x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7262.c2257,7.0,2x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7272,"Aug 7th, 2019",AMD,Rome,EPYC,2.6 GHz,120.0,12.0,638.0,io_die_size (416 mm2) + die_size (3x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7272.c2256,7.0,3x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7281,"Jun 29th, 2017",AMD,Naples,EPYC,2.1 GHz,170.0,16.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7281.c1927,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7282,"Aug 7th, 2019",AMD,Rome,EPYC,2.8 GHz,120.0,16.0,712.0,io_die_size (416 mm2) + die_size (4x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7282.c2255,7.0,4x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 72F3,"Mar 15th, 2021",AMD,Milan,EPYC,3.7 GHz,180.0,8.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-72f3.c2391,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7301,"Jun 29th, 2017",AMD,Naples,EPYC,2.2 GHz,170.0,16.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7301.c1926,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7302,"Aug 7th, 2019",AMD,Rome,EPYC,3 GHz,155.0,16.0,712.0,io_die_size (416 mm2) + die_size (4x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7302.c2254,7.0,4x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7302P,"Aug 7th, 2019",AMD,Rome,EPYC,3 GHz,155.0,16.0,712.0,io_die_size (416 mm2) + die_size (4x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7302p.c2262,7.0,4x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7313,"Mar 15th, 2021",AMD,Milan,EPYC,3 GHz,155.0,16.0,740.0,io_die_size (416 mm²) + die_size (4x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7313.c2389,7.0,4x 81 mm²,416 mm²,12 nm,"16,600 million",TSMC
