name,source,code_name,frequency,tdp,cores,total_die_size,total_die_size_source,manufacturer
AMD A4-4000,https://www.techpowerup.com/cpu-specs/a4-4000.c1626,Richland,3 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-4020,https://www.techpowerup.com/cpu-specs/a4-4020.c2649,Richland,3.2 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-4300M,https://www.techpowerup.com/cpu-specs/a4-4300m.c1045,Trinity,2.5 GHz,35,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-4355M,https://www.techpowerup.com/cpu-specs/a4-4355m.c1162,Trinity,1900 MHz,17,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-5000,https://www.techpowerup.com/cpu-specs/a4-5000.c1710,Kabini,1500 MHz,15,4,107.0,io_die_size () + die_size (107 mm²),AMD
AMD A4-5050,https://www.techpowerup.com/cpu-specs/a4-5050.c1759,Kabini,1550 MHz,15,4,107.0,io_die_size () + die_size (107 mm²),AMD
AMD A4-5145M,https://www.techpowerup.com/cpu-specs/a4-5145m.c1623,Richland,2000 MHz,17,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-5150M,https://www.techpowerup.com/cpu-specs/a4-5150m.c1557,Richland,2.7 GHz,35,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-5300,https://www.techpowerup.com/cpu-specs/a4-5300.c1491,Trinity,3.4 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-5300B,https://www.techpowerup.com/cpu-specs/a4-5300b.c1490,Trinity,3.4 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-6300,https://www.techpowerup.com/cpu-specs/a4-6300.c1503,Richland,3.7 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-6300B,https://www.techpowerup.com/cpu-specs/a4-6300b.c2643,Richland,3.7 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-6320,https://www.techpowerup.com/cpu-specs/a4-6320.c2644,Richland,3.8 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-6320B,https://www.techpowerup.com/cpu-specs/a4-6320b.c2645,Richland,3.8 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A4-7300,https://www.techpowerup.com/cpu-specs/a4-7300.c2646,Richland,3.8 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6 PRO-7400B,https://www.techpowerup.com/cpu-specs/a6-pro-7400b.c2625,Kaveri,3.5 GHz,65,2,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A6-1450,https://www.techpowerup.com/cpu-specs/a6-1450.c1704,Temash,1000 MHz,8,4,107.0,io_die_size () + die_size (107 mm²),AMD
AMD A6-3400M,https://www.techpowerup.com/cpu-specs/a6-3400m.c890,Llano,1400 MHz,35,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A6-3410MX,https://www.techpowerup.com/cpu-specs/a6-3410mx.c891,Llano,1600 MHz,45,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A6-3420M,https://www.techpowerup.com/cpu-specs/a6-3420m.c892,Llano,1500 MHz,35,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A6-3430MX,https://www.techpowerup.com/cpu-specs/a6-3430mx.c893,Llano,1700 MHz,45,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A6-3500,https://www.techpowerup.com/cpu-specs/a6-3500.c776,Llano,2.1 GHz,65,3,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A6-3600,https://www.techpowerup.com/cpu-specs/a6-3600.c788,Llano,2.1 GHz,65,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A6-3620,https://www.techpowerup.com/cpu-specs/a6-3620.c881,Llano,2.2 GHz,65,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A6-3650,https://www.techpowerup.com/cpu-specs/a6-3650.c741,Llano,2.6 GHz,100,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A6-3670K,https://www.techpowerup.com/cpu-specs/a6-3670k.c879,Llano,2.7 GHz,100,4,228.0,io_die_size () + die_size (228 mm²),AMD
AMD A6-4400M,https://www.techpowerup.com/cpu-specs/a6-4400m.c1025,Trinity,2.7 GHz,35,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-4455M,https://www.techpowerup.com/cpu-specs/a6-4455m.c1027,Trinity,2.1 GHz,17,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-5200,https://www.techpowerup.com/cpu-specs/a6-5200.c1711,Kabini,2000 MHz,25,4,107.0,io_die_size () + die_size (107 mm²),AMD
AMD A6-5345M,https://www.techpowerup.com/cpu-specs/a6-5345m.c1624,Richland,2.2 GHz,17,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-5350M,https://www.techpowerup.com/cpu-specs/a6-5350m.c1556,Richland,2.9 GHz,35,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-5357M,https://www.techpowerup.com/cpu-specs/a6-5357m.c1625,Richland,2.9 GHz,35,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-5400B,https://www.techpowerup.com/cpu-specs/a6-5400b.c1489,Trinity,3.6 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-5400K,https://www.techpowerup.com/cpu-specs/a6-5400k.c1103,Trinity,3.6 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-6400B,https://www.techpowerup.com/cpu-specs/a6-6400b.c2648,Richland,3.9 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-6400K,https://www.techpowerup.com/cpu-specs/a6-6400k.c1502,Richland,3.9 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-6420K,https://www.techpowerup.com/cpu-specs/a6-6420k.c2642,Richland,4 GHz,65,2,246.0,io_die_size () + die_size (246 mm²),AMD
AMD A6-7400K,https://www.techpowerup.com/cpu-specs/a6-7400k.c2626,Kaveri,3.5 GHz,65,2,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A6-7470K,https://www.techpowerup.com/cpu-specs/a6-7470k.c2628,Godaveri,3.7 GHz,65,2,245.0,io_die_size () + die_size (245 mm²),AMD
AMD A6-7480,https://www.techpowerup.com/cpu-specs/a6-7480.c2614,Carrizo,3.5 GHz,45,2,250.0,io_die_size () + die_size (250 mm²),AMD
