Name,Url,Socket,Foundry,Process Size,Package,tCaseMax,tJMax,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,P-Core Boost 3.0,E-Core Frequency,Base Clock,Multiplier,Multiplier Unlocked,TDP,Minimum Power,PL1,PL2,PL2 Tau Limit,Codename,Generation,Memory Support,DDR4 Speed,DDR5 Speed,LPDDR4x Speed,LPDDR5 Speed,ECC Memory,PCI-Express,Secondary PCIe,PCH PCIe,Chipsets,# of Cores,# of Threads,Hybrid Cores,SMP # CPUs,Integrated Graphics,Cache L1,Cache L2,Cache L3,E-Core L1,E-Core L2,Transistors,Die Size,I/O Process Size,I/O Die Size,Launch Price,FP32,Voltage,Chipset,Configurable TDP,# of CCDs,Cores per CCD,TDP-up Frequency,All-Core Turbo,Configurable TDP-up,Uncore Frequency,XFR,PPT,Idle Power,Configurable TDP-down,DDR3L Speed,LPDDR3 Speed,DMI Bus Speed,QPI Links,All Core Turbo,Effective FSB,Trace L1,AVX2 Turbo,AVX-512 Turbo,AVX-512 FMA Ports,Package#,Stepping Codes,Max Power,L1 Trace,Cache Type,Min. Assured Freq.,Max. Assured Freq.,Maximum Power,High Priority Core Freq.,Low Priority Core Freq.,High Priority Cores,Low Priority Cores,OEM Launch MSRP,Retail Launch MSRP,Bundled Cooler,Boost 3.0,P-Core Turbo,TDP-down Frequency,Boost 2.0,LPDDR4 Speed,UPI Links,Max. Memory,Retail Launch,Turbo Boost 2.0,Max Turbo Power,DMI,Adjustable Multiplier,Cache L4,TDP Range,Processor Base Power,MSRP,Retail Refresh,Core Process,Cache Process,Cache Die Size,Cache Dies,NB Frequency,ACP,Retail Release,Package HBM,Max Multi Adjust,Retail Availability,3D V-Cache,LPDDR5x Speed,All P-Core Turbo,Radeon Graphics Die Size,Dedicated Graphics
AMD A10-6700,https://www.techpowerup.com/cpu-specs/a10-6700.c1499,AMD Socket FM2,GlobalFoundries,32 nm,µPGA,71°C,,Desktop,End-of-life,"Jun 1st, 2013",AD6700OKHLBOXAD6700OKA44HL,3.7 GHz,up to 4.3 GHz,,,100 MHz,37.0x,No,65 W,,,,,Richland,A10 (Richland),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A88X, A85X, A78, A75, A68H, A55",4,4,,1,Radeon HD 8670D,192K,4MB,,,,"1,303 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-6700T,https://www.techpowerup.com/cpu-specs/a10-6700t.c1732,AMD Socket FM2,GlobalFoundries,32 nm,µPGA,71°C,,Desktop,End-of-life,"Sep 16th, 2013",AD670TYHHLBOX AD670TYHA44HL,2.5 GHz,up to 3.5 GHz,,,100 MHz,25.0x,No,45 W,,,,,Richland,A10 (Richland),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A88X, A85X, A78, A75, A68H, A55",4,4,,1,Radeon HD 8650D,192K,4MB,,,,"1,303 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-6790B,https://www.techpowerup.com/cpu-specs/a10-6790b.c2641,AMD Socket FM2,GlobalFoundries,32 nm,µPGA,74°C,,Desktop,End-of-life,"Oct 28th, 2013",AD679BWOA44HL,4 GHz,up to 4.3 GHz,,,100 MHz,40.0x,No,100 W,,,,,Richland,A10 (Richland),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A88X, A85X, A78, A75, A68H, A55",4,4,,1,Radeon HD 8670D,192K,4MB,,,,"1,303 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-6790K,https://www.techpowerup.com/cpu-specs/a10-6790k.c1746,AMD Socket FM2,GlobalFoundries,32 nm,µPGA,74°C,,Desktop,End-of-life,"Oct 28th, 2013",AD679KWOHLBOXAD679KWOA44HL,4 GHz,up to 4.3 GHz,,,100 MHz,40.0x,Yes,100 W,,,,,Richland,A10 (Richland),DDR3-1866 MHz Dual-channel,,,,,No,Gen 2,,,"A88X, A85X, A78, A75, A68H, A55",4,4,,1,Radeon HD 8670D,192K,4MB,,,,"1,303 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-6800K,https://www.techpowerup.com/cpu-specs/a10-6800k.c1498,AMD Socket FM2,GlobalFoundries,32 nm,µPGA,74°C,,Desktop,End-of-life,"Jun 1st, 2013",AD680KWOHLBOXAD680KWOA44HL,4.1 GHz,up to 4.4 GHz,,,100 MHz,41.0x,Yes,100 W,,,,,Richland,A10 (Richland),DDR3-2133 MHz Dual-channel,,,,,No,Gen 2,,,"A88X, A85X, A78, A75, A68H, A55",4,4,,1,Radeon HD 8670D,192K,4MB,,,,"1,303 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-7700K,https://www.techpowerup.com/cpu-specs/a10-7700k.c1745,AMD Socket FM2+,GlobalFoundries,28 nm,µPGA,74°C,,Desktop,End-of-life,"Jan 14th, 2014",AD770KXBI44JAAD770KXBI44JABOX,3.4 GHz,up to 3.8 GHz,,,100 MHz,34.0x,Yes,95 W,,,,,Kaveri,A10 (Kaveri),DDR3-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"A88X, A85X, A78, A75, A68H",4,4,,1,Radeon R7,256K,4MB,,,,"2,411 million",245 mm²,,,,,1.275 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-7800,https://www.techpowerup.com/cpu-specs/a10-7800.c2601,AMD Socket FM2+,GlobalFoundries,28 nm,µPGA,74°C,,Desktop,End-of-life,"Jul 31st, 2014",AD7800YBJABOXAD7800YBI44JA,3.5 GHz,up to 3.9 GHz,,,100 MHz,35.0x,No,65 W,,,,,Kaveri,A10 (Kaveri),DDR3-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"A88X, A85X, A78, A75, A68H",4,4,,1,Radeon R7,256K,4MB,,,,"2,411 million",245 mm²,,,,,1.275 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-7850K,https://www.techpowerup.com/cpu-specs/a10-7850k.c1744,AMD Socket FM2+,GlobalFoundries,28 nm,µPGA,74°C,,Desktop,End-of-life,"Jan 14th, 2014",AD785KXBI44JAAD785KXBJABOX,3.7 GHz,up to 4 GHz,,,100 MHz,37.0x,Yes,95 W,,,,,Kaveri,A10 (Kaveri),DDR3,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"A88X, A85X, A78, A75, A68H",4,4,,1,Radeon R7,256K,4MB,,,,"2,411 million",245 mm²,,,,,1.275 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-7860K,https://www.techpowerup.com/cpu-specs/a10-7860k.c2604,AMD Socket FM2+,GlobalFoundries,28 nm,µPGA,72°C,,Desktop,End-of-life,"Feb 2nd, 2016",AD786KYBJABOXAD786KYBJCSBXAD786KYBI44JC,3.6 GHz,up to 4 GHz,,,100 MHz,36.0x,Yes,65 W,,,,,Godaveri,A10 (Godaveri),DDR3-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"A88X, A85X, A78, A75, A68H",4,4,,1,Radeon R7,256K,4MB,,,,"2,411 million",245 mm²,,,,,1.275 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-7870K,https://www.techpowerup.com/cpu-specs/a10-7870k.c1833,AMD Socket FM2+,GlobalFoundries,28 nm,µPGA,72°C,,Desktop,End-of-life,"May 28th, 2015",AD787KXDI44JCAD787KXDJCBOXAD787KXDJCSBX,3.9 GHz,up to 4.1 GHz,,,100 MHz,39.0x,Yes,95 W,,,,,Godaveri,A10 (Godaveri),DDR3-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"A88X, A85X, A78, A75, A68H",4,4,,1,Radeon R7,256K,4MB,,,,"2,411 million",245 mm²,,,,,1.275 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-7890K,https://www.techpowerup.com/cpu-specs/a10-7890k.c1832,AMD Socket FM2+,GlobalFoundries,28 nm,µPGA,72°C,,Desktop,End-of-life,"Jan 11th, 2016",AD789KXDI44JCAD789KXDJCHBX,4 GHz,up to 4.3 GHz,,,100 MHz,40.0x,Yes,95 W,,,,,Godaveri,A10 (Godaveri),DDR3-2133 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"A88X, A85X, A78, A75, A68H",4,4,,1,Radeon R7,256K,4MB,,,,"2,411 million",245 mm²,,,,,1.275 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-9700,https://www.techpowerup.com/cpu-specs/a10-9700.c1955,AMD Socket AM4,GlobalFoundries,28 nm,µOPGA-1331,,90°C,Desktop,Active,"Jul 27th, 2017",AD9700AGM44AB,3.5 GHz,up to 3.8 GHz,,,100 MHz,35.0x,No,65 W,,,,,Bristol Ridge,A10 (Bristol Ridge),DDR4-2400 MHz Dual-channel,,,,,No,"Gen 3, 8 Lanes(CPU only)",,,"X370, B350, A320",4,4,,1,Radeon R7,320K,2MB,,,,"3,100 million",250 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A10-9700E,https://www.techpowerup.com/cpu-specs/a10-9700e.c1956,AMD Socket AM4,GlobalFoundries,28 nm,µOPGA-1331,,90°C,Desktop,Active,"Jul 27th, 2017",AD9700AHM44AB,3 GHz,up to 3.5 GHz,,,100 MHz,30.0x,No,35 W,,,,,Bristol Ridge,A10 (Bristol Ridge),DDR4-2400 MHz Dual-channel,,,,,No,"Gen 3, 8 Lanes(CPU only)",,,"X370, B350, A320",4,4,,1,Radeon R7,320K,2MB,,,,"3,100 million",250 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A12-9800,https://www.techpowerup.com/cpu-specs/a12-9800.c1953,AMD Socket AM4,GlobalFoundries,28 nm,µOPGA-1331,,90°C,Desktop,Active,"Jul 27th, 2017",AD9800AUABBOXAD9800AUM44AB,3.8 GHz,up to 4.2 GHz,,,100 MHz,38.0x,No,65 W,,,,,Bristol Ridge,A12 (Bristol Ridge),DDR4-2400 MHz Dual-channel,,,,,No,"Gen 3, 8 Lanes(CPU only)",,,"X370, B350, A320",4,4,,1,Radeon R7,320K,2MB,,,,"3,100 million",250 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A12-9800E,https://www.techpowerup.com/cpu-specs/a12-9800e.c1954,AMD Socket AM4,GlobalFoundries,28 nm,µOPGA-1331,,90°C,Desktop,Active,"Jul 27th, 2017",AD9800AHM44AB,3.1 GHz,up to 3.8 GHz,,,100 MHz,31.0x,No,35 W,,,,,Bristol Ridge,A12 (Bristol Ridge),DDR4 Dual-channel,,,,,No,"Gen 3, 8 Lanes(CPU only)",,,"X370, B350, A320",4,4,,1,Radeon R7,320K,2MB,,,,"3,100 million",250 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A4 PRO-7300B,https://www.techpowerup.com/cpu-specs/a4-pro-7300b.c2647,AMD Socket FM2,GlobalFoundries,32 nm,µPGA,70°C,,Desktop,End-of-life,Aug 2014,AD730BOKA23HL,3.8 GHz,up to 4 GHz,,,100 MHz,38.0x,No,65 W,,,,,Richland,A4 (Richland),DDR3-1600 MHz Dual-channel,,,,,No,Gen 2,,,"A88X, A85X, A78, A75, A68H, A55",2,2,,1,Radeon HD 8470D,96K,1MB (shared),,,,"1,303 million",246 mm²,,,,,1.475 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A4 PRO-7350B,https://www.techpowerup.com/cpu-specs/a4-pro-7350b.c2637,AMD Socket FM2+,GlobalFoundries,28 nm,µPGA,72°C,,Desktop,End-of-life,"Jul 31st, 2014",AD735BYBI23JA,3.4 GHz,up to 3.8 GHz,,,100 MHz,34.0x,No,65 W,,,,,Kaveri,A4 (Kaveri),DDR3-1866 MHz Dual-channel,,,,,No,"Gen 3, 16 Lanes(CPU only)",,,"A88X, A85X, A78, A75, A68H",2,2,,1,Radeon R5,128K,1MB (shared),,,,"2,411 million",245 mm²,,,,,1.275 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
