id,servers_quantity,server_id,PUE
scw_coparm1.base,10,scw_coparm1.base,1.3
scw_dev1.base,10,scw_dev1.base,1.3
scw_ent1.base,10,scw_ent1.base,1.3
scw_gp1.base,10,scw_gp1.base,1.3
scw_h100.base,10,scw_h100.base,1.3
scw_l4.base,10,scw_l4.base,1.3
scw_play2.base,10,scw_play2.base,1.3
scw_pop2.base,10,scw_pop2.base,1.3
scw_pop2hc.base,10,scw_pop2hc.base,1.3
scw_pop2hm.base,10,scw_pop2hm.base,1.3
scw_pro2.base,10,scw_pro2.base,1.3
scw_renders.base,10,scw_renders.base,1.3
