id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
c6g.xlarge,4,8,0,0,0,c6g.metal,
c6g.xlarge.elasticsearch,4,8,0,0,0,c6g.metal,
c6g.2xlarge,8,16,0,0,0,c6g.metal,
c6g.2xlarge.elasticsearch,8,16,0,0,0,c6g.metal,
c6g.4xlarge,16,32,0,0,0,c6g.metal,
c6g.4xlarge.elasticsearch,16,32,0,0,0,c6g.metal,
c6g.8xlarge,32,64,0,0,0,c6g.metal,
c6g.8xlarge.elasticsearch,32,64,0,0,0,c6g.metal,
c6g.12xlarge,48,96,0,0,0,c6g.metal,
c6g.12xlarge.elasticsearch,48,96,0,0,0,c6g.metal,
c6g.16xlarge,64,128,0,0,0,c6g.metal,
c6g.metal,64,128,0,0,0,c6g.metal,
c6gd.medium,1,2,59,0,0,c6gd.metal,
c6gd.large,2,4,118,0,0,c6gd.metal,
c6gd.xlarge,4,8,232,0,0,c6gd.metal,
c6gd.2xlarge,8,16,474,0,0,c6gd.metal,
c6gd.4xlarge,16,32,950,0,0,c6gd.metal,
c6gd.8xlarge,32,64,1900,0,0,c6gd.metal,
c6gd.12xlarge,48,96,2870,0,0,c6gd.metal,
c6gd.16xlarge,64,128,3800,0,0,c6gd.metal,
c6gd.metal,64,128,3800,0,0,c6gd.metal,
c6gn.medium,1,2,0,0,0,c6gn.16xlarge,
c6gn.large,2,4,0,0,0,c6gn.16xlarge,
c6gn.xlarge,4,8,0,0,0,c6gn.16xlarge,
c6gn.2xlarge,8,16,0,0,0,c6gn.16xlarge,
c6gn.4xlarge,16,32,0,0,0,c6gn.16xlarge,
c6gn.8xlarge,32,64,0,0,0,c6gn.16xlarge,
c6gn.12xlarge,48,96,0,0,0,c6gn.16xlarge,
c6gn.16xlarge,64,128,0,0,0,c6gn.16xlarge,
c6i.large,2,4,0,0,0,c6i.metal,
c6i.xlarge,4,8,0,0,0,c6i.metal,
c6i.2xlarge,8,16,0,0,0,c6i.metal,
c6i.4xlarge,16,32,0,0,0,c6i.metal,
c6i.8xlarge,32,64,0,0,0,c6i.metal,
c6i.12xlarge,48,96,0,0,0,c6i.metal,
c6i.16xlarge,64,128,0,0,0,c6i.metal,
c6i.24xlarge,96,192,0,0,0,c6i.metal,
c6i.32xlarge,128,256,0,0,0,c6i.metal,
c6i.metal,128,256,0,0,0,c6i.metal,
c6id.large,2,4,118,0,0,c6id.metal,
c6id.xlarge,4,8,237,0,0,c6id.metal,
c6id.2xlarge,8,16,474,0,0,c6id.metal,
c6id.4xlarge,16,32,950,0,0,c6id.metal,
c6id.8xlarge,32,64,1900,0,0,c6id.metal,
c6id.12xlarge,48,96,2850,0,0,c6id.metal,
c6id.16xlarge,64,128,3800,0,0,c6id.metal,
c6id.24xlarge,96,192,5700,0,0,c6id.metal,
c6id.32xlarge,128,256,7600,0,0,c6id.metal,
c6id.metal,128,256,7600,0,0,c6id.metal,
c6in.large,2,4,0,0,0,c6in.metal,
c6in.xlarge,4,8,0,0,0,c6in.metal,
c6in.2xlarge,8,16,0,0,0,c6in.metal,
c6in.4xlarge,16,32,0,0,0,c6in.metal,
c6in.8xlarge,32,64,0,0,0,c6in.metal,
c6in.12xlarge,48,96,0,0,0,c6in.metal,
c6in.16xlarge,64,128,0,0,0,c6in.metal,
c6in.24xlarge,96,192,0,0,0,c6in.metal,
c6in.32xlarge,128,256,0,0,0,c6in.metal,
c6in.metal,128,256,0,0,0,c6in.metal,
c7a.medium,1,2,0,0,0,c7a.metal-48xl,
c7a.large,2,4,0,0,0,c7a.metal-48xl,
c7a.xlarge,4,8,0,0,0,c7a.metal-48xl,
c7a.2xlarge,8,16,0,0,0,c7a.metal-48xl,
c7a.4xlarge,16,32,0,0,0,c7a.metal-48xl,
c7a.8xlarge,32,64,0,0,0,c7a.metal-48xl,
c7a.12xlarge,48,96,0,0,0,c7a.metal-48xl,
c7a.16xlarge,64,128,0,0,0,c7a.metal-48xl,
c7a.24xlarge,96,192,0,0,0,c7a.metal-48xl,
c7a.32xlarge,128,256,0,0,0,c7a.metal-48xl,
c7a.48xlarge,192,384,0,0,0,c7a.metal-48xl,
c7a.metal-48xl,192,384,0,0,0,c7a.metal-48xl,
c7g.medium,1,2,0,0,0,c7g.metal,
c7g.large,2,4,0,0,0,c7g.metal,
c7g.xlarge,4,8,0,0,0,c7g.metal,
c7g.2xlarge,8,16,0,0,0,c7g.metal,
c7g.4xlarge,16,32,0,0,0,c7g.metal,
c7g.8xlarge,32,64,0,0,0,c7g.metal,
c7g.12xlarge,48,96,0,0,0,c7g.metal,
c7g.16xlarge,64,128,0,0,0,c7g.metal,
c7g.metal,64,128,0,0,0,c7g.metal,
c7gd.medium,1,2,59,0,0,c7gd.16xlarge,
c7gd.large,2,4,118,0,0,c7gd.16xlarge,
c7gd.xlarge,4,8,237,0,0,c7gd.16xlarge,
c7gd.2xlarge,8,16,474,0,0,c7gd.16xlarge,
c7gd.4xlarge,16,32,950,0,0,c7gd.16xlarge,
c7gd.8xlarge,32,64,1900,0,0,c7gd.16xlarge,
c7gd.12xlarge,48,96,2850,0,0,c7gd.16xlarge,
c7gd.16xlarge,64,128,3800,0,0,c7gd.16xlarge,
c7gn.medium,1,2,0,0,0,c7gn.16xlarge,
c7gn.large,2,4,0,0,0,c7gn.16xlarge,
c7gn.xlarge,4,8,0,0,0,c7gn.16xlarge,
c7gn.2xlarge,8,16,0,0,0,c7gn.16xlarge,
c7gn.4xlarge,16,32,0,0,0,c7gn.16xlarge,
c7gn.8xlarge,32,64,0,0,0,c7gn.16xlarge,
c7gn.12xlarge,48,96,0,0,0,c7gn.16xlarge,
c7gn.16xlarge,64,128,0,0,0,c7gn.16xlarge,
c7i.large,2,4,0,0,0,c7i.48xlarge,
