id,manufacturer,CASE.case_type,year,CPU.units,CPU.core_units,CPU.name,CPU.manufacturer,CPU.model_range,CPU.family,CPU.tdp,CPU.manufacture_date,RAM.capacity,RAM.units,SSD.units,SSD.capacity,HDD.units,HDD.capacity,POWER_SUPPLY.units,GPU.memory,GPU.memory,GPU.units,POWER_SUPPLY.units,POWER_SUPPLY.unit_weight,USAGE.instance_per_server,USAGE.time_workload,USAGE.use_time,USAGE.years_life_time,USAGE.other_consumption_ratio,USAGE.overcommited,Warnings
c5.12xlarge,AWS,rack,2019,2,24,Xeon Platinum 8275CL,intel,xeon platinum,cascadelake,240,2019,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.29,0,
c5.18xlarge,AWS,rack,2019,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2019,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.30,0,
c5.18xlarge.elasticsearch,AWS,rack,2019,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2019,32,6,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.31,0,configuration.ram.capacity not verified
c5.24xlarge,AWS,rack,2019,2,24,Xeon Platinum 8275CL,intel,xeon platinum,cascadelake,240,2019,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.32,0,
c5.2xlarge,AWS,rack,2016,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2016,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,9,50;0;100,8760,35040,0.33;0.2;0.33,0,
c5.2xlarge.elasticsearch,AWS,rack,2016,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2016,32,6,0,0,,0,2,,,,2;2;2,2.99;1;5,9,50;0;100,8760,35040,0.33;0.2;0.34,0,configuration.ram.capacity not verified
c5.4xlarge,AWS,rack,2016,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2016,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,4,50;0;100,8760,35040,0.33;0.2;0.35,0,;usage.instance_per_server is rounded
c5.4xlarge.elasticsearch,AWS,rack,2016,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2016,32,6,0,0,,0,2,,,,2;2;2,2.99;1;5,4,50;0;100,8760,35040,0.33;0.2;0.36,0,configuration.ram.capacity not verified;usage.instance_per_server is rounded
c5.9xlarge,AWS,rack,2019,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2019,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.37,0,
c5.9xlarge.elasticsearch,AWS,rack,2019,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2019,32,6,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.38,0,configuration.ram.capacity not verified
c5.large,AWS,rack,2016,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2016,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,36,50;0;100,8760,35040,0.33;0.2;0.39,0,
c5.large.elasticsearch,AWS,rack,2016,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2016,32,6,0,0,,0,2,,,,2;2;2,2.99;1;5,36,50;0;100,8760,35040,0.33;0.2;0.40,0,configuration.ram.capacity not verified
c5.metal,AWS,rack,2019,2,24,Xeon Platinum 8275CL,intel,xeon platinum,cascadelake,240,2019,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.41,0,
c5.xlarge,AWS,rack,2016,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2016,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,18,50;0;100,8760,35040,0.33;0.2;0.42,0,
