id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
dc64ads_v5,64.0,256,2400.0,0.0,0,DCadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc96ads_v5,96.0,384,3600.0,0.0,0,DCadsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc2as_v5,2.0,8,0.0,0.0,0,DCasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc4as_v5,4.0,16,0.0,0.0,0,DCasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc8as_v5,8.0,32,0.0,0.0,0,DCasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc16as_v5,16.0,64,0.0,0.0,0,DCasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc32as_v5,32.0,128,0.0,0.0,0,DCasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc48as_v5,48.0,192,0.0,0.0,0,DCasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc64as_v5,64.0,256,0.0,0.0,0,DCasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc96as_v5,96.0,384,0.0,0.0,0,DCasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc16ds_v3,16.0,128,1200.0,0.0,0,DCdsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc24ds_v3,24.0,192,1800.0,0.0,0,DCdsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc32ds_v3,32.0,256,2400.0,0.0,0,DCdsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc48ds_v3,48.0,384,2400.0,0.0,0,DCdsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc1s_v3,1.0,8,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc2s_v3,2.0,16,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc4s_v3,4.0,32,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc8s_v3,8.0,64,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc16s_v3,16.0,128,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
dc24s_v3,24.0,192,0.0,0.0,0,DCsv3-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d2ds_v4,2.0,8,75.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d4ds_v4,4.0,16,150.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d8ds_v4,8.0,32,300.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d16ds_v4,16.0,64,600.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d32ds_v4,32.0,128,1200.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d48ds_v4,48.0,192,1800.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
d64ds_v4,64.0,256,2400.0,0.0,0,Ddsv4-Type2,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e2bds_v5,2.0,16,75.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e4bds_v5,4.0,32,150.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e8bds_v5,8.0,64,300.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e16bds_v5,16.0,128,600.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e32bds_v5,32.0,256,1200.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e48bds_v5,48.0,384,1800.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
e64bds_v5,64.0,512,2400.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details."
