id,manufacturer,CASE.case_type,CPU.units,CPU.core_units,CPU.die_size,CPU.die_size_per_core,CPU.tdp,CPU.name,CPU.vcpu,RAM.units,RAM.capacity,SSD.units,SSD.capacity,HDD.units,HDD.capacity,GPU.units,GPU.name,GPU.memory_capacity,POWER_SUPPLY.units,POWER_SUPPLY.unit_weight,USAGE.time_workload,USAGE.use_time_ratio,USAGE.hours_life_time,USAGE.other_consumption_ratio,WARNINGS
platform_aws_g4ad,AWS,rack,1,,,,,AMD EPYC 7R32,,12,32,1,2400,0,0,4,Radeon Pro V520,16,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_h1,AWS,rack,2,,,,,Intel Xeon E5-2686 v4,,8,32,0,0,8,2000,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_i2,AWS,rack,2,,,,,Intel Xeon E5-2670 v2,,61,4,8,800,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_m2,AWS,rack,2,,,,,Intel Xeon E5-2665,,35,8,2,840,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_m3,AWS,rack,2,,,,,Intel Xeon E5-2670,,30,8,2,80,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_m4-a,AWS,rack,2,,,,,Intel Xeon E5-2686 v4,,8,32,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_m4-b,AWS,rack,2,,,,,Intel Xeon E5-2676 v3,,8,32,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_m5-b,AWS,rack,2,,,,,Intel Xeon Platinum 8259CL,,12,32,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_p2,AWS,rack,2,,,,,Intel Xeon E5-2686 v4,,183,4,0,0,0,0,16,Tesla K80,24,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_p3,AWS,rack,2,,,,,Intel Xeon E5-2686 v4,,24,32,0,0,0,0,8,Tesla V100,32,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_r3,AWS,rack,2,,,,,Intel Xeon E5-2670 v2,,61,4,2,320,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_r4,AWS,rack,2,,,,,Intel Xeon E5-2686 v4,,61,8,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_t1,AWS,rack,2,,,,,Intel Xeon E5-2670,,18,8,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_t2-a,AWS,rack,2,,,,,Intel Xeon E5-2676 v3,,9,32,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_t2-b,AWS,rack,2,,,,,Intel Xeon E5-2686 v4,,36,8,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_t3,AWS,rack,2,,,,,Intel Xeon Platinum 8175M,,12,32,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_t3a,AWS,rack,2,,,,,AMD EPYC 7571,,12,32,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
platform_aws_t4g,AWS,rack,1,,,,,Annapurna Labs Graviton2,,8,32,0,0,0,0,0,,0,2;2;2,2.99;1;5,50;0;100,1,35040,0.33;0.2;0.6,RAM configuration was not verified
