Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
A0,A0,0.75 GiB,1,20 GiB,€0.0171 hourly,unavailable,unavailable,€0.0154 hourly,€0.0171 hourly,unavailable,unavailable,€0.0154 hourly
A1,A1,1.75 GiB,1,70 GiB,€0.0514 hourly,unavailable,unavailable,€0.0463 hourly,€0.0771 hourly,unavailable,unavailable,€0.0694 hourly
A1 v2,A1 v2,2 GiB,1,10 GiB,€0.0351 hourly,€0.0263 hourly,€0.0207 hourly,€0.0072 hourly,€0.0531 hourly,€0.0657 hourly,€0.0602 hourly,€0.0108 hourly
A2,A2,3.5 GiB,2,135 GiB,€0.1028 hourly,unavailable,unavailable,€0.0926 hourly,€0.1543 hourly,unavailable,unavailable,€0.1388 hourly
A2m v2,A2m v2,16 GiB,2,20 GiB,€0.0968 hourly,€0.0724 hourly,€0.0572 hourly,€0.0197 hourly,€0.1611 hourly,€0.1513 hourly,€0.1361 hourly,€0.0329 hourly
A2 v2,A2 v2,4 GiB,2,20 GiB,€0.0738 hourly,€0.0552 hourly,€0.0435 hourly,€0.015 hourly,€0.1114 hourly,€0.134 hourly,€0.1224 hourly,€0.0227 hourly
A3,A3,7 GiB,4,285 GiB,€0.2057 hourly,unavailable,unavailable,€0.1851 hourly,€0.3085 hourly,unavailable,unavailable,€0.2777 hourly
A4,A4,14 GiB,8,605 GiB,€0.4114 hourly,unavailable,unavailable,€0.3702 hourly,€0.6171 hourly,unavailable,unavailable,€0.5554 hourly
A4m v2,A4m v2,32 GiB,4,40 GiB,€0.1937 hourly,€0.1448 hourly,€0.1145 hourly,€0.0395 hourly,€0.3377 hourly,€0.3025 hourly,€0.2722 hourly,€0.0689 hourly
A4 v2,A4 v2,8 GiB,4,40 GiB,€0.156 hourly,€0.1166 hourly,€0.0921 hourly,€0.0318 hourly,€0.2348 hourly,€0.2743 hourly,€0.2498 hourly,€0.0479 hourly
A5,A5,14 GiB,2,135 GiB,€0.2314 hourly,unavailable,unavailable,€0.2083 hourly,€0.2914 hourly,unavailable,unavailable,€0.2623 hourly
A6,A6,28 GiB,4,285 GiB,€0.4628 hourly,unavailable,unavailable,€0.4165 hourly,€0.5828 hourly,unavailable,unavailable,€0.5245 hourly
A7,A7,56 GiB,8,605 GiB,€0.9256 hourly,unavailable,unavailable,€0.8331 hourly,€1.1656 hourly,unavailable,unavailable,€1.049 hourly
A8m v2,A8m v2,64 GiB,8,80 GiB,€0.3882 hourly,€0.2903 hourly,€0.2288 hourly,€0.0792 hourly,€0.7036 hourly,€0.6057 hourly,€0.5442 hourly,€0.1435 hourly
A8 v2,A8 v2,16 GiB,8,80 GiB,€0.3257 hourly,€0.2435 hourly,€0.1923 hourly,€0.0664 hourly,€0.4928 hourly,€0.5589 hourly,€0.5077 hourly,€0.1005 hourly
B12ms,B12ms,48 GiB,12,96 GiB,€0.4937 hourly,€0.3752 hourly,€0.2889 hourly,unavailable,€0.5348 hourly,€0.4163 hourly,€0.3301 hourly,unavailable
B16als v2,B16als v2,32 GiB,16,0 GiB,€0.5245 hourly,€0.3986 hourly,€0.3095 hourly,€0.4721 hourly,€0.5879 hourly,€0.4535 hourly,€0.3643 hourly,€0.5291 hourly
B16as v2,B16as v2,64 GiB,16,0 GiB,€0.5922 hourly,€0.4501 hourly,€0.3495 hourly,€0.533 hourly,€0.6556 hourly,€0.5049 hourly,€0.4043 hourly,€0.5901 hourly
B16ls v2,B16ls v2,32 GiB,16,0 GiB,€0.5828 hourly,€0.4429 hourly,€0.3439 hourly,€0.5245 hourly,€0.6462 hourly,€0.4978 hourly,€0.3988 hourly,€0.5816 hourly
B16ms,B16ms,64 GiB,16,128 GiB,€0.6582 hourly,€0.5002 hourly,€0.3852 hourly,unavailable,€0.7131 hourly,€0.5551 hourly,€0.44 hourly,unavailable
Standard B16pls v2,B16pls v2,32 GiB,16,0 GiB,€0.4662 hourly,€0.3543 hourly,€0.2751 hourly,€0.4196 hourly,unavailable,unavailable,unavailable,unavailable
Standard B16ps v2,B16ps v2,64 GiB,16,0 GiB,€0.5262 hourly,€0.3999 hourly,€0.3106 hourly,€0.4736 hourly,unavailable,unavailable,unavailable,unavailable
B16s v2,B16s v2,64 GiB,16,0 GiB,€0.6582 hourly,€0.5002 hourly,€0.3883 hourly,€0.5924 hourly,€0.7216 hourly,€0.5551 hourly,€0.4432 hourly,€0.6495 hourly
Standard B1ls,B1ls,0.5 GiB,1,4 GiB,€0.0051 hourly,€0.0039 hourly,€0.003 hourly,unavailable,unavailable,unavailable,unavailable,unavailable
B1ms,B1ms,2 GiB,1,4 GiB,€0.0206 hourly,€0.0156 hourly,€0.012 hourly,unavailable,€0.0237 hourly,€0.0191 hourly,€0.0155 hourly,unavailable
B1s,B1s,1 GiB,1,4 GiB,€0.0103 hourly,€0.0078 hourly,€0.006 hourly,unavailable,€0.0137 hourly,€0.0112 hourly,€0.0094 hourly,unavailable
B20ms,B20ms,80 GiB,20,160 GiB,€0.8228 hourly,€0.6253 hourly,€0.4815 hourly,unavailable,€0.8913 hourly,€0.6939 hourly,€0.55 hourly,unavailable
B2als v2,B2als v2,4 GiB,2,0 GiB,€0.037 hourly,€0.0281 hourly,€0.0218 hourly,€0.0333 hourly,€0.0449 hourly,€0.035 hourly,€0.0287 hourly,€0.0404 hourly
B2as v2,B2as v2,8 GiB,2,0 GiB,€0.074 hourly,€0.0563 hourly,€0.0437 hourly,€0.0666 hourly,€0.0819 hourly,€0.0631 hourly,€0.0506 hourly,€0.0737 hourly
B2ats v2,B2ats v2,1 GiB,2,0 GiB,€0.0093 hourly,€0.007 hourly,€0.0055 hourly,€0.0083 hourly,€0.0171 hourly,€0.0139 hourly,€0.0123 hourly,€0.0154 hourly
B2ls v2,B2ls v2,4 GiB,2,0 GiB,€0.0411 hourly,€0.0313 hourly,€0.0243 hourly,€0.037 hourly,€0.049 hourly,€0.0381 hourly,€0.0311 hourly,€0.0441 hourly
B2ms,B2ms,8 GiB,2,16 GiB,€0.0823 hourly,€0.0625 hourly,€0.0481 hourly,unavailable,€0.0891 hourly,€0.0694 hourly,€0.055 hourly,unavailable
Standard B2pls v2,B2pls v2,4 GiB,2,0 GiB,€0.0329 hourly,€0.025 hourly,€0.0194 hourly,€0.0296 hourly,unavailable,unavailable,unavailable,unavailable
Standard B2ps v2,B2ps v2,8 GiB,2,0 GiB,€0.0658 hourly,€0.05 hourly,€0.0388 hourly,€0.0592 hourly,unavailable,unavailable,unavailable,unavailable
Standard B2pts v2,B2pts v2,1 GiB,2,0 GiB,€0.0082 hourly,€0.0063 hourly,€0.0049 hourly,€0.0074 hourly,unavailable,unavailable,unavailable,unavailable
B2s,B2s,4 GiB,2,8 GiB,€0.0411 hourly,€0.0313 hourly,€0.0241 hourly,unavailable,€0.048 hourly,€0.0381 hourly,€0.0309 hourly,unavailable
B2s v2,B2s v2,8 GiB,2,0 GiB,€0.0823 hourly,€0.0625 hourly,€0.0485 hourly,€0.074 hourly,€0.09 hourly,€0.0694 hourly,€0.0554 hourly,€0.081 hourly
B2ts v2,B2ts v2,1 GiB,2,0 GiB,€0.0103 hourly,€0.0078 hourly,€0.0061 hourly,€0.0093 hourly,€0.0182 hourly,€0.0147 hourly,€0.0129 hourly,€0.0164 hourly
B32als v2,B32als v2,64 GiB,32,0 GiB,€1.049 hourly,€0.7973 hourly,€0.619 hourly,€0.9441 hourly,€1.175 hourly,€0.907 hourly,€0.7287 hourly,€1.0575 hourly
B32as v2,B32as v2,128 GiB,32,0 GiB,€1.1845 hourly,€0.9002 hourly,€0.6991 hourly,€1.066 hourly,€1.3113 hourly,€1.0099 hourly,€0.8088 hourly,€1.1802 hourly
B32ls v2,B32ls v2,64 GiB,32,0 GiB,€1.1656 hourly,€0.8859 hourly,€0.6878 hourly,€1.049 hourly,€1.2916 hourly,€0.9956 hourly,€0.7975 hourly,€1.1624 hourly
B32s v2,B32s v2,128 GiB,32,0 GiB,€1.3164 hourly,€1.0005 hourly,€0.7767 hourly,€1.1848 hourly,€1.4424 hourly,€1.1102 hourly,€0.8864 hourly,€1.2982 hourly
B4als v2,B4als v2,8 GiB,4,0 GiB,€0.1311 hourly,€0.0997 hourly,€0.0774 hourly,€0.118 hourly,€0.1466 hourly,€0.1134 hourly,€0.0911 hourly,€0.1319 hourly
B4as v2,B4as v2,16 GiB,4,0 GiB,€0.1483 hourly,€0.1127 hourly,€0.0874 hourly,€0.1334 hourly,€0.1637 hourly,€0.1264 hourly,€0.1011 hourly,€0.1473 hourly
B4ls v2,B4ls v2,8 GiB,4,0 GiB,€0.1457 hourly,€0.1107 hourly,€0.086 hourly,€0.1311 hourly,€0.1611 hourly,€0.1244 hourly,€0.0997 hourly,€0.145 hourly
B4ms,B4ms,16 GiB,4,32 GiB,€0.1646 hourly,€0.1251 hourly,€0.0963 hourly,unavailable,€0.1783 hourly,€0.1388 hourly,€0.11 hourly,unavailable
Standard B4pls v2,B4pls v2,8 GiB,4,0 GiB,€0.1166 hourly,€0.0886 hourly,€0.0688 hourly,€0.1049 hourly,unavailable,unavailable,unavailable,unavailable
Standard B4ps v2,B4ps v2,16 GiB,4,0 GiB,€0.132 hourly,€0.1003 hourly,€0.0777 hourly,€0.1188 hourly,unavailable,unavailable,unavailable,unavailable
B4s v2,B4s v2,16 GiB,4,0 GiB,€0.1646 hourly,€0.1251 hourly,€0.0971 hourly,€0.1481 hourly,€0.18 hourly,€0.1388 hourly,€0.1108 hourly,€0.162 hourly
B8als v2,B8als v2,16 GiB,8,0 GiB,€0.2623 hourly,€0.1993 hourly,€0.1548 hourly,€0.236 hourly,€0.294 hourly,€0.2267 hourly,€0.1822 hourly,€0.2646 hourly
B8as v2,B8as v2,32 GiB,8,0 GiB,€0.2965 hourly,€0.2254 hourly,€0.1747 hourly,€0.2669 hourly,€0.3274 hourly,€0.2528 hourly,€0.2022 hourly,€0.2947 hourly
B8ls v2,B8ls v2,16 GiB,8,0 GiB,€0.2914 hourly,€0.2215 hourly,€0.172 hourly,€0.2623 hourly,€0.3231 hourly,€0.2489 hourly,€0.1994 hourly,€0.2908 hourly
B8ms,B8ms,32 GiB,8,64 GiB,€0.3291 hourly,€0.2501 hourly,€0.1925 hourly,unavailable,€0.3565 hourly,€0.2775 hourly,€0.22 hourly,unavailable
Standard B8pls v2,B8pls v2,16 GiB,8,0 GiB,€0.2331 hourly,€0.1772 hourly,€0.1376 hourly,€0.2098 hourly,unavailable,unavailable,unavailable,unavailable
Standard B8ps v2,B8ps v2,32 GiB,8,0 GiB,€0.2631 hourly,€0.20 hourly,€0.1554 hourly,€0.2368 hourly,unavailable,unavailable,unavailable,unavailable
B8s v2,B8s v2,32 GiB,8,0 GiB,€0.3291 hourly,€0.2501 hourly,€0.1942 hourly,€0.2962 hourly,€0.3608 hourly,€0.2775 hourly,€0.2216 hourly,€0.3247 hourly
D1,D1,3.5 GiB,1,50 GiB,€0.072 hourly,€0.0547 hourly,€0.0459 hourly,€0.0147 hourly,€0.1268 hourly,€0.0941 hourly,€0.0853 hourly,€0.0259 hourly
D11,D11,14 GiB,2,100 GiB,€0.1894 hourly,€0.144 hourly,€0.1384 hourly,€0.0386 hourly,€0.2391 hourly,€0.2228 hourly,€0.2173 hourly,€0.0488 hourly
D11s,D11s,14 GiB,2,28 GiB,€0.1894 hourly,€0.144 hourly,€0.1384 hourly,€0.0386 hourly,€0.2391 hourly,€0.2228 hourly,€0.2173 hourly,€0.0488 hourly
D11 v2,D11 v2,14 GiB,2,100 GiB,€0.1628 hourly,€0.1238 hourly,€0.1056 hourly,€0.0332 hourly,€0.2391 hourly,€0.2026 hourly,€0.1844 hourly,€0.0488 hourly
D12,D12,28 GiB,4,200 GiB,€0.3788 hourly,€0.2879 hourly,€0.277 hourly,€0.0772 hourly,€0.4791 hourly,€0.4456 hourly,€0.4347 hourly,€0.0977 hourly
D128ads v7,D128ads v7,512 GiB,128,7040 GiB,€7.5695 hourly,€5.3744 hourly,€4.466 hourly,€1.3989 hourly,€12.6159 hourly,€10.4207 hourly,€9.5124 hourly,€2.5232 hourly
D128alds v7,D128alds v7,512 GiB,128,7040 GiB,€6.3191 hourly,€4.4866 hourly,€3.7282 hourly,€1.1678 hourly,€11.3655 hourly,€9.5329 hourly,€8.7746 hourly,€2.2731 hourly
D128als v7,D128als v7,256 GiB,128,0 GiB,€5.3318 hourly,€3.7856 hourly,€3.1457 hourly,€0.9853 hourly,€10.3781 hourly,€8.8319 hourly,€8.192 hourly,€1.9179 hourly
D128as v7,D128as v7,512 GiB,128,0 GiB,€6.0226 hourly,€4.276 hourly,€3.5534 hourly,€1.113 hourly,€11.0689 hourly,€9.3224 hourly,€8.5997 hourly,€2.0455 hourly
D128ds v6,D128ds v6,512 GiB,128,7040 GiB,€8.1858 hourly,€5.6482 hourly,€5.0753 hourly,€1.5127 hourly,€13.2321 hourly,€10.6945 hourly,€10.1217 hourly,€2.4453 hourly
D128lds v6,D128lds v6,256 GiB,128,7040 GiB,€6.9045 hourly,€4.626 hourly,€4.2809 hourly,€1.2759 hourly,€11.9508 hourly,€9.6724 hourly,€9.3273 hourly,€2.2085 hourly
D128ls v6,D128ls v6,256 GiB,128,0 GiB,€5.5872 hourly,€3.7434 hourly,€3.464 hourly,€1.0839 hourly,€10.6335 hourly,€8.7898 hourly,€8.5104 hourly,€2.0629 hourly
D128nds v6,D128nds v6,512 GiB,128,7040 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D128nlds v6,D128nlds v6,256 GiB,128,7040 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D128nls v6,D128nls v6,256 GiB,128,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D128ns v6,D128ns v6,512 GiB,128,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D128s v6,D128s v6,512 GiB,128,0 GiB,€6.6242 hourly,€4.5707 hourly,€4.1068 hourly,€1.2851 hourly,€11.6706 hourly,€9.6171 hourly,€9.1532 hourly,€2.2641 hourly
D12s,D12s,28 GiB,4,56 GiB,€0.3788 hourly,€0.2879 hourly,€0.277 hourly,€0.0772 hourly,€0.4791 hourly,€0.4456 hourly,€0.4347 hourly,€0.0977 hourly
D12 v2,D12 v2,28 GiB,4,200 GiB,€0.3248 hourly,€0.2469 hourly,€0.2111 hourly,€0.0662 hourly,€0.4774 hourly,€0.4046 hourly,€0.3688 hourly,€0.0973 hourly
D13,D13,56 GiB,8,400 GiB,€0.7585 hourly,€0.5765 hourly,€0.554 hourly,€0.1547 hourly,€0.9582 hourly,€0.8919 hourly,€0.8694 hourly,€0.1954 hourly
D13s,D13s,56 GiB,8,112 GiB,€0.7585 hourly,€0.5765 hourly,€0.554 hourly,€0.1547 hourly,€0.9582 hourly,€0.8919 hourly,€0.8694 hourly,€0.1954 hourly
D13 v2,D13 v2,56 GiB,8,400 GiB,€0.6505 hourly,€0.4944 hourly,€0.4226 hourly,€0.1326 hourly,€0.9548 hourly,€0.8098 hourly,€0.738 hourly,€0.1947 hourly
D14,D14,112 GiB,16,800 GiB,€1.5161 hourly,€1.1523 hourly,€1.108 hourly,€0.3091 hourly,€1.9164 hourly,€1.7831 hourly,€1.7388 hourly,€0.3908 hourly
D14s,D14s,112 GiB,16,224 GiB,€1.5161 hourly,€1.1523 hourly,€1.108 hourly,€0.3091 hourly,€1.9164 hourly,€1.7831 hourly,€1.7388 hourly,€0.3908 hourly
D14 v2,D14 v2,112 GiB,16,800 GiB,€1.301 hourly,€0.9888 hourly,€0.8452 hourly,€0.2653 hourly,€1.9095 hourly,€1.6196 hourly,€1.476 hourly,€0.3894 hourly
D15i v2,D15i v2,140 GiB,20,1000 GiB,€1.6258 hourly,€1.2356 hourly,unavailable,€0.3315 hourly,€2.3869 hourly,€2.0241 hourly,unavailable,€0.4867 hourly
D15 v2,D15 v2,140 GiB,20,1000 GiB,€1.6258 hourly,€1.2356 hourly,€1.0565 hourly,€0.3315 hourly,€2.3869 hourly,€2.0241 hourly,€1.8449 hourly,€0.4867 hourly
D160ads v7,D160ads v7,640 GiB,160,8800 GiB,€9.4619 hourly,€6.718 hourly,€5.5825 hourly,€1.7486 hourly,unavailable,€6.718 hourly,€5.5825 hourly,unavailable
D160alds v7,D160alds v7,320 GiB,160,8800 GiB,€7.8987 hourly,€5.608 hourly,€4.6602 hourly,€1.4597 hourly,unavailable,€5.608 hourly,€4.6602 hourly,unavailable
D160als v7,D160als v7,320 GiB,160,0 GiB,€6.6645 hourly,€4.7318 hourly,€3.932 hourly,€1.2316 hourly,unavailable,€4.7318 hourly,€3.932 hourly,unavailable
D160as v7,D160as v7,640 GiB,160,0 GiB,€7.5284 hourly,€5.3452 hourly,€4.4417 hourly,€1.3912 hourly,unavailable,€5.3452 hourly,€4.4417 hourly,unavailable
D16ads v5,D16ads v5,64 GiB,16,600 GiB,€0.8571 hourly,€0.6514 hourly,€0.5056 hourly,€0.176 hourly,€1.4879 hourly,€1.2822 hourly,€1.1364 hourly,€0.3056 hourly
D16ads v6,D16ads v6,64 GiB,16,600 GiB,€0.9462 hourly,€0.6718 hourly,€0.5583 hourly,€0.19 hourly,€1.577 hourly,€1.3026 hourly,€1.1891 hourly,€0.3167 hourly
D16ads v7,D16ads v7,64 GiB,16,880 GiB,€0.9462 hourly,€0.6718 hourly,€0.5583 hourly,€0.1749 hourly,€1.577 hourly,€1.3026 hourly,€1.1891 hourly,€0.3154 hourly
D16alds v6,D16alds v6,32 GiB,16,600 GiB,€0.7902 hourly,€0.561 hourly,€0.466 hourly,€0.1587 hourly,€1.421 hourly,€1.1918 hourly,€1.0968 hourly,€0.2853 hourly
D16alds v7,D16alds v7,32 GiB,16,880 GiB,€0.7902 hourly,€0.561 hourly,€0.466 hourly,€0.146 hourly,€1.421 hourly,€1.1918 hourly,€1.0968 hourly,€0.2842 hourly
D16als v6,D16als v6,32 GiB,16,0 GiB,€0.6668 hourly,€0.4734 hourly,€0.3932 hourly,€0.1232 hourly,€1.2976 hourly,€1.1042 hourly,€1.024 hourly,€0.2398 hourly
D16als v7,D16als v7,32 GiB,16,0 GiB,€0.6668 hourly,€0.4734 hourly,€0.3932 hourly,€0.1232 hourly,€1.2976 hourly,€1.1042 hourly,€1.024 hourly,€0.2398 hourly
D16as v4,D16as v4,64 GiB,16,128 GiB,€0.7885 hourly,€0.5993 hourly,€0.5244 hourly,€0.162 hourly,€1.4193 hourly,€1.2301 hourly,€1.1552 hourly,€0.2915 hourly
D16as v5,D16as v5,64 GiB,16,0 GiB,€0.7131 hourly,€0.5419 hourly,€0.4207 hourly,€0.1465 hourly,€1.3439 hourly,€1.1727 hourly,€1.0515 hourly,€0.276 hourly
D16as v6,D16as v6,64 GiB,16,0 GiB,€0.7525 hourly,€0.5343 hourly,€0.4442 hourly,€0.1391 hourly,€1.3833 hourly,€1.1651 hourly,€1.075 hourly,€0.2556 hourly
D16as v7,D16as v7,64 GiB,16,0 GiB,€0.7525 hourly,€0.5343 hourly,€0.4442 hourly,€0.1391 hourly,€1.3833 hourly,€1.1651 hourly,€1.075 hourly,€0.2556 hourly
D16a v4,D16a v4,64 GiB,16,400 GiB,€0.7885 hourly,€0.5993 hourly,€0.5244 hourly,€0.162 hourly,€1.4193 hourly,€1.2301 hourly,€1.1552 hourly,€0.2915 hourly
D16ds v4,D16ds v4,64 GiB,16,600 GiB,€0.9325 hourly,€0.7087 hourly,€0.5501 hourly,€0.187 hourly,€1.5633 hourly,€1.3395 hourly,€1.1809 hourly,€0.3134 hourly
D16ds v5,D16ds v5,64 GiB,16,600 GiB,€0.9325 hourly,€0.7087 hourly,€0.5501 hourly,€0.187 hourly,€1.5633 hourly,€1.3395 hourly,€1.1809 hourly,€0.3134 hourly
D16ds v6,D16ds v6,64 GiB,16,880 GiB,€1.0233 hourly,€0.7061 hourly,€0.6344 hourly,€0.1891 hourly,€1.6541 hourly,€1.3369 hourly,€1.2652 hourly,€0.3057 hourly
D16d v4,D16d v4,64 GiB,16,600 GiB,€0.9325 hourly,€0.7087 hourly,€0.5501 hourly,€0.187 hourly,€1.5633 hourly,€1.3395 hourly,€1.1809 hourly,€0.3134 hourly
D16d v5,D16d v5,64 GiB,16,600 GiB,€0.9325 hourly,€0.7087 hourly,€0.5501 hourly,€0.187 hourly,€1.5633 hourly,€1.3395 hourly,€1.1809 hourly,€0.3134 hourly
D16lds v5,D16lds v5,32 GiB,16,600 GiB,€0.7611 hourly,€0.5632 hourly,€0.4491 hourly,€0.1526 hourly,€1.3919 hourly,€1.194 hourly,€1.0799 hourly,€0.2791 hourly
D16lds v6,D16lds v6,32 GiB,16,880 GiB,€0.8631 hourly,€0.5782 hourly,€0.5351 hourly,€0.1595 hourly,€1.4939 hourly,€1.209 hourly,€1.1659 hourly,€0.2761 hourly
D16ls v5,D16ls v5,32 GiB,16,0 GiB,€0.6651 hourly,€0.4722 hourly,€0.3924 hourly,€0.1333 hourly,€1.2959 hourly,€1.103 hourly,€1.0232 hourly,€0.2598 hourly
D16ls v6,D16ls v6,32 GiB,16,0 GiB,€0.6985 hourly,€0.468 hourly,€0.433 hourly,€0.1355 hourly,€1.3293 hourly,€1.0988 hourly,€1.0638 hourly,€0.2579 hourly
D16nds v6,D16nds v6,64 GiB,16,880 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D16nlds v6,D16nlds v6,32 GiB,16,880 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D16nls v6,D16nls v6,32 GiB,16,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D16ns v6,D16ns v6,64 GiB,16,0 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
Standard D16pds v5,D16pds v5,64 GiB,16,600 GiB,€0.7474 hourly,€0.568 hourly,€0.441 hourly,€0.2984 hourly,unavailable,unavailable,unavailable,unavailable
Standard D16pds v6,D16pds v6,64 GiB,16,880 GiB,€0.7525 hourly,€0.5117 hourly,€0.4442 hourly,€0.1391 hourly,unavailable,unavailable,unavailable,unavailable
Standard D16plds v5,D16plds v5,32 GiB,16,600 GiB,€0.6102 hourly,€0.4502 hourly,€0.36 hourly,€0.2437 hourly,unavailable,unavailable,unavailable,unavailable
Standard D16plds v6,D16plds v6,32 GiB,16,880 GiB,€0.6394 hourly,€0.4348 hourly,€0.3771 hourly,€0.1182 hourly,unavailable,unavailable,unavailable,unavailable
Standard D16pls v5,D16pls v5,32 GiB,16,0 GiB,€0.5322 hourly,€0.396 hourly,€0.314 hourly,€0.2125 hourly,unavailable,unavailable,unavailable,unavailable
Standard D16pls v6,D16pls v6,32 GiB,16,0 GiB,€0.5091 hourly,€0.3462 hourly,€0.3002 hourly,€0.0941 hourly,unavailable,unavailable,unavailable,unavailable
Standard D16ps v5,D16ps v5,64 GiB,16,0 GiB,€0.6308 hourly,€0.449 hourly,€0.3722 hourly,€0.2519 hourly,unavailable,unavailable,unavailable,unavailable
Standard D16ps v6,D16ps v6,64 GiB,16,0 GiB,€0.5742 hourly,€0.3905 hourly,€0.339 hourly,€0.1061 hourly,unavailable,unavailable,unavailable,unavailable
D16s v3,D16s v3,64 GiB,16,128 GiB,€0.8228 hourly,€0.6253 hourly,€0.5241 hourly,€0.1678 hourly,€1.4536 hourly,€1.2561 hourly,€1.1549 hourly,€0.2964 hourly
D16s v4,D16s v4,64 GiB,16,0 GiB,€0.7885 hourly,€0.5993 hourly,€0.4652 hourly,€0.1581 hourly,€1.4193 hourly,€1.2301 hourly,€1.096 hourly,€0.2846 hourly
D16s v5,D16s v5,64 GiB,16,0 GiB,€0.7885 hourly,€0.5993 hourly,€0.4495 hourly,€0.1581 hourly,€1.4193 hourly,€1.2301 hourly,€1.0803 hourly,€0.2846 hourly
D16s v6,D16s v6,64 GiB,16,0 GiB,€0.8279 hourly,€0.5713 hourly,€0.5134 hourly,€0.1606 hourly,€1.4587 hourly,€1.2021 hourly,€1.1441 hourly,€0.283 hourly
D16 v3,D16 v3,64 GiB,16,400 GiB,€0.8228 hourly,€0.6253 hourly,€0.5241 hourly,€0.1678 hourly,€1.4536 hourly,€1.2561 hourly,€1.1549 hourly,€0.2964 hourly
D16 v4,D16 v4,64 GiB,16,0 GiB,€0.7885 hourly,€0.5993 hourly,€0.4652 hourly,€0.1581 hourly,€1.4193 hourly,€1.2301 hourly,€1.096 hourly,€0.2846 hourly
D16 v5,D16 v5,64 GiB,16,0 GiB,€0.7885 hourly,€0.5993 hourly,€0.4495 hourly,€0.1581 hourly,€1.4193 hourly,€1.2301 hourly,€1.0803 hourly,€0.2846 hourly
D1s,D1s,3.5 GiB,1,7 GiB,€0.072 hourly,€0.0547 hourly,€0.0459 hourly,€0.0147 hourly,€0.1268 hourly,€0.0941 hourly,€0.0853 hourly,€0.0259 hourly
D1 v2,D1 v2,3.5 GiB,1,50 GiB,€0.0582 hourly,€0.0442 hourly,€0.0352 hourly,€0.0119 hourly,€0.114 hourly,€0.0836 hourly,€0.0746 hourly,€0.0232 hourly
D2,D2,7 GiB,2,100 GiB,€0.144 hourly,€0.1094 hourly,€0.0926 hourly,€0.0294 hourly,€0.2545 hourly,€0.1883 hourly,€0.1714 hourly,€0.0519 hourly
D2ads v5,D2ads v5,8 GiB,2,75 GiB,€0.1071 hourly,€0.0814 hourly,€0.0632 hourly,€0.022 hourly,€0.186 hourly,€0.1603 hourly,€0.1421 hourly,€0.0382 hourly
D2ads v6,D2ads v6,8 GiB,2,75 GiB,€0.1183 hourly,€0.084 hourly,€0.0698 hourly,€0.0237 hourly,€0.1971 hourly,€0.1628 hourly,€0.1486 hourly,€0.0396 hourly
D2ads v7,D2ads v7,8 GiB,2,110 GiB,€0.1183 hourly,€0.084 hourly,€0.0698 hourly,€0.0219 hourly,€0.1971 hourly,€0.1628 hourly,€0.1486 hourly,€0.0394 hourly
D2alds v6,D2alds v6,4 GiB,2,75 GiB,€0.0986 hourly,€0.07 hourly,€0.0582 hourly,€0.0198 hourly,€0.1774 hourly,€0.1488 hourly,€0.1371 hourly,€0.0356 hourly
D2alds v7,D2alds v7,4 GiB,2,110 GiB,€0.0986 hourly,€0.07 hourly,€0.0582 hourly,€0.0182 hourly,€0.1774 hourly,€0.1488 hourly,€0.1371 hourly,€0.0355 hourly
D2als v6,D2als v6,4 GiB,2,0 GiB,€0.0833 hourly,€0.0591 hourly,€0.0491 hourly,€0.0154 hourly,€0.162 hourly,€0.138 hourly,€0.128 hourly,€0.0299 hourly
D2als v7,D2als v7,4 GiB,2,0 GiB,€0.0833 hourly,€0.0591 hourly,€0.0491 hourly,€0.0154 hourly,€0.162 hourly,€0.138 hourly,€0.128 hourly,€0.0299 hourly
D2as v4,D2as v4,8 GiB,2,16 GiB,€0.0986 hourly,€0.0749 hourly,€0.0656 hourly,€0.0202 hourly,€0.1774 hourly,€0.1538 hourly,€0.1444 hourly,€0.0364 hourly
D2as v5,D2as v5,8 GiB,2,0 GiB,€0.0891 hourly,€0.0677 hourly,€0.0526 hourly,€0.0183 hourly,€0.168 hourly,€0.1466 hourly,€0.1315 hourly,€0.0345 hourly
D2as v6,D2as v6,8 GiB,2,0 GiB,€0.0943 hourly,€0.0669 hourly,€0.0555 hourly,€0.0174 hourly,€0.1731 hourly,€0.1458 hourly,€0.1343 hourly,€0.032 hourly
