Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
F16as v6,F16as v6,64 GiB,16,0 GiB,€1.133 hourly,€0.8045 hourly,€0.7023 hourly,€0.2308 hourly,€1.7638 hourly,€1.4352 hourly,€1.3331 hourly,€0.3593 hourly
F16as v7,F16as v7,64 GiB,16,0 GiB,€1.133 hourly,€0.8045 hourly,€0.7023 hourly,€0.2094 hourly,€1.7638 hourly,€1.4352 hourly,€1.3331 hourly,€0.3528 hourly
F16s,F16s,32 GiB,16,64 GiB,€0.7791 hourly,€0.5921 hourly,€0.5693 hourly,€0.1589 hourly,€1.4099 hourly,€1.2229 hourly,€1.2001 hourly,€0.2875 hourly
F16s v2,F16s v2,32 GiB,16,128 GiB,€0.6651 hourly,€0.4926 hourly,€0.3939 hourly,€0.1397 hourly,€1.2693 hourly,€1.1234 hourly,€1.0247 hourly,€0.2667 hourly
F1ads v7,F1ads v7,4 GiB,1,110 GiB,€0.0891 hourly,€0.0633 hourly,€0.0551 hourly,€0.0165 hourly,€0.1286 hourly,€0.1027 hourly,€0.0945 hourly,€0.0257 hourly
F1alds v7,F1alds v7,2 GiB,1,110 GiB,€0.074 hourly,€0.0526 hourly,€0.046 hourly,€0.0137 hourly,€0.1131 hourly,€0.092 hourly,€0.0854 hourly,€0.0226 hourly
F1als v7,F1als v7,2 GiB,1,0 GiB,€0.0627 hourly,€0.0445 hourly,€0.0388 hourly,€0.0116 hourly,€0.102 hourly,€0.0839 hourly,€0.0783 hourly,€0.0204 hourly
F1amds v7,F1amds v7,8 GiB,1,110 GiB,€0.1131 hourly,€0.0769 hourly,€0.0701 hourly,€0.0209 hourly,€0.1526 hourly,€0.1164 hourly,€0.1095 hourly,€0.0305 hourly
F1ams v7,F1ams v7,8 GiB,1,0 GiB,€0.0926 hourly,€0.0629 hourly,€0.0575 hourly,€0.0171 hourly,€0.132 hourly,€0.1024 hourly,€0.097 hourly,€0.0264 hourly
F1as v7,F1as v7,4 GiB,1,0 GiB,€0.0708 hourly,€0.0503 hourly,€0.0439 hourly,€0.0131 hourly,€0.1106 hourly,€0.0897 hourly,€0.0834 hourly,€0.0221 hourly
F1s,F1s,2 GiB,1,4 GiB,€0.0487 hourly,€0.037 hourly,€0.0354 hourly,€0.0099 hourly,€0.0883 hourly,€0.0764 hourly,€0.0748 hourly,€0.018 hourly
F2,F2,4 GiB,2,32 GiB,€0.0977 hourly,€0.0743 hourly,€0.0708 hourly,€0.0199 hourly,€0.264 hourly,€0.2047 hourly,€0.1938 hourly,€0.0528 hourly
F2ads v7,F2ads v7,8 GiB,2,220 GiB,€0.1774 hourly,€0.126 hourly,€0.1102 hourly,€0.0328 hourly,€0.2563 hourly,€0.2048 hourly,€0.189 hourly,€0.0513 hourly
F2alds v7,F2alds v7,4 GiB,2,220 GiB,€0.1483 hourly,€0.1053 hourly,€0.0919 hourly,€0.0274 hourly,€0.2271 hourly,€0.1841 hourly,€0.1707 hourly,€0.0454 hourly
F2als v6,F2als v6,4 GiB,2,0 GiB,€0.1251 hourly,€0.0888 hourly,€0.0777 hourly,€0.0255 hourly,€0.204 hourly,€0.1677 hourly,€0.1565 hourly,€0.0416 hourly
F2als v7,F2als v7,4 GiB,2,0 GiB,€0.1251 hourly,€0.0888 hourly,€0.0777 hourly,€0.0231 hourly,€0.204 hourly,€0.1677 hourly,€0.1565 hourly,€0.0408 hourly
F2amds v7,F2amds v7,16 GiB,2,220 GiB,€0.2263 hourly,€0.1539 hourly,€0.1401 hourly,€0.0418 hourly,€0.3051 hourly,€0.2327 hourly,€0.219 hourly,€0.061 hourly
F2ams v6,F2ams v6,16 GiB,2,0 GiB,€0.1851 hourly,€0.1259 hourly,€0.115 hourly,€0.0377 hourly,€0.264 hourly,€0.2047 hourly,€0.1938 hourly,€0.0538 hourly
F2ams v7,F2ams v7,16 GiB,2,0 GiB,€0.1851 hourly,€0.1259 hourly,€0.115 hourly,€0.0342 hourly,€0.264 hourly,€0.2047 hourly,€0.1938 hourly,€0.0528 hourly
F2as v6,F2as v6,8 GiB,2,0 GiB,€0.1414 hourly,€0.1004 hourly,€0.0878 hourly,€0.0288 hourly,€0.2203 hourly,€0.1793 hourly,€0.1666 hourly,€0.0449 hourly
F2as v7,F2as v7,8 GiB,2,0 GiB,€0.1414 hourly,€0.1004 hourly,€0.0878 hourly,€0.0261 hourly,€0.2203 hourly,€0.1793 hourly,€0.1666 hourly,€0.0441 hourly
