Name,API Name,Instance Family,CoreMark Score,FFmpeg FPS,Instance Memory,Compute Units (ECU),vCPUs,Instance Storage,Network Performance,Max IPs,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
M6IN Quadruple Extra Large,m6in.4xlarge,m6in,"25.977,4",107.0 fps,64 GiB,0 units,16 vCPUs,EBS only,Up to 50 Gigabit,240,€1.1311 hourly,€0.7126 hourly,€0.3839 hourly,€1.7619 hourly,€0.7126 hourly
M6IN Eight Extra Large,m6in.8xlarge,m6in,"28.131,374",184.0 fps,128 GiB,0 units,32 vCPUs,EBS only,50 Gigabit,240,€2.2622 hourly,€1.4252 hourly,€0.7275 hourly,€3.5238 hourly,€2.6868 hourly
M7A 12xlarge Extra Large,m7a.12xlarge,m7a,"33.046,927",309.0 fps,192 GiB,0 units,48 vCPUs,EBS only,18.75 Gigabit,240,€2.8563 hourly,€1.8894 hourly,€0.9154 hourly,€4.7487 hourly,€3.7818 hourly
M7A Quadruple Extra Large,m7a.4xlarge,m7a,"32.317,139",187.0 fps,64 GiB,0 units,16 vCPUs,EBS only,Up to 12.5 Gigabit,240,€0.9521 hourly,€0.6298 hourly,€0.4147 hourly,€1.5829 hourly,€1.2606 hourly
M7A Eight Extra Large,m7a.8xlarge,m7a,"34.313,165",280.0 fps,128 GiB,0 units,32 vCPUs,EBS only,12.5 Gigabit,240,€1.9042 hourly,€1.2596 hourly,€0.8067 hourly,€3.1658 hourly,€2.5212 hourly
M7G 12xlarge Extra Large,m7g.12xlarge,m7g,"26.324,449",239.0 fps,192 GiB,0 units,48 vCPUs,EBS only,22.5 Gigabit,240,€2.0108 hourly,€1.3302 hourly,€0.6542 hourly,unavailable,unavailable
M7G Quadruple Extra Large,m7g.4xlarge,m7g,"25.662,411",134.0 fps,64 GiB,0 units,16 vCPUs,EBS only,Up to 15 Gigabit,240,€0.6703 hourly,€0.4434 hourly,€0.2443 hourly,unavailable,unavailable
M7G Eight Extra Large,m7g.8xlarge,m7g,"25.948,751",211.0 fps,128 GiB,0 units,32 vCPUs,EBS only,15 Gigabit,240,€1.3406 hourly,€0.8868 hourly,€0.4382 hourly,unavailable,unavailable
M7GD 12xlarge Extra Large,m7gd.12xlarge,m7gd,"24.990,629",241.0 fps,192 GiB,0 units,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),22.5 Gigabit,240,€2.6436 hourly,€1.6654 hourly,€0.632 hourly,unavailable,unavailable
M7GD Quadruple Extra Large,m7gd.4xlarge,m7gd,"25.155,651",133.0 fps,64 GiB,0 units,16 vCPUs,950 GB NVMe SSD,Up to 15 Gigabit,240,€0.8812 hourly,€0.5551 hourly,€0.2996 hourly,unavailable,unavailable
M7GD Eight Extra Large,m7gd.8xlarge,m7gd,"26.017,952",210.0 fps,128 GiB,0 units,32 vCPUs,1900 GB NVMe SSD,15 Gigabit,240,€1.7624 hourly,€1.1103 hourly,€0.5442 hourly,unavailable,unavailable
M7I-FLEX 12xlarge Extra Large,m7i-flex.12xlarge,m7i-flex,"29.101,491",218.0 fps,192 GiB,0 units,48 vCPUs,EBS only,Up to 18.75 Gigabit,240,€2.3595 hourly,€1.5608 hourly,€0.5776 hourly,€4.2519 hourly,€3.4532 hourly
M7I-FLEX Quadruple Extra Large,m7i-flex.4xlarge,m7i-flex,"31.115,49",144.0 fps,64 GiB,0 units,16 vCPUs,EBS only,Up to 12.5 Gigabit,240,€0.7865 hourly,€0.5203 hourly,€0.3656 hourly,€1.3858 hourly,€1.1195 hourly
M7I-FLEX Eight Extra Large,m7i-flex.8xlarge,m7i-flex,"31.578,947",241.0 fps,128 GiB,0 units,32 vCPUs,EBS only,Up to 12.5 Gigabit,240,€1.573 hourly,€1.0405 hourly,€0.6127 hourly,€2.7715 hourly,€2.239 hourly
M7I 12xlarge Extra Large,m7i.12xlarge,m7i,"32.090,71",230.0 fps,192 GiB,0 units,48 vCPUs,EBS only,18.75 Gigabit,240,€2.4838 hourly,€1.643 hourly,€0.9474 hourly,€4.3761 hourly,€3.5354 hourly
M7I Quadruple Extra Large,m7i.4xlarge,m7i,"31.051,079",130.0 fps,64 GiB,0 units,16 vCPUs,EBS only,Up to 12.5 Gigabit,240,€0.8279 hourly,€0.5477 hourly,€0.3634 hourly,€1.4587 hourly,€1.1785 hourly
M7I Eight Extra Large,m7i.8xlarge,m7i,"30.714,889",145.0 fps,128 GiB,0 units,32 vCPUs,EBS only,12.5 Gigabit,240,€1.6558 hourly,€1.0953 hourly,€0.7582 hourly,€2.9174 hourly,€2.3569 hourly
M8G 12xlarge Extra Large,m8g.12xlarge,m8g,"30.644,296",291.0 fps,192 GiB,0 units,48 vCPUs,EBS only,22.5 Gigabit,240,€2.212 hourly,€1.4633 hourly,€0.657 hourly,unavailable,unavailable
M8G Quadruple Extra Large,m8g.4xlarge,m8g,"30.143,18",160.0 fps,64 GiB,0 units,16 vCPUs,EBS only,Up to 15 Gigabit,240,€0.7373 hourly,€0.4878 hourly,€0.2234 hourly,unavailable,unavailable
